TF,Target
NANOG,GM23639
ESRRB,SNORD34
JARID2,SPP1
EPAS1,TINAGL1
RBPJ,LNCENC1
NR0B1,MIR3535
XBP1,HIST1H2AP
PEG3,GM23268
KPNA2,GM25040
PML,EFEMP2
PHC1,DPPA4
ZFP42,MYLPF
NR0B1,P4HB
PML,RPS27RT
PML,MIR466B-6
NR0B1,RNU73B
ZFPM1,GM44310
PCBD1,AU018091
DNMT3B,GM44346
CCND1,CALR
HSPB1,SLC16A1
HIST1H1D,IFITM1
CCND1,XBP1
PHC1,HIST1H3I
ELF3,PMM1
CREB3L2,COMMD3
PEG3,CMKLR1
HIST1H1B,GM25673
DNMT3A,CREB3
DNMT3A,ANXA5
TGIF1,OPLAH
KPNA2,GM23571
SOX2,SGK1
SOX2,GM24315
ZFPM1,ELF3
CREB3,GM22468
HIST1H1D,TFCP2L1
KLF2,TUBB2B
EPAS1,PDGFRA
SOX2,GM26318
NR0B1,GM23988
DAB2,TMEM150A
XBP1,DNMT3B
HIST1H1B,COL4A2
SOX7,CRIP2
TRP53,GM43521
DNMT3B,MOV10
NANOG,GM20721
SOX7,PLK1
CREB3L2,CLDN6
POU5F1,GM23651
PCBD1,SPINK1
EPAS1,APOE
MYBL2,ZFPM1
HIST1H1D,AKR1B8
CREB3,NUP210
FOXQ1,NANOG
XBP1,GM9385
ZFP42,SNORA65
DAB2,TXNDC5
ESRRB,NSD2
NR0B1,EFEMP2
NR0B1,RPS27RT
KLF2,ZFP987
DNMT3L,GM28960
DNMT3A,SNORD93
NR0B1,MIR466B-6
HMGA1,2810025M15RIK
ETV5,TGIF1
ESRRB,RIAN
SOX17,GM23262
BCL3,MIR3082
DAB2,2210409E12RIK
GATA4,GM10925
DNMT3L,PDPN
TRP53,ASS1
KPNA2,GM49347
PML,GM22988
KDM5B,HIST1H2BK
DNMT3L,HS3ST1
GATA4,2200002D01RIK
HSPB1,GM25960
TRP53,CTSL
BHLHE40,MT-TP
PML,LTBP4
BHLHE40,GATA4
KLF2,MIR677
EPAS1,HIST1H4D
CREB3L2,GM44346
CCND1,GM25787
ZFP42,GM23632
SOX7,GM3788
SOX2,MIR7003
HIST1H1B,GM26092
PML,SLC26A10
POU5F1,GM43535
SOX17,ZFP57
NR0B1,GM14519
DNMT3B,NUTF2-PS2
DNMT3A,GNAS
JARID2,DNMT3L
DAB2,GM14303
PEG3,HIST2H2BB
PCBD1,GM29397
RBPJ,GM23988
ELF3,MIR8091
HSPB1,GM22620
RBPJ,HIST1H3H
GATA6,AMOTL2
CREB3L2,MOV10
HIST1H1B,ADAMTS9
MYBL2,GM26287
PML,PLAT
GATA4,PEG3
ETV5,TET1
JARID2,GM10717
DNMT3L,NR0B1
HIST1H1D,GM23632
GATA4,HIST1H1B
KLF2,FXYD3
KPNA2,HIST2H2BB
ZFPM1,PWWP3B
JARID2,ZFP989
DNMT3B,GM33051
NR0B1,GM22988
RBPJ,EFEMP2
TGIF1,TYRO3
SOX2,GM25787
KDM5B,DAB2
HSPB1,LAMA5
ZFP42,GM44310
NR0B1,LTBP4
ZFP42,SNORD35A
PHC1,GM29397
TRP53,PHLDA3
SOX7,GM2399
HSPB1,GM25500
NR0B1,SLC26A10
DAB2,HIST1H1A
XBP1,MAN1A2
TRP53,GM22858
TGIF1,UTF1
TGIF1,MAGED1
FOXQ1,GM24451
ELF3,HSP90AA1
ZFP42,ELF3
PCBD1,GM22468
CREB3,RRM2
ETV5,GM10925
ELF3,PCBD1
GATA6,HIST1H4K
POU5F1,MIR7003
GATA4,RAB11A
PML,NRG1
HMGA1,SOX7
CREB3,HIST1H2AP
BHLHE40,GM24201
RBPJ,GM14519
EPAS1,PMM1
