TF,Target
GATA6,GM24455
CCND1,CALR
SOX7,GM25835
XBP1,SOX2
TRP53,HIST1H2BF
UTF1,MIR669A-1
ZFP42,MIR7003
EPAS1,KIT
KLF2,GM28030
PML,SRGN
GATA6,IGFBP2
CREB3L2,RPL23A-PS3
GATA4,HSP90AA1
PCBD1,CALU
KPNA2,NID1
DAB2,GM22620
DNMT3A,GM44335
GATA6,SNORA26
ZFPM1,LDHB
CREB3,2210409E12RIK
HIST1H1D,GM43558
KAT2B,B2M
TAX1BP3,TIMP2
FOXQ1,2410141K09RIK
TRP53,GM27406
KAT2B,GM7329
SOX17,GM10259
KLF2,SEC24D
CREB3,PSRC1
GATA6,MT-TF
DNMT3A,GM10169
JARID2,PDK1
DNMT3A,XBP1
KLF2,GATA4
PHC1,ATP6V0A1
HSPB1,GM23262
NANOG,SNORA3
HIST1H1D,GASK1B
HMGA1,RPL22L1
HSPB1,BEX1
PEG3,EPAS1
TGIF1,SPRY2
PEG3,GM25535
PCBD1,LEFTY2
PCBD1,MRAS
EPAS1,PCBD1
SOX7,TRH
SOX2,GM12350
MYBL2,GM22571
SOX17,LMF2
NFXL1,MIR1949
PML,CKB
CCND1,KIT
NFXL1,FBLIM1
KDM5B,CD63
EPAS1,CALU
XBP1,UPP1
PML,RHOX5
TFCP2L1,MT2
BCL3,IFITM2
ZFPM1,LRP2
DNMT3L,PEG3
SOX2,GM22571
HIST1H1B,NDRG4
DNMT3L,FDPS
ZFPM1,AURKA
EPAS1,PLTP
CCND1,AMOTL2
PCBD1,SOX7
MYBL2,MT2
TGIF1,RNF157
PML,2810025M15RIK
HIST1H1B,ULK1
FOXQ1,GM23130
DAB2,2200002D01RIK
KAT2B,RRM2
KDM5B,2210409E12RIK
KAT2B,MIR466B-4
DNMT3B,KIT
HMGA1,GM20721
POU5F1,MIR466B-6
RBPJ,TYRO3
CREB3L2,OPLAH
EPAS1,CTSZ
DNMT3L,GM37376
KDM5B,PSRC1
KAT2B,ADAM23
BCL3,FAM129B
PCBD1,HIST1H4K
EPAS1,LEFTY2
EPAS1,MRAS
DAB2,HIST1H2AL
CCND1,PCBD1
POU5F1,GM14519
HMGA1,COL4A2
HMGA1,HIST1H2BK
PHC1,FRMD4A
DNMT3L,PHLDB2
