TF,Target
TRP53,CKB
BHLHE40,UTF1
PML,TMEM150A
TRP53,GM24455
TAX1BP3,LMF2
PHC1,GM43521
PHC1,GM25943
CCND1,CHST15
ZFPM1,SFI1
KPNA2,HS3ST1
DNMT3A,TPM4
EPAS1,NR0B1
CREB3L2,GM44310
PEG3,SLC6A8
FOXQ1,LNCENC1
TRP53,P4HA2
GATA4,ZFP42
HIST1H1D,LRPAP1
PML,TPD52
ZFPM1,APOE
POU5F1,CTSD
NFXL1,GM42845
PEG3,DPPA4
BHLHE40,ZFAS1
EPAS1,FAM129B
EPAS1,MIR669J
PHC1,GM25701
KDM5B,GM27501
FOXQ1,GM25960
PCBD1,IGF2
HSPB1,GNPDA1
TAX1BP3,GLIPR2
ZFPM1,CALR
DNMT3L,FLRT3
SOX2,BCL3
UTF1,SNORD85
PCBD1,GM28010
ESRRB,DPPA4
KPNA2,GM9531
RBPJ,LEFTY2
ETV5,PLTP
DNMT3B,COL4A1
XBP1,2810025M15RIK
GATA4,SNORD70
TAX1BP3,NFXL1
DNMT3B,VIM
TAX1BP3,PRXL2A
GATA6,PML
TGIF1,TUBB2B
TAX1BP3,HSPA5
UTF1,STXBP2
KAT2B,MRPL23-PS1
TFCP2L1,GM26073
HIST1H1B,MARC2
XBP1,NPHS1
TAX1BP3,NANOG
KAT2B,RPL15-PS3
PCBD1,FGF10
KLF2,SNORA26
SOX17,ADAM19
ZFPM1,GM43521
GATA6,MT2
ZFPM1,GM25943
DAB2,PDK1
TRP53,GM6136
DNMT3B,TDGF1
SOX2,GM25535
ELF3,PLAT
DNMT3B,LY6G6E
EPAS1,PCOLCE
TAX1BP3,PRSS35
FOXQ1,XBP1
XBP1,MYMX
MYBL2,GM4322
POU5F1,GM49347
FOXQ1,GM22678
GATA4,PGAM1-PS2
GATA6,HIST1H1B
NR0B1,FABP3
HIST1H1D,PWWP3B
DNMT3A,P4HB
GATA4,GSTA4
KPNA2,FLRT3
DNMT3L,CD63
NFXL1,NDRG4
ETV5,F3
DAB2,GM27743
PML,SDC4
ZFPM1,GM25701
NFXL1,KRT8
GATA4,ASS1
CREB3,HSP90B1
DNMT3B,GM24044
DAB2,TET2
GATA4,TENM4
CCND1,MARC2
CREB3,RASGRP2
TFCP2L1,COL27A1
PHC1,TUBB2B
FOXQ1,PMM1
TAX1BP3,LAMA5
TGIF1,MIR669A-1
