TF,Target
TGIF1,GM10337
ZFPM1,TXNIP
HMGA1,PHLDA3
SOX2,GM26318
HSPB1,BAG2
MSC,GM25943
EGR1,GM22748
CBX7,RAB3IL1
SOX17,GM44450
CCND1,MORC4
SOX2,AKR1B8
MYCN,GM44450
DTX1,SAT1
CREB3L2,HIST1H3H
ETS1,TCL1
TRP53,ADAM15
DNMT3L,SNORA81
TRIM28,SNX1
CITED2,MSL3
CITED2,EMB
DNMT3A,SERPINH1
NANOG,ZFYVE21
TGIF1,GM26426
UTF1,ITM2B
FOXQ1,KLF6
TRIM28,CYP26A1
CBX7,BNIP3
SOX2,TPD52
NR0B1,MAGED1
DNMT3B,MORF4L2
AKT1,GM23988
GATA4,MIR677
TAX1BP3,SNORD65
TFCP2L1,SLC7A5
SMAD7,MIR8094
CREB3,SNURF
ILK,MSC
MDM2,XBP1
POU5F1,MGST3
MYBL2,HIST1H4K
FOXQ1,P4HA2
KLF6,2210409E12RIK
DNMT3B,GM28900
HIST1H1B,GM44330
TRP53,GM43238
HNF1B,MIR297A-2
ELF3,VEGFA
SMAD7,GM14303
MSC,HELLS
HIST1H1B,HDLBP
HNF1B,ESRRB
TRP53,GRB10
CREB3L2,MORC4
EED,SPRY4
PARP1,SOCS2
HIST1H1D,PRSS35
RUNX1,MIR5117
AKT1,RPL17-PS10
TCEA3,LOXL2
ELF3,GM24451
NFXL1,GM27743
POU5F1,UHRF1
ILK,GM23632
TAX1BP3,FABP3
ETS1,SFMBT2
SMAD7,MIR669F
HIST1H1B,ASS1
BCL3,PDIA5
TCF7L2,EPAS1
RLIM,RFFL
SOX7,GM38312
ZBTB10,ARHGAP29
NFXL1,GM12112
GATA6,AMFR
RLIM,GABARAPL2
PARP1,GM44450
ETV5,MYLPF
GATA6,GAS6
RBPJ,FGF10
NR0B1,MCM10
PHC1,FBXO5
ZFP42,ITM2B
AKT1,KLF6
MDM2,GM10039
EPAS1,GHR
SUZ12,DKC1
SOX7,ZYX
HNF1B,GM25040
ID2,MIR291B
SMARCA2,FXYD3
NANOG,LGMN
KLF4,GM22748
FOXQ1,TRIM28
ELF3,OBSL1
AKT1,P4HA2
ZFPM1,CSRP2
NFXL1,SRI
FOXH1,NPHS1
AKT1,EMP2
CREB3L2,GM14303
TCEA3,FLRT3
HNF1B,GNAS
KDM5B,2410141K09RIK
EGR1,SMS
SOX17,NASP
SMARCA2,MIR295
ID2,GM24916
KAT2B,STXBP2
RLIM,TRIM28
DTX1,RPL15-PS3
ZFP42,ZC3H7A
HNF1B,SLC16A1
DAB2,ACTG1
TCF7L2,PGAM1-PS2
SUZ12,CLCN2
ELF3,HSPG2
CREB3,PRDX1
ILK,SPRY2
KAT2B,UCP2
DNMT3A,ITPK1
MCM6,PML
HNF1B,MIR1905
TCF7L2,PSRC1
FOXH1,FXYD6
DNMT3L,HIST1H1D
PHC1,MIR3070B
DTX1,HSP90B1
SMAD7,PDK1
ID1,MIR669H
CREB3,KRT18
SMAD7,SNORD49A
KPNA2,MCM6
ETV5,MIR669B
CREB3,GJB3
TGIF1,CEMIP
DNMT3L,ZFP42
KDM5B,GM24289
CREB3L2,MIR669F
XBP1,NUP62CL
KAT2B,SNORD33
ZBTB10,GM25263
POU5F1,ZFP990
CITED2,ELF3
DNMT3A,MIR669A-2
PML,NEDD4
ZBTB10,MT-TF
RUNX1,DKC1
ZFPM1,TIMP2
TFEB,MSL3
GATA6,ATP6V0A1
