TF,Target
PA2G4,ASAH1
HDAC7,PLBD2
HDAC7,SELENBP1
PBX1,D630039A03RIK
RORA,CTSF
RUNX2,CALCRL
TLR4,IL10RA
KLF3,HCFC1
SATB1,MYO5A
KLF3,ELAC1
PRDM16,TXNL1
REL,BC035044
KLF6,TMEM246
HDAC11,KLF6
JUN,RUNX2
MEF2A,STXBP1
MCM6,TMEM176A
HIST1H1C,CCND3
IRF6,MAGED2
PGR,TRIM59
TSC22D3,ATP10A
MCM4,ABLIM1
RAI14,NFATC1
DACH1,TRIM35
HDAC7,MAPKAPK3
TCF19,ADAM17
RPS6KA5,CDK18
EYA2,RASSF2
HNF4A,KCTD12
HDAC7,PDGFRB
KLF6,S100A6
RAD51,4833439L19RIK
MYC,HJURP
TAF12,RAB11FIP3
MLLT3,CD44
XPC,BLVRB
ZBTB38,BC035044
BTG2,ACSS1
NFKB1,FCHO2
MCM7,SELL
REL,PHKB
IKZF1,TEK
HOXA9,HELLS
NFKB1,ARL8B
JUN,GP9
HDAC7,FGFR1OP
NOTCH1,SPTBN1
HDAC11,UHRF1
KLF6,DTL
XRCC6,GPR171
IRF8,LONP2
RBL2,C1QTNF12
RBL2,GM1966
SMARCA2,PDIA4
ZBTB38,PHKB
PBX1,SLC18A2
VEZF1,MAN1A
MED16,FPGT
TRIB3,NAGA
HNF4A,ATP10A
DACH1,TINAGL1
TLE2,MUC13
RUNX2,NRROS
PHC1,OCRL
NFAT5,MTMR6
NOTCH1,EYA2
DACH1,CERS5
TLR4,RIPOR2
MYCN,TMEM268
MECOM,P2RX1
ZFP467,F11R
RAI14,NWD1
TSC22D3,CTTN
TRPS1,KCTD12
CBX7,SPNS3
NFAT5,NPR2
RPS6KA5,RRAS
NFAT5,IRAK3
RBL2,SEPT6
MYC,SQOR
DACH1,ABHD17B
PML,CPQ
CLOCK,LGALS3BP
VDR,NFAM1
XPC,PML
XRCC6,CDK17
CBX7,SLC37A1
RUNX2,TES
XPC,ITGAL
TLE2,GM45837
PA2G4,PLXNA4OS1
NFKBIA,PLEKHA1
ARNTL,PPT1
PML,AP1S2
VDR,LAX1
NFATC1,RGS2
IRF7,TNS2
TLE2,CD53
KLF3,INPP1
PBX1,EZR
VDR,ARHGEF3
SATB1,TOMM22
MEF2C,EPSTI1
ETS1,FUT8
CBX7,PLPPR3
ELF1,UAP1L1
HDAC7,PRR5
CENPK,WDFY3
TLR4,RBM18
RAI14,WLS
SATB1,ZNRF2
MECOM,ARHGAP15
RORA,SYK
MCM5,ITGB7
XPC,LGALS1
HDAC7,ESAM
ZFP467,SC5D
TRPS1,ATP10A
MCM7,RBPMS
NFKBIA,MN1
MAML3,ABCD3
MCM4,FLT3
KLF10,EXOC6B
SATB1,GPSM1
KLF10,PLCG2
NDN,APOE
RBL2,ARL6IP6
MYCN,PKIB
XPC,OASL1
HNF4A,CTTN
TSC22D3,RHOH
KLF10,PHF8
MYC,SERPINB1A
MEF2A,F11R
PRDM5,OAT
HOXA9,SPNS3
HIST1H1C,HCFC1
HLF,SELL
CBFB,NEDD9
TAF12,RASAL3
HIST1H1C,ELAC1
TRIB3,SLC7A4
RUNX2,B3GNT5
MLLT3,NOTCH1
HOXA9,SLC37A1
KLF6,CTSS
REL,ELAC1
HCFC1,RPTOR
PML,FAM111A
ZBTB38,RNF114
NFAT5,TNPO1
ZBTB38,ECE1
VDR,GBP2
IRF7,RNF141
MCM6,SEPT8
TAF12,ESR1
ESR1,MNDAL
PA2G4,TSPAN2
ETS1,NFKBIA
MYC,RPS6KA5
HDAC7,ZBTB20
MLLT3,MAN1A
PBX1,POLD1
CTR9,KLF3
TSC22D3,KLF10
SMARCA2,EMB
ZBTB38,ELAC1
SPI1,ZC2HC1A
HDAC11,TM6SF1
ARNTL,ELOVL5
XPC,TXN2
HNF4A,RHOH
MEF2A,SC5D
TRPS1,CTTN
MEF2C,AFDN
NFAT5,NPDC1
MYCN,LY6A
PA2G4,CBX7
RBL2,ZMYM3
PHC1,PAFAH2
PML,MILR1
IRF8,BLVRB
EGR1,GM4951
MAML3,TGTP2
NFKBIA,JCHAIN
IRF6,ARHGEF3
RORA,TRIM16
ESR1,MKI67
PRDM16,SNN
HDAC11,TFRC
SLA2,CCNG2
RORA,SPC24
MED16,CDK18
NDN,STAM2
NFAT5,PARVG
PRDM16,AP1G2
SATB1,VDR
HCFC1,KIF23
PML,CCL9
GATA2,KIF20B
PA2G4,FNDC3A
ZBTB20,CDC6
ETS1,PNO1
ELF1,RNF125
MCM7,DUSP2
