TF,Target
HOXA9,KLF3
RORA,SLC7A4
EPOR,SERPINF1
MLLT3,IL1R1
ELF1,MECOM
DEK,RNF38
REL,PBX1
PRDM16,EBI3
MLLT3,PLEK
SPI1,PRMT9
CBFB,ANKRD44
MEIS1,NCKAP1L
FOXO1,C130089K02RIK
SPI1,PACSIN2
ARNTL,MEIS1
LDB2,CDK1
PRDM5,CKAP2
ZKSCAN4,TMEM106A
ZKSCAN4,RAI14
VDR,MAP4K2
EPOR,SLBP
SMARCA2,CYTH3
MEIS1,NPC1
TEAD2,LCK
MCM6,ANKRD33B
HDAC11,PLEKHA1
SOX18,TOP2A
NAP1L3,MYCN
PBX1,TES
GATA2,POLA2
MCM4,TMEM37
ANKRD6,TEX10
TRPS1,EXOC6B
RAI14,FNDC3A
NDN,IER2
REL,TMEM123
THRB,ARL11
MCM6,CDK19
MAPK11,PSMC4
KLF3,GAS2L3
PRDM16,PLA2G4A
NFE2,MGST2
KLF6,EMID1
KLF8,TOMM22
HIF3A,WLS
CD7,ABLIM1
KLF8,RGS3
RORC,MKI67
RAI14,TM6SF1
TRIB3,SLC31A2
TRIB3,GUCY1A1
RAD51,SEPT6
AEBP1,SLFN2
SATB1,P2RY14
HIST1H1C,GSTM5
CBFB,ESAM
NFAT5,TSC22D3
RAI14,AP1G2
RARB,DENND2D
CBX7,GM5111
MYC,IL27RA
HIF3A,TYMS
MEF2C,SEPT8
VEZF1,CTSW
RAI14,KIF20B
MCM4,SQOR
ELL2,ICE1
NFAT5,RNF38
HMGB2,RMND5B
CBX7,FGFR1OP
NFKB1,HAT1
MEF2C,BC035044
LDB2,ZFP157
MEIS1,GPR160
EPAS1,DOCK10
BTG2,PGM2L1
EGR1,SPNS2
RAD51,CDCA8
SLA2,GM45837
TAF12,CDK17
XPC,CYP4V3
DEK,AK1
PML,NCF1
RUNX1T1,UBE2C
DACH1,FDFT1
TEAD2,SLC25A53
RBL2,CYP51
BTG2,SOX18
MEF2A,TFEC
RORC,NAP1L3
JUN,HJURP
RAD51,ID1
CBFB,ST8SIA4
ETS1,TMEM106A
ARNTL,PHC1
ETS1,RAI14
TLR4,TMEM206
CD7,SHISA8
ELL2,CDK18
NFKB1,SP100
SOX6,FGD2
VDR,MAML2
HIST1H1C,RCN2
TEAD2,GCNT1
CLOCK,H1F0
SPI1,NFKBIA
GATA2,TRIQK
H1F0,SLC2A3
XRCC6,DUSP2
PHC1,ECE1
TSC22D3,DDX4
NDN,MYO5C
KLF10,APOE
HNRNPAB,PCMTD1
TEAD2,TOMM22
TEAD2,RGS3
AEBP1,RASSF5
MAML3,SLC39A8
RORC,COQ8A
KLF8,IDH1
REL,TRPV2
MCM6,AP1G2
BTG2,TUBB4B
SLA2,MMP2
RORC,CD244A
CD7,IGHV1-82
ARID3B,NUPR1
THRB,KPNA3
PHC1,STRAP
RBL2,EPOR
CD7,NPDC1
CBX7,EFNA1
MAPK11,RP2
MAPK11,WFDC2
PRDM5,FGD2
PA2G4,MYLK
ZFP467,CD7
SOX6,FAM171A1
TCF19,TAF12
TSC22D3,MLLT3
E2F8,TMEM184C
GATA2,PITPNC1
HCFC1,GPR171
E2F8,FAAH
CD7,RASA4
LDB2,ITGB2
ID1,PAFAH1B2
MCM2,ZFP248
KLF3,LYN
ID1,CNN3
RBL2,CD63-PS
XRCC6,MSMO1
ANKRD6,RAD51
SLA2,TMEM246
IRF8,PDE1B
DACH1,SLC6A6
TRPS1,OBSL1
MCM6,MICAL1
TLE2,CD7
DACH1,LAX1
PBX1,TFEC
ARNTL,CHST11
CLOCK,CD9
BATF2,CTSB
ARID3B,GPSM1
MECOM,UBA7
NFKB1,MEF2C
ZFP111,PLAC8
PRDM16,OAS2
NFE2,LGALS3BP
ID1,FCHO2
KLF8,NDN
MAML3,ITGB2
PRDM5,FAM171A1
APBB1,HJURP
REL,MGAT5
ZBTB20,TLR4
E2F8,B3GNT5
ARID3B,SOX18
ID1,VAMP5
RAI14,H1F0
CTR9,UPP1
RUNX1T1,TNFRSF13B
HOXA9,SELPLG
NFATC1,PBX1
PA2G4,ICAM1
IRF7,RGS2
TEAD2,IDH1
REL,GNG11
E2F8,GIMAP8
CBX7,NFATC1
NFKBIA,CPNE8
BTG2,PAG1
TRPS1,PRC1
CTR9,PLIN3
MAPK11,SPO11
ZFP467,8430419K02RIK
HCFC1,AKAP8L
ARID3B,EPAS1
AEBP1,HIF3A
TTF2,MTMR6
JUN,LCK
NFE2,SMIM15
CENPK,SELENBP1
MYC,RRAS
PGR,GIMAP1OS
AEBP1,UBE2E2
SMARCA2,CCNG2
IRF6,AKNA
PRDM16,GMIP
ZFP111,TLE2
HDAC11,HSPH1
RBL2,SERPINA3F
HMGB2,BTK
EYA2,PSEN1
CBFB,SNHG5
KLF10,NECAP2
KLF3,PLCG2
DEK,SERPINB1A
MAML3,TXNRD3
NFATC1,TMEM123
ZKSCAN4,GSTM1
NFE2,GM8995
CBX7,TMEM176A
NR3C2,CENPE
YBX1,LACTB
KLF3,ME2
FOXO1,SATB1
EPAS1,PRIM1
TAF12,F630028O10RIK
DACH1,9030619P08RIK
RBL2,RAB38
NR3C2,MTMR6
PRDM5,NDN
MYCN,PPCDC
ZKSCAN4,HCFC1
TRIB3,SELL
DEK,SLC2A3
PBX3,LY6A
EGR1,TMBIM1
RAD51,CCL9
TLE2,ELL2
XRCC6,GFI1B
E2F8,ARID5A
RARB,PAFAH1B2
E2F8,ULK1
EYA2,PRMT2
RAI14,CD9
RARB,CNN3
RORA,PRR5
ESR1,ZMIZ1
RPS6KA5,HID1
ANKRD6,ITGAM
ARID3B,MEIS1
JUN,SLC25A53
XPC,SLC5A6
REL,PEAR1
ETS1,GM4759
TTF2,GPRASP1
RORC,TSPAN3
EPAS1,PLIN2
KLF6,TACC3
CTR9,VSIR
ARNTL,CERS5
PRDM16,CDK6
MAML3,AFF3
KLF10,VLDLR
MEIS1,SH2D5
EYA2,COL4A1
CREB5,SERPINF1
RARB,FCHO2
THRB,SORL1
FOXO1,PKN3
ETS1,RAB27B
RARB,VAMP5
JUN,GCNT1
SOX18,TMEM184C
NDN,SMIM15
NUPR1,CENPA
MCM2,SLC26A11
SOX18,FAAH
ANKRD6,MYCT1
HOXA9,VAMP5
MIS18BP1,ZFR
NR3C2,GPRASP1
CBX7,PSEN1
ETS1,GSTM1
JUN,TOMM22
ZKSCAN4,PLEKHA1
KLF3,EIF2S1
VEZF1,PBX3
TAF12,TRP53INP1
JUN,RGS3
MCM6,RBL2
MED16,SLC18A2
GATA2,CTPS
MAML3,CKAP5
NFAT5,SLC2A3
MCM7,ZFP157
CREB5,SLBP
APBB1,LCK
KLF10,FAM111A
MEF2A,KRT18
MEF2C,CYTH3
ID1,ATP10A
NFATC1,TRPV2
FOXO1,TSPAN2
TSC22D3,PRSS57
MAPK12,RAB11FIP3
HLF,ITPR1
MCM4,LY6A
ANKRD6,IGKC
HIF3A,PLD4
MAML3,SZT2
RBL2,GORASP1
RORC,FAM110C
NOTCH1,CDCP1
XPC,TXN2
HIF3A,ARPP21
VDR,ARNTL
SOX18,B3GNT5
CBX7,TES
HDAC11,TRIM47
RORC,P2RX1
BATF2,CEP70
HNF4A,PIK3R1
ZFP111,PRKCQ
VDR,IL18BP
XRCC6,RBBP9
SOX18,GIMAP8
MECOM,EFTUD2
KLF10,TBC1D10C
KLF10,ATAD2
E2F8,TMEM14C
EGR1,TPM4
