TF,Target
PRDM5,WLS
NFKBIA,MILR1
KLF10,ARL6IP6
RBL2,TMEM206
NDN,GMIP
SLA2,BCLAF3
MYCN,ACOX1
SLA2,CBFB
MEF2A,FUCA2
NFAT5,PLCB2
ZFP467,SNAP23
NDN,DPP4
MCM4,PQLC1
TAF12,SGPL1
NDN,ALDOC
TSC22D3,PROCR
NDN,ZMIZ1
BTG2,DUSP1
NFAT5,DPP4
HIST1H1C,PGRMC1
MCM2,MAP4K2
MLLT3,B230219D22RIK
ARNTL,TBXAS1
NFATC1,H2-AA
KLF10,TSPAN6
NOTCH1,IRGM2
PRDM5,AKAP8L
MLLT3,HEXA
MED16,RHOH
MEF2A,GBP2
MEF2A,TBXA2R
JUN,PWWP3A
KLF10,PML
SLA2,ARHGAP15
EYA2,RNF213
KLF10,NUDT19
MCM2,GMFB
IRF7,CNN3
SLA2,MYO1F
MEF2A,CDK17
IRF7,FCGRT
MCM5,ARHGAP27
VEZF1,SELENBP1
NFATC1,F11R
KLF10,MSMO1
EYA2,TSPAN6
MYCN,FGFR1OP
MCM5,ATP13A2
H1F0,RHOF
MCM5,FCHO2
XRCC6,MYO5A
ARNTL,CD300A
TAF12,KIF23
RBL2,FGGY
NFKBIA,B230219D22RIK
ARNTL,ITPK1
SATB1,SLC18A2
MYCN,ST8SIA4
XPC,ABHD17B
EYA2,NUDT19
ARNTL,DENND1C
MCM5,PECAM1
H1F0,TAPT1
NFKBIA,HEXA
MCM5,TFPI
RBL2,GM20559
ZBTB38,SELL
MYCN,XRCC6
ZFP467,KLF10
ZFP467,NOTCH1
EYA2,MCM5
XPC,MAN1A
KLF10,IL12A
NDN,TBC1D5
MCM4,SPNS3
MCM2,SATB1
ZFP467,CD52
SLA2,STXBP4
ZFP467,CAPN5
NFKBIA,SAT1
HIST1H1C,ELOVL5
NFAT5,TBC1D5
SLA2,SLC43A2
MCM5,CTSH
MEF2A,IDH1
NFATC1,POR
MED16,SLA2
NFATC1,PPCDC
MEF2A,PPT1
H1F0,WFDC17
XPC,SPNS3
EYA2,DCAF4
EYA2,CTSC
XPC,NFAT5
EYA2,KCTD20
NFKBIA,LIG1
BTG2,SLC35D3
TAF12,BTK
MLLT3,BTG2
BTG2,NT5C3
CTR9,BC005561
SLA2,MUC13
PRDM5,SERPINF1
NFATC1,MAPKAPK3
MCM5,ADGRG3
CBX7,SH2D3C
H1F0,RNF38
TAF12,PGRMC1
HIST1H1C,FES
KLF10,IER2
ZFP467,TRPV2
NOTCH1,TSC22D3
ARNTL,ICE1
SLA2,GAA
NFAT5,BC035044
TAF12,RBM18
NDN,LRRC8C
BTG2,MPRIP
MCM4,ABLIM1
MCM2,CCL9
ZBTB38,TIMM50
CTR9,CERS5
KLF10,VSIR
PRDM5,RBBP9
SLA2,MAGED2
RBL2,GM28875
CTR9,IIGP1
IRF7,TMOD3
NFAT5,CSAD
NFAT5,SSH3
MCM5,4930555A03RIK
MCM2,SLC2A1
ZFP467,UMPS
BTG2,WLS
ZFP467,GM45837
KLF10,UBL4A
VEZF1,ZFP62
CTR9,ZFP467
H1F0,ASB13
XRCC6,ABHD17B
VEZF1,ARHGAP18
VEZF1,LAX1
RBL2,DNTT
IRF7,TAF12
MCM5,METTL7A1
NFATC1,SC5D
XRCC6,MAN1A
MEF2A,P2RY14
MCM2,H1F0
ZFP467,PIP4K2A
NOTCH1,ABCG2
MED16,CCL4
H1F0,PLPPR3
VEZF1,SLC28A2
NFAT5,PNO1
NOTCH1,HACD4
MED16,TGM2
MED16,RNASE6
XPC,ARL6IP6
XRCC6,SPNS3
ZFP467,CISH
BTG2,AKAP8L
NDN,RBPMS
XRCC6,NFAT5
MEF2A,ACOX1
MCM2,CDCA4
PML,LDHB
SATB1,SSTR2
TAF12,ZFP945
MYCN,ZFP62
BTG2,IMPACT
ZBTB38,SERPINF1
KLF10,SP100
PRDM5,TMEM123
NFAT5,SHISA8
H1F0,GMIP
IRF7,ITPK1
TSC22D3,MORC3
NFKBIA,PROCR
PML,TAF12
RBL2,SLC37A1
NFAT5,GBP7
NFKBIA,MEF2A
GATA2,ITPK1
TSC22D3,SLC2A3
IRF7,DENND1C
H1F0,DPP4
TAF12,CBFB
ARNTL,CTR9
GATA2,DENND1C
H1F0,ALDOC
MED16,VAV3
XPC,TSPAN6
KLF10,ZFR
H1F0,ZMIZ1
NDN,CDK19
CTR9,CBX7
KLF10,VLDLR
ARNTL,ITM2A
MCM2,DENND2D
NFATC1,CASP2
MCM2,PRPS2
CTR9,APOE
MLLT3,PRKAR2B
XPC,PML
CTR9,APLP2
CBX7,4833407H14RIK
CTR9,H2-OB
EYA2,SP100
MCM4,MSMO1
SATB1,PPIC
TAF12,FES
H1F0,4833439L19RIK
NFAT5,SNAP23
TSC22D3,INPP1
EYA2,SLCO3A1
PRDM5,MCTP1
MED16,SDC1
ZBTB38,RHOH
CTR9,SPTBN1
MEF2A,FGFR1OP
NFATC1,IL27RA
MYCN,NFAT5
XPC,MSMO1
NFATC1,HEATR5A
NFATC1,FDFT1
TSC22D3,STARD4
TSC22D3,BTK
EYA2,VLDLR
TSC22D3,ITGB7
MCM5,RASA4
MYCN,RNF141
MCM4,IL12A
MEF2A,ST8SIA4
CTR9,ABCF3
NFAT5,USP3
SATB1,ADSSL1
IRF7,ICE1
SLA2,YOD1
ZFP467,KCTD12
MLLT3,RASAL3
MCM4,GM5111
TSC22D3,RBM18
BTG2,SERPINF1
XPC,IL12A
NFATC1,PTTG1IP
MYCN,PLIN3
MYCN,GEM
MYCN,TYROBP
PRDM5,NAIP5
VEZF1,SATB1
KLF10,GM20559
SLA2,RELT
KLF10,FLNA
NDN,SH2D5
CBX7,GPRASP1
MLLT3,GM1966
PRDM5,COPB1
MCM4,NCEH1
ZBTB38,TRIM47
PRDM5,DHRS3
SLA2,RP2
BTG2,RBBP9
NDN,HJURP
MED16,GRINA
MED16,RAB37
RBL2,RMND5A
IRF7,STK10
CTR9,SMPDL3A
NDN,KLF10
PRDM5,DNAJC9
MCM4,AMPD2
KLF10,ARHGAP27
MED16,GIMAP8
HIST1H1C,EFTUD2
XRCC6,PML
MCM4,VSIR
ZBTB38,SLA2
NFATC1,LYN
NFAT5,KLF10
PRDM5,CCL3
NFAT5,NOTCH1
NFKBIA,ARNTL
MCM5,SQLE
HIST1H1C,VEZF1
NFKBIA,RASAL3
MED16,IL4RA
XPC,IER2
RBL2,PAQR7
NFAT5,CD52
MCM2,POMGNT2
MYCN,ARL6IP6
XPC,VSIR
XRCC6,MSMO1
MED16,DDX4
MLLT3,SQOR
TSC22D3,NDN
TSC22D3,ZFP945
HIST1H1C,OASL2
EYA2,ARHGAP27
H1F0,LRRC8C
XPC,UBL4A
CTR9,IRAK3
NFKBIA,SGPL1
VEZF1,SLC2A1
CBX7,CCNG2
MYCN,RNF213
EYA2,FCHO2
KLF10,PSTPIP1
MED16,1700017B05RIK
ARNTL,FLT3
MED16,MAST3
KLF10,GM28875
KLF10,CTSH
IRF7,CTR9
ZBTB38,MSH6
TSC22D3,BCLAF3
MLLT3,KIF23
MED16,FUT7
TSC22D3,CBFB
XRCC6,IL12A
EYA2,PECAM1
MLLT3,ATP2B4
PRDM5,EBI3
EYA2,TFPI
IRF7,ITM2A
VEZF1,DCAF4
NFAT5,TRPV2
BTG2,TMEM123
MYCN,TSPAN6
PRDM5,IL18RAP
ARNTL,OCRL
ZFP467,CTSS
IRF7,RFTN1
ZBTB38,NAIP5
MYCN,PML
ZFP467,FGD2
ARNTL,ZFP157
HIST1H1C,NCF1
GATA2,RFTN1
MYCN,NUDT19
HIST1H1C,GSN
HIST1H1C,B4GALT4
EYA2,CTSH
MED16,SLA
NFAT5,UMPS
BTG2,SERPINA3G
NFAT5,GM45837
VEZF1,CDCA4
CTR9,GYPC
CTR9,FRRS1
MYCN,MCM5
MEF2A,ZFP62
RBL2,IL17RA
NDN,PIP4K2A
XPC,SP100
KLF10,SCARF1
ZBTB38,RNASE6
H1F0,RBPMS
BTG2,MCTP1
MCM4,ZFR
IRF7,SPNS2
ARNTL,MCM2
XRCC6,IER2
CBX7,MINDY1
HIST1H1C,STK17B
CBX7,PGLYRP2
MEF2A,ABHD17B
NFAT5,PIP4K2A
EYA2,ADGRG3
TSC22D3,MYO1F
NFKBIA,ATP2B4
ARNTL,SLC12A6
PRDM5,RNF114
MYCN,DCAF4
ARNTL,NUBP2
XRCC6,VSIR
NFATC1,CSF2RB
CBX7,DUSP6
MYCN,CTSC
PML,GM1966
XPC,ZFR
MLLT3,PGRMC1
XPC,VLDLR
TAF12,EFTUD2
RBL2,SGMS1
ZFP467,SLC35B4
PML,RFTN1
NFAT5,CISH
MED16,LCP2
VEZF1,DENND2D
VEZF1,PRPS2
XRCC6,UBL4A
SLA2,TFR2
MCM5,FADS1
EYA2,SCARF1
EYA2,4930555A03RIK
MCM4,RBL2
H1F0,CDK19
RBL2,SNAP47
MCM5,FAM76B
ZFP467,UAP1L1
MYCN,HSD3B7
SLA2,ANXA2
EYA2,GM4951
MEF2A,NFAT5
BTG2,NAIP5
PRDM5,ITSN1
EYA2,METTL7A1
MEF2A,RNF141
XPC,RBL2
PML,SPNS2
BTG2,COPB1
NFATC1,ELOVL6
HIST1H1C,SELENBP1
BTG2,DHRS3
TSC22D3,STXBP4
TSC22D3,SLC43A2
ZBTB38,SDC1
TAF12,BIRC3
PRDM5,CHRNB1
PML,SQOR
SLA2,RCSD1
EYA2,ROBO4
MCM4,FLNA
MCM2,PREP
MYCN,IER2
ARNTL,EMID1
NFKBIA,PGRMC1
BTG2,DNAJC9
MCM4,GM20559
CBFB,GM1966
NFKBIA,RBM18
NOTCH1,RHOF
NOTCH1,TREML2
TSC22D3,MUC13
RBL2,SYK
ZFP467,KPNA3
ZFP467,PSEN1
MEF2A,PLIN3
MEF2A,TYROBP
RBL2,TPST2
TAF12,YOD1
IRF7,ZBTB38
ARNTL,PYGM
TAF12,NCF1
TAF12,GSN
MYCN,UBL4A
TAF12,B4GALT4
CTR9,TNFRSF13B
ZFP467,ZFP120
ZFP467,NFAM1
MCM5,KCNK5
MLLT3,ELOVL5
MCM5,PGM1
XRCC6,ZFR
PRDM5,SLC7A4
H1F0,SH2D5
XPC,ARHGAP27
NFAT5,KCTD12
H1F0,HJURP
SLA2,MAP4K2
PRDM5,ARL8B
MED16,CTLA2B
TAF12,RP2
IRF7,ZFP157
ZBTB38,GRINA
TSC22D3,PDK3
ZFP467,TNPO1
JUN,GM1966
ZBTB38,RAB37
MCM5,F2RL3
MEF2A,ARL6IP6
BTG2,EBI3
ZBTB38,GIMAP8
BTG2,IL18RAP
SLA2,TPM4
MLLT3,FES
MCM4,GM28875
XRCC6,RBL2
ZBTB38,IL4RA
SLA2,GMFB
MEF2A,RNF213
MED16,BCL2
MYCN,SP100
ZFP467,INPP5K
XPC,PSTPIP1
EYA2,RASA4
XPC,GM28875
KLF10,IL15
MYCN,SLCO3A1
HIST1H1C,ARHGAP18
IRF7,GIMAP1
NFKBIA,CBFB
HIST1H1C,LAX1
NOTCH1,ESAM
MEF2A,TSPAN6
IRF7,RNF13
KLF10,RASSF5
SLA2,GPRASP1
NOTCH1,ASB13
XRCC6,FLNA
MYCN,VLDLR
TAF12,SELENBP1
CBX7,HK3
XRCC6,GM20559
MEF2A,PML
RBL2,MPRIP
MCM5,FUT8
ZBTB38,MAST3
MEF2A,NUDT19
CBX7,LTB
BTG2,RNF114
MCM2,C030034L19RIK
ZBTB38,FUT7
HIST1H1C,SLC28A2
EYA2,IL15
ZFP467,SLC18A2
BTG2,CD69
CTR9,ABCG3
MED16,GLB1
XPC,SCARF1
MCM5,ZDHHC17
KLF10,ARHGEF3
PML,GIMAP1
MEF2A,DCAF4
ARNTL,NUP88
MEF2A,CTSC
VEZF1,ATP13A2
MEF2A,KCTD20
ARNTL,ITGA6
VEZF1,FCHO2
NFAT5,FGD2
MLLT3,CDK17
BTG2,CHRNB1
RBL2,AKAP8L
ARNTL,IGKC
VEZF1,PECAM1
PML,ELOVL5
MED16,ABI1
SLA2,CCL9
XRCC6,PSTPIP1
XRCC6,GM28875
ZBTB38,DOCK10
TSC22D3,YOD1
TSC22D3,GSN
MEF2A,HSD3B7
ZBTB38,LCP2
NDN,PRELID3B
ZFP467,CPQ
CTR9,CALCRL
MYCN,ARHGAP27
TSC22D3,RELT
PRDM5,TOP3B
ZFP467,HELLS
TSC22D3,RP2
SLA2,MLLT3
TAF12,ANXA2
MCM2,FNDC3A
NFAT5,SLC35B4
MEF2A,IER2
BTG2,SLC7A4
SLA2,H1F0
TAF12,ARHGAP18
TSC22D3,STK17B
ZBTB38,POLD1
TAF12,LAX1
VEZF1,ADGRG3
BTG2,ARL8B
SLA2,CD9
IRF7,GBP2
MYCN,TFPI
IRF7,TBXA2R
NFAT5,UAP1L1
GATA2,TBXA2R
SLA2,PGLYRP2
MEF2A,UBL4A
MED16,AC174780.1
MED16,UBE2L6
ARNTL,EPSTI1
PML,FUCA2
KLF10,VAV1
HIST1H1C,SATB1
NOTCH1,TCIRG1
MYCN,CTSH
MED16,CYP4V3
KLF10,PLA2G4A
ZFP467,SSTR2
MED16,KRT18
RBL2,SERPINF1
NDN,PEAR1
MCM4,PAQR7
NFAT5,KPNA3
NFAT5,PSEN1
EYA2,FADS1
MYCN,ADGRG3
NDN,AKNA
PML,GBP2
IRF7,RAB38
PRDM5,OTULINL
EYA2,FAM76B
MLLT3,VEZF1
CTR9,PRIM1
ZBTB38,CTLA2B
NFATC1,MAN2A2
ZFP467,XPC
NFAT5,ZFP120
ZFP467,MED16
MLLT3,P2RY14
H1F0,EZR
RBL2,RBBP9
NFAT5,NFAM1
MEF2A,SP100
MCM4,RASSF5
IRF7,IDH1
NFATC1,CD53
PML,CDK17
MYCN,4930555A03RIK
XPC,IL15
IRF7,PPT1
MEF2A,SLCO3A1
IRF7,NUP88
NDN,TNPO1
MLLT3,OASL2
HIST1H1C,SLC2A1
NDN,RNF125
MCM2,ABCD3
IRF7,ITGA6
MED16,NDEL1
ZFP467,PPIC
ZFP467,EIF1AD
MYCN,GM4951
CTR9,HACD4
MLLT3,BIRC3
NFAT5,TNPO1
XPC,RASSF5
TAF12,GMFB
KLF10,PGM1
MCM2,MAP2K1
NFAT5,RNF125
ZBTB38,BCL2
MEF2A,VLDLR
XPC,PRKCH
MYCN,METTL7A1
NFATC1,OAS2
IRF7,IGKC
NFKBIA,EFTUD2
KLF10,SYTL1
MCM5,CEP70
NFATC1,TRPV2
PML,RAB38
MCM5,PLXNC1
MYCN,ROBO4
VEZF1,IGHM
KLF10,ITPR1
MCM5,PANX1
NFAT5,INPP5K
MLLT3,NCF1
EYA2,KCNK5
CBX7,BC005561
MCM5,SERPINB1A
EYA2,PGM1
MLLT3,B4GALT4
HIST1H1C,CDCA4
TSC22D3,TFR2
CTR9,EYA2
CBX7,RMND5B
MCM2,JUN
XPC,ARHGEF3
TAF12,SATB1
KLF10,SELL
RBL2,TMEM123
NFKBIA,BIRC3
TSC22D3,ANXA2
SATB1,MN1
RBL2,TRIM47
VEZF1,RASA4
EYA2,F2RL3
ZBTB38,GLB1
TSC22D3,ARHGAP18
ZFP467,SERPINB9
NDN,SLC18A2
BTG2,TOP3B
MCM4,SGMS1
MCM2,PTGS1
SLA2,POMGNT2
SLA2,GM4759
ZFP467,PARP8
MCM2,ANXA5
HIST1H1C,DENND2D
PRDM5,IER3
NFATC1,CISH
NFATC1,CERS4
MCM4,SNAP47
XPC,SGMS1
NFKBIA,YOD1
TSC22D3,RCSD1
NFATC1,USP11
MCM2,ABHD4
NFKBIA,NCF1
MED16,PLCG2
NFKBIA,B4GALT4
NDN,TINAGL1
KLF10,MPL
MCM5,NFKBIA
XRCC6,PRKCH
TAF12,CCL9
ZFP467,TRIM59
MCM2,ARID5A
MED16,MILR1
NFATC1,IRF7
PML,VEZF1
KLF10,ZDHHC17
H1F0,PRELID3B
