TF,Target
TRPS1,VEGFC
AEBP1,ACSS2
TLE2,ASNS
KLF8,B3GNT5
ARID3B,MPZL1
APBB1,APLP2
MIS18BP1,FLT3
ZBTB38,TMEM176A
KLF10,JPT1
EPAS1,RIPOR2
RPS6KA5,CYBC1
PBX1,CCL9
SOX6,MYLK
HNF4A,9030619P08RIK
XRCC6,ACSS1
ZBTB20,RGS3
DACH1,MCM2
CREB5,SNAP47
MED16,RASA4
RAI14,UBASH3A
BATF2,EBI3
TRIB3,MGAT1
MAML3,CRIP1
PRDM16,HJURP
HDAC11,GRAMD1A
TSC22D3,PDE4B
TRPS1,ZFP367
NOTCH1,SELENOP
VEZF1,SLC35B4
LDB2,CDK19
CD7,CYC1
APBB1,SEMA3D
MED16,VSIR
VDR,CTR9
TRIB3,YBX1
HNF4A,4833407H14RIK
MYCN,RORA
EPAS1,GP9
EPOR,TMEM33
MEF2A,GRINA
MEIS1,YBX3
NAP1L3,CNP
NFAT5,MTMR6
KLF10,TMEM14C
MEF2A,DEK
TAF12,ADGRL4
RUNX1T1,SUGP2
CTR9,DCAF4
HDAC7,FCHO2
CBFB,MAPK12
EGR1,LDHB
YBX1,ORC6
YBX1,CYC1
RARB,CCND3
NFIA,AKAP8L
RAI14,SLC31A2
TLE2,FLNA
TAF12,RDH10
RBL2,TFR2
CD7,LTB
KLF6,KIF21B
NDN,ENG
ZKSCAN4,AFDN
VEZF1,PLIN3
ZFP467,F11R
PHC1,TMEM184C
RUNX2,TRIM59
SMARCA2,NOTCH1
RUNX1T1,SLCO3A1
MAPK12,NFKB1
MED16,RPA2
H1F0,PRODH
TSC22D3,RASAL3
TRPS1,PRPS2
LZTS1,GM4759
KLF8,CTSL
PGR,UNC93B1
ZBTB38,HAT1
PGR,RGCC
H1F0,RSL1
MCM7,CPQ
CLOCK,SLC39A8
CENPK,ANGPT1
TLE2,SERPINB9
EPOR,PRDM5
MIS18BP1,ARHGAP27
ZFP111,TRP53INP1
KLF6,PDE1B
NFAT5,P2RX1
PGR,MEF2C
CTR9,5430427O19RIK
E2F8,PECAM1
TRIB3,TRPC6
DACH1,TMOD3
BTG2,CNN3
RUNX2,PRNP
NFAT5,MAP3K2
NDN,ARNTL
KLF6,H2-AA
NFKBIA,DNTT
IRF7,MAGED1
NR3C2,HSPH1
NFAT5,ELOVL5
RUNX2,CORO2B
NUPR1,PDGFRB
RAD51,PDE12
ZBTB38,INPP1
XRCC6,GSAP
MIS18BP1,LZTS1
SPO11,RGS2
TCF19,SERPINB6A
E2F8,CTLA2A
NFATC1,AZIN1
XPC,GM8995
NFE2,SAT1
RUNX2,BIRC3
HDAC7,HLF
TCF19,MAGED2
HNRNPAB,VMAC
PML,PKIB
CD7,SMARCA2
PRDM16,CDK18
HDAC7,RORA
MCM7,MMRN1
MEF2A,DHRS3
HNF4A,BCL2
EPOR,HNRNPAB
MCM6,INSIG1
REL,SDF2L1
NOTCH1,TMEM37
NFKB1,ZFP157
CTR9,MTMR6
ELL2,MCM4
NFAT5,FBXO30
EPAS1,RHOH
XPC,SHISA8
NR3C2,TM6SF1
KLF10,LACTB
XRCC6,LYZ2
TLR4,RHOF
NDN,CD68
PGR,GPR65
TEAD2,PSEN1
PBX1,PA2G4
NDN,MORC3
PA2G4,PLXNA4OS1
AEBP1,CD7
NDN,KLF10
ARID3B,SNN
LDB2,RAD51AP1
HMGB2,CCNA2
ARNTL,TIE1
RAI14,RAD51
ELL2,BATF2
MAPK12,PPIC
MEF2C,4833439L19RIK
HNRNPAB,AURKA
YBX1,RAB38
ZKSCAN4,THRB
HIST1H1C,NCAPG2
MAPK11,KIF22
RUNX1T1,CPXM1
TRPS1,IFI27L2A
KLF8,TES
MCM6,TBC1D5
SOX6,LRRC8C
SOX6,DEK
PML,PRELID3B
MCM6,TMBIM1
NFE2,SULT1A1
IRF8,PBX3
NFIA,CFP
PBX3,CPQ
CBFB,GM37124
MEF2A,CCR7
SPO11,ARHGEF18
MAML3,THBS1
MLLT3,SYTL4
NFKB1,BUB1B
E2F8,KAZALD1
VDR,MCM2
RUNX1T1,NAPRT
PML,PPCDC
MCM4,SEPT8
TSC22D3,C030034L19RIK
DEK,IL7R
PHC1,AZIN1
MCM4,IMPACT
SATB1,ANKRD33B
H1F0,CISH
NFAT5,APBB1
RARB,PDZK1IP1
HNRNPAB,KDM7A
MLLT3,FDFT1
SMARCA2,NCKAP1L
MCM6,BICD1
TLE2,PECAM1
HNF4A,MPL
EPAS1,GYPC
LZTS1,RASSF5
YBX1,ARID3B
HOXA9,REL
TRIB3,GM11346
NAP1L3,GAA
BATF2,SGPL1
ZBTB38,SARAF
MAPK12,OBSL1
TCF19,CAPN5
PBX3,MMRN1
E2F8,PLEKHA1
MED16,IGHV1-77
GFI1B,CD93
ZBTB20,PAQR5
PA2G4,AFDN
PRDM5,PYGL
ID1,GM10384
MEIS1,CDK18
RUNX1T1,INSIG1
RPS6KA5,NR3C2
YBX1,IRF7
CLOCK,CD86
GFI1B,SUOX
MCM5,IFI213
EYA2,ZFP61
MAML3,IGTP
HIST1H1C,DCAF4
THRB,RCSD1
KLF3,IRAK3
KLF6,HOXA9
PGR,UBE2E2
HDAC11,MCM4
MED16,ANKRD44
ID1,1700017B05RIK
PGR,RNF125
ELL2,UNC93B1
PBX3,PITPNC1
IRF7,CD48
ELF1,PLXNA4OS1
VDR,TMOD3
EGR1,DUSP2
SOX18,1700017B05RIK
CTR9,CNN3
FOXO1,TRIM16
PBX3,CDK6
FOXO1,SQLE
DACH1,FAM171A1
TCF19,C130089K02RIK
RUNX1T1,TMBIM1
HDAC11,BATF2
ZKSCAN4,CD34
ZFP467,NFKB1
ELL2,EMCN
NOTCH1,SNAP23
XPC,KIF21B
PHC1,KLF3
MEF2C,SOCS2
CLOCK,CAD
KLF6,TAPT1
TCF19,PGM2L1
