TF,Target
MLLT3,ITSN1
NFAT5,HK3
MYCN,BCLAF3
KLF10,IL12A
NFATC1,TNFRSF13B
CBFB,HSD3B7
SLA2,RELT
SATB1,FUT7
MYCN,MAGED2
ARNTL,HSD3B7
JUN,TFR2
HIST1H1C,1700017B05RIK
IRF7,TBC1D5
MCM5,INPP5K
CBFB,CCNG2
ZFP467,PRODH
PML,ABHD4
BTG2,LRRC8C
H1F0,KRT18
ARNTL,CCNG2
ZFP467,DOK2
SLA2,ITM2A
H1F0,ADGRG3
KLF10,AKAP8L
VEZF1,B230219D22RIK
BTG2,IER3
CBX7,RHOF
SLA2,KPNA3
HIST1H1C,PSEN1
NFKBIA,CERS4
JUN,SERPINB9
MED16,PTGS1
CTR9,POR
XRCC6,ROBO4
VEZF1,POMGNT2
GATA2,SPTBN1
TAF12,SELL
IRF7,SYK
CBFB,IL18RAP
XRCC6,FADS1
RBL2,GLB1
ZBTB38,GM45837
EYA2,ANXA4
ARNTL,IL18RAP
ZFP467,EMCN
XRCC6,MSMO1
GATA2,DDX4
SLA2,MCTP1
XPC,CCL3
CTR9,EPB41L4B
MLLT3,VAV3
MCM4,RCN2
XRCC6,SLC12A6
EYA2,SAT1
H1F0,RNF141
SLA2,KCTD20
MCM4,CERS5
JUN,CTSS
NFATC1,SPNS2
MCM4,RBBP9
ZBTB38,SPNS3
IRF7,LCK
TAF12,CALCRL
GATA2,MLLT3
MED16,ELOVL5
RBL2,RAB38
CBFB,VAV1
NDN,BCL2
ARNTL,VAV1
MYCN,RPA2
MYCN,TGM2
SATB1,ELOVL5
ARNTL,CD69
NFAT5,SLC7A4
MYCN,XRCC6
ZBTB38,FDFT1
H1F0,FECH
HIST1H1C,FUT7
MED16,AP1G2
RBL2,ART4
RBL2,WFDC17
ZBTB38,RP2
SLA2,MYCT1
MLLT3,SLC39A6
NFATC1,MAP2K1
ZFP467,BC005561
NDN,CTSH
VEZF1,TMEM123
ZFP467,CBFB
NFAT5,TBXA2R
XRCC6,HACD4
SATB1,AP1G2
TAF12,PECAM1
GATA2,DUSP5
BTG2,CNP
MCM2,FUCA2
CTR9,ITGB7
JUN,GEM
MEF2A,MGAT1
ZFP467,DOCK10
NOTCH1,INPP1
TSC22D3,NUDT19
KLF10,4833439L19RIK
NFATC1,S100A6
NFATC1,CD69
MCM2,DPP4
PRDM5,NCEH1
CBFB,IRAK3
CBFB,B4GALT4
RBL2,PAQR7
ARNTL,IRAK3
MCM2,SHISA8
ARNTL,B4GALT4
H1F0,SSH3
HIST1H1C,PTGS1
JUN,ZFP367
TSC22D3,PREP
VEZF1,TBC1D5
JUN,GIMAP8
TSC22D3,TSPAN14
CBX7,GYPC
PML,PGRMC1
MCM5,ST8SIA4
RBL2,SELENBP1
MEF2A,MINDY1
TSC22D3,RHOH
MYCN,NDN
GATA2,POR
MYCN,VAV3
XPC,DDX4
H1F0,SLC43A2
GATA2,EPB41L4B
H1F0,GSN
NFKBIA,YOD1
MCM5,TRPV2
ARNTL,H2-OB
HIST1H1C,KLF10
MEF2A,SLC28A2
ZBTB38,RBBP9
H1F0,TFPI
SLA2,MAPKAPK3
TAF12,TFR2
NFAT5,ARHGEF3
VEZF1,LCK
EYA2,GM4759
MCM4,ARHGAP18
TSC22D3,NOTCH1
MEF2A,RFTN1
MED16,H2-AA
MCM5,ARL8B
NFKBIA,STARD4
SLA2,2610307P16RIK
TSC22D3,AC174780.1
MLLT3,SH2D5
MLLT3,CPQ
PML,ZFP157
HIST1H1C,AP1G2
NFAT5,MAST3
JUN,CTLA2B
IRF7,MILR1
RBL2,SATB1
TAF12,SERPINB9
NFAT5,MAN1A
SATB1,H2-AA
PML,ATP13A2
MCM4,ANXA4
RBL2,TNPO1
MYCN,SLC39A6
EYA2,F2RL3
NFATC1,H2-OB
EYA2,SLC35B4
SLA2,ASAH1
MCM4,SAT1
ZBTB38,EZR
NFATC1,9030619P08RIK
H1F0,ABCG2
TAF12,CTSS
TSC22D3,LCP2
TSC22D3,ITPR1
XPC,DUSP5
XRCC6,SMIM15
GATA2,ITGB7
XRCC6,TRIM59
NFAT5,1700017B05RIK
IRF7,MORC3
ZFP467,NDOR1
MED16,ZDHHC17
RBL2,NFAM1
KLF10,OCRL
MCM5,SESN1
BTG2,APOE
NFAT5,PSEN1
NFATC1,BTK
RBL2,RNF213
EYA2,SQOR
PRDM5,PRODH
ZFP467,ICAM1
PRDM5,DOK2
IRF7,NFKBIA
SATB1,ZDHHC17
NFKBIA,HEATR5A
JUN,NFATC1
IRF7,ESAM
XPC,RNF38
MCM5,TRPC6
MYCN,RTP4
PML,ITM2A
MLLT3,PDZK1IP1
XPC,POR
MEF2A,GATA2
MLLT3,RBL2
PRDM5,EMCN
TSC22D3,LIG1
XRCC6,NT5C3
TAF12,GEM
XPC,EPB41L4B
IRF7,PRIM1
MCM5,NAGA
XRCC6,FRRS1
SATB1,ITPK1
CBFB,MYO1G
ZBTB38,PGLYRP2
ZFP467,ZFP120
ARNTL,MYO1G
