TF,Target
MCM6,LCP2
HDAC7,MPO
MAPK11,MYLK
HNRNPAB,STOM
KLF10,NKG7
NR3C2,CSF3R
TSC22D3,CENPE
NR3C2,NDEL1
MCM4,GFI1B
PML,ZFP61
TSC22D3,PLSCR4
PGR,PDK3
HNF4A,NOTCH1
VEZF1,PGM2L1
PBX1,ADGRL4
ARNTL,NAGA
HDAC11,F630028O10RIK
LZTS1,PGR
NFKBIA,HACD4
APBB1,NUPR1
HIF3A,RHOH
GATA2,PWWP3A
REL,RCN2
MAPK11,LHCGR
THRB,ELMO3
TSC22D3,IRGM2
EPOR,CDKN1C
KLF10,PRSS57
ETS1,CCR7
SOX18,USP3
TLR4,GPR65
EPAS1,ZMYM3
ZBTB38,TMEM37
TRIB3,SQOR
YBX1,SERPINB9
PBX3,H2-AA
CTR9,MYLK
LZTS1,ABCF3
NAP1L3,MAML2
MECOM,JCHAIN
APBB1,SUOX
IKZF1,MCM5
CTR9,RHOF
IRF6,CNN3
NFKB1,SAMSN1
ZFP111,TRP53INP1
EGR1,EEPD1
VDR,TRPV2
ETS1,FTX
ESR1,ZFP367
MAPK11,ANKRD6
RUNX2,CPNE8
CBFB,GRINA
CBX7,SARAF
TRPS1,DIP2B
PA2G4,SLC39A8
FOXO1,SSTR2
CTR9,LHCGR
SATB1,MEIS1
RBL2,VMAC
RARB,NUP88
MYC,HSPA1A
PHC1,SLC12A6
MCM6,TIE1
HMGB2,SLFN2
NFE2,PRPS2
VEZF1,ALDOC
FOXO1,PIK3R1
TLR4,CD93
PRDM5,TACC3
BATF2,PYGM
ELF1,KIF11
SLA2,ORC6
MLLT3,LAG3
ZBTB20,ADORA2A
LDB2,GM4951
GATA2,PAG1
CENPK,GBP7
RARB,FUT7
AEBP1,PLXNC1
ELF1,MCM6
MIS18BP1,COPB1
HNF4A,ARL11
KLF6,RSL1
RBL2,XPC
HCFC1,IGHV11-2
AEBP1,FECH
EPAS1,ID1
CLOCK,TIMM50
NFATC1,RPA2
HIF3A,SLC43A2
KLF6,SLC43A3
KLF6,SLC25A37
TCF19,IER3
CBX7,ZMYM3
HLF,FUT10
ZBTB38,RPGRIP1
FOXO1,PRKG1
PBX1,CTR9
RUNX1T1,AP1G2
THRB,AEBP1
HLF,UBE2E2
NDN,TES
KLF6,TMEM176A
TLR4,SYTL1
H1F0,RMND5A
ZKSCAN4,UBL4A
DACH1,SSH3
PA2G4,SORL1
HDAC11,TFRC
FOXO1,MOGS
TTF2,APP
TTF2,CAPG
EPOR,GDF3
MEF2A,UNC119B
RARB,CTSC
MCM6,UBA7
CBFB,TSPAN6
NAP1L3,PRKCQ
NDN,SGMS1
LZTS1,TTC39B
CD7,CDCA4
RAD51,IRAK3
VEZF1,LGALS9
SPI1,CENPE
SOX6,CDK6
HIST1H1C,PLIN3
MEF2A,ULK1
MCM7,DIP2B
MCM5,IER3
KLF10,SLBP
PHC1,CENPE
XRCC6,MEIS1
PHC1,PLSCR4
ETS1,UMPS
SPO11,GNG11
MED16,SP100
TAF12,SLC5A6
MAPK12,SNX10
IKZF1,RUBCNL
NFIA,JAK1
MAPK11,AC174780.1
MYC,RHOF
HNRNPAB,GIMAP8
KLF6,PITPNC1
HOXA9,EPB41L3
HDAC7,FGGY
EPOR,PACSIN2
PA2G4,NR3C2
NFKB1,VAMP1
TTF2,CTR9
PGR,RAMP1
MYCN,FOXO1
