TF,Target,Label
MYBL2,CCND1,1
MYBL2,FGF4,1
ESRRB,2210409E12RIK,1
POU5F1,LAMA1,1
ESRRB,PTH1R,1
ESRRB,SEPT1,1
TRP53,AURKA,1
POU5F1,SOX2,1
TRP53,PODXL,1
MYBL2,UCHL1,1
TFCP2L1,FGF4,1
ZFP42,ESRRB,1
POU5F1,DNMT3L,1
TFCP2L1,MT2,1
ESRRB,NDRG4,1
TFCP2L1,HIST1H2BF,1
KAT2B,RBPJ,1
TFCP2L1,ZFP57,1
EPAS1,SLC2A1,1
TFCP2L1,TOP2A,1
ESRRB,SPRY2,1
POU5F1,ZFP42,1
TRP53,CLDN6,1
PML,POU5F1,1
NANOG,ZFP57,1
POU5F1,GATA6,1
TFCP2L1,MIR1949,1
TFCP2L1,HSPB1,1
DNMT3A,MT1,1
POU5F1,PML,1
GATA4,JARID2,1
ESRRB,SLC6A8,1
ESRRB,THBD,1
ESRRB,JAM2,1
ESRRB,RASGRP2,1
POU5F1,ESRRB,1
TRP53,RRM2,1
SOX2,JAM2,1
BCL3,CCND1,1
ESRRB,SPP1,1
TFCP2L1,LY6G6E,1
ESRRB,SNHG5,1
ESRRB,HMGA1,1
TFCP2L1,IGFBP2,1
SOX2,SPP1,1
ESRRB,POU5F1,1
NANOG,ZFP42,1
TRP53,ETV5,1
SOX2,POU5F1,1
SOX17,POU5F1,1
TRP53,NRG1,1
TRP53,PML,1
NR0B1,MYBL2,1
ESRRB,BHLHE40,1
POU5F1,KLF2,1
NANOG,PFKP,1
ESRRB,NR0B1,1
POU5F1,LAMB1,1
ESRRB,DNMT3A,1
POU5F1,TET2,1
ESRRB,PCOLCE,1
DNMT3B,POU5F1,1
SOX2,UTF1,1
TRP53,TYRO3,1
GATA4,POU5F1,1
TRP53,KLF2,1
BCL3,CTSL,1
ESRRB,TRH,1
ESRRB,NANOG,1
TFCP2L1,HMGA1,1
SOX2,NANOG,1
TRP53,SPP1,1
TFCP2L1,SFI1,1
TFCP2L1,ANXA5,1
NR0B1,ZFP42,1
ESRRB,IFITM2,1
TRP53,LRP2,1
TFCP2L1,ETV5,1
NANOG,HSPB1,1
ESRRB,CKB,1
ESRRB,ASS1,1
ESRRB,SLC25A5,1
ZFP42,POU5F1,1
POU5F1,ANXA2,1
DNMT3L,DNMT3B,1
TFCP2L1,FAM25C,1
TFCP2L1,UPP1,1
TGIF1,CREB3L2,1
DAB2,LRP2,1
TRP53,TGIF1,1
SOX2,FGF10,1
DNMT3B,NANOG,1
POU5F1,NANOG,1
ESRRB,MYBL2,1
TFCP2L1,SNURF,1
TRP53,UPP1,1
ESRRB,APOE,1
RBPJ,POU5F1,1
ZFP42,NR0B1,1
TFCP2L1,LAPTM5,1
POU5F1,TDGF1,1
TFCP2L1,NANOG,1
POU5F1,PHC1,1
POU5F1,SPP1,1
ESRRB,CAR2,1
ESRRB,FGF4,1
SOX2,CCND1,1
POU5F1,HSPG2,1
SOX17,CCND1,1
TRP53,NDRG1,1
ESRRB,LAMA1,1
TFCP2L1,CCNG1,1
POU5F1,TET1,1
TRP53,NANOG,1
MYBL2,POU5F1,1
SOX17,LAMA1,1
DNMT3L,NANOG,1
TFCP2L1,PHC1,1
POU5F1,TDH,1
TRP53,CCNG1,1
TFCP2L1,ASS1,1
POU5F1,FGF4,1
JARID2,CCND1,1
TFCP2L1,POU5F1,1
NANOG,PHC1,1
ESRRB,FLRT3,1
POU5F1,P4HA1,1
POU5F1,NR0B1,1
ESRRB,FAM129B,1
TRP53,GPX3,1
NANOG,TUBB2B,1
MYBL2,NR0B1,1
POU5F1,DNMT3A,1
ESRRB,ZFP42,1
POU5F1,UTF1,1
ESRRB,LY6G6E,1
SOX7,LAMA1,1
ESRRB,RBPJ,1
NANOG,NR0B1,1
ESRRB,CALU,1
TRP53,2810025M15RIK,1
SOX2,RBPJ,1
ESRRB,KDM5B,1
ESRRB,COL4A2,1
GATA6,DAB2,1
KAT2B,GATA4,1
PML,MT2,1
NR0B1,NANOG,1
POU5F1,LEFTY1,1
TFCP2L1,CD63,1
KPNA2,KLF2,1
TRP53,IGF2,1
DNMT3L,HIST1H3I,1
DNMT3A,POU5F1,1
GATA4,GATA6,1
TRP53,ZFPM1,1
TRP53,FGFR3,1
POU5F1,GATA4,1
POU5F1,SOX17,1
TFCP2L1,TINAGL1,1
GATA4,HSPA5,1
POU5F1,RBPJ,1
TRP53,MIR3082,1
KAT2B,CCND1,1
TRP53,EPS8,1
DNMT3L,HIST1H3H,1
NANOG,LEFTY1,1
ESRRB,COMMD3,1
POU5F1,MYBL2,1
TFCP2L1,SNORA74A,1
TRP53,CCNB1,1
KAT2B,HIST1H3I,1
TRP53,MT1,1
TFCP2L1,HSP90AA1,1
NR0B1,TFCP2L1,1
POU5F1,AMOTL2,1
ESRRB,ETV5,1
ESRRB,HIST1H2AN,1
TRP53,PSRC1,1
NANOG,TDH,1
TFCP2L1,MYBL2,1
ESRRB,BCL3,1
ESRRB,IGFBP2,1
ESRRB,PML,1
HIST1H1D,MOV10,0
ZFP42,B2M,0
KAT2B,COL27A1,0
PEG3,SAT1,0
KAT2B,VIM,0
RBPJ,ZFP42,0
ZFPM1,GM23130,0
SOX7,TET1,0
UTF1,SFI1,0
POU5F1,SPINK1,0
SOX17,SNORA3,0
ESRRB,DPPA4,0
SOX17,EPAS1,0
JARID2,GM15452,0
ETV5,GM23262,0
CCND1,MKRN1,0
DNMT3L,CTSZ,0
ETV5,HIST1H2AL,0
