TF,Target,Label
TFCP2L1,TAGLN2,1
ESRRB,GABARAPL2,1
TFCP2L1,LAPTM5,1
SOX2,POU5F1,1
SOX2,GJA1,1
HSPB1,CDKN1A,1
ETS1,SPP1,1
JARID2,EED,1
ESRRB,PML,1
ETS1,EGR1,1
ESRRB,SLC25A36,1
MYCN,SOCS2,1
MYCN,CTSL,1
DNMT3B,NANOG,1
ESRRB,HMMR,1
JARID2,GATA4,1
ESRRB,ALPL,1
NANOG,RCC2,1
TRP53,SLC6A6,1
RBBP7,EED,1
MYCN,MT2,1
EHMT2,DNMT3A,1
EGR1,CCND2,1
MYCN,CALR,1
TFEB,VEGFA,1
NR0B1,ZFP42,1
ESRRB,SNORA81,1
ZFP42,POU5F1,1
ESRRB,GOT1,1
MYCN,SLC16A1,1
TFCP2L1,GAS6,1
KAT2B,TRP53,1
MYCN,UNG,1
EED,ACTG1,1
TRP53,KLF2,1
ESRRB,RIF1,1
EGR1,ACTG1,1
KLF4,EIF4A2,1
MYCN,DKC1,1
EPAS1,SLC2A1,1
NANOG,MIR295,1
SMARCA2,CDH1,1
PML,B2M,1
TRIM28,NR0B1,1
POU5F1,TDH,1
MYCN,GABARAP,1
MYCN,BNIP3,1
ESRRB,POU5F1,1
KLF4,TXNIP,1
KLF4,KDELR3,1
DNMT3L,POU5F1,1
MYCN,PDIA4,1
TFCP2L1,TFEB,1
TCF7L2,CCND1,1
KPNA2,KLF4,1
MYCN,SRM,1
TRP53,MDM2,1
ZFP42,RLIM,1
KLF4,LEFTY2,1
NANOG,GATA6,1
DNMT3A,MT1,1
TRP53,PML,1
MYCN,PRDX4,1
MYCN,CDCA7,1
TCF7L2,CCND3,1
ESRRB,RPP25,1
KLF4,PLXNB2,1
BCL3,CCND1,1
TFCP2L1,ETV5,1
MYCN,KDM3A,1
POU5F1,HK2,1
KLF4,CSRP2,1
MYCN,SLC38A2,1
KLF4,LDLRAP1,1
MYCN,HIST1H2BK,1
ESRRB,RAB3IL1,1
TRP53,AKT1,1
MYCN,SNHG5,1
RBPJ,SOX2,1
RBPJ,POU5F1,1
ESRRB,EIF4A2,1
POU5F1,MSH6,1
MYCN,SNORA21,1
GATA4,POU5F1,1
EGR1,F3,1
KLF4,PDIA5,1
KLF4,FOXH1,1
ESRRB,OAT,1
SUZ12,HIST1H3I,1
MYCN,IGFBP2,1
MYCN,HMMR,1
POU5F1,CDKN1A,1
ESRRB,APOE,1
KLF4,CTNNAL1,1
EGR1,RBM38,1
EGR1,ZC3H7A,1
MYCN,CBX7,1
MCM6,MSH6,1
PML,MDM2,1
ETS1,KRT8,1
ESRRB,SLC6A8,1
MCM6,CDKN1A,1
GATA4,JARID2,1
POU5F1,EED,1
ESRRB,CAR2,1
MYCN,IMPDH1,1
KLF4,LY6G6E,1
POU5F1,GATA4,1
XBP1,VEGFA,1
NANOG,TOP2A,1
ESRRB,RASGRP2,1
POU5F1,DNMT3A,1
KLF4,KRT19,1
KLF4,LEFTY1,1
SUZ12,DKK1,1
KLF4,CDKN1A,1
FOXQ1,CDH1,1
POU5F1,RBBP7,1
GATA4,BMP4,1
NANOG,TUBB4B,1
TFCP2L1,SPRY4,1
DAB2,APP,1
TFCP2L1,TUBB4B,1
TFCP2L1,CDH1,1
MYCN,PARP1,1
NANOG,PARP1,1
TFCP2L1,PARP1,1
HIST1H1D,NASP,1
MYCN,SOX2,1
ESRRB,JAM2,1
KLF4,ANXA2,1
EGR1,SNORD17,1
NANOG,ZFP42,1
KLF4,SETX,1
