TF,Target,Label
GABBR1,SLC16A1,1
GABBR1,GAS6,1
SOX2,SNURF,1
ESRRB,RNF157,1
GABBR1,BEX3,1
ESRRB,CTDSPL,1
GATA4,EMB,1
SOX2,CREB3L2,1
TET1,FOXQ1,1
SUZ12,CRIP2,1
TET1,ZYX,1
TRIM28,SGK1,1
SUZ12,KLB,1
GABBR1,HTRA1,1
GABBR1,PFKP,1
MYCN,SLC16A1,1
UTF1,FAM234A,1
NANOG,GAS6,1
SOX2,VIM,1
TET1,MYLPF,1
NANOG,BEX3,1
GABBR1,ANK,1
CBX7,GHR,1
ESRRB,CDH1,1
TRIM28,CALM1,1
CBX7,FGF3,1
ZFP42,JARID2,1
TET1,ENAH,1
ZFP57,MFGE8,1
ZFP57,ADAM19,1
ESRRB,MOV10,1
POU5F1,L1TD1,1
DDX21,ARF4,1
NANOG,TMEM150A,1
ZFP57,EIF2S2,1
KLF4,IDI1,1
GABBR1,SLC38A2,1
KLF4,IFITM1,1
UTF1,PNRC2,1
GATA4,SLC25A36,1
ESRRB,PLEKHA7,1
POU5F1,RSRP1,1
DDX21,TXNDC12,1
ZFP42,STMN1,1
ESRRB,MYO1C,1
TET1,NR0B1,1
NANOG,EDA2R,1
JARID2,HIST1H2BN,1
DDX21,GGTA1,1
DDX21,MFSD1,1
CBX7,NRG1,1
SUZ12,ANXA5,1
TET1,GNAS,1
GABBR1,APAF1,1
GABBR1,TGM1,1
UTF1,FRRS1,1
KLF4,PLXNB2,1
MYCN,CTBP2,1
NANOG,CTBP2,1
POU5F1,AMFR,1
SUZ12,GABARAPL2,1
POU5F1,PLA2G1B,1
UTF1,SLC2A1,1
ZFP57,MARC2,1
DDX21,NIPSNAP1,1
ZFP57,CSTB,1
ZFP42,SLC7A5,1
NANOG,IGFBP2,1
NANOG,SPSB1,1
JARID2,PODXL,1
ZFP42,SMARCA2,1
JARID2,KHDC3,1
JARID2,ADAM15,1
POU5F1,PLAUR,1
NANOG,TGM1,1
UTF1,PHLDB2,1
GATA4,TRIM28,1
ZFP57,ISYNA1,1
SOX17,MYCN,1
NANOG,CCN2,1
CBX7,SDC4,1
MYCN,FNDC3A,1
ZFP57,TCEA3,1
KLF2,DNMT3A,1
SOX17,IFRD1,1
UTF1,CHCHD10,1
SUZ12,TMEM9,1
NANOG,PDCD4,1
DDX21,RUNX1,1
NANOG,CLDN6,1
POU5F1,STARD10,1
TRIM28,F2R,1
SOX2,ANP32A,1
GATA4,SLCO3A1,1
CBX7,RAB3IL1,1
SUZ12,GNG10,1
CBX7,SERPINE2,1
TET1,DNMT3B,1
ESRRB,LDLRAP1,1
ZFP42,GPA33,1
GABBR1,BAG2,1
UTF1,FKBP11,1
JARID2,SLC25A4,1
ESRRB,CST3,1
JARID2,ZBTB10,1
SUZ12,PROS1,1
ESRRB,BMPER,1
KLF4,GJA1,1
SOX2,ZFP57,1
SOX2,ITPK1,1
UTF1,GORASP2,1
GABBR1,OAT,1
POU5F1,UHRF1,1
TET1,KLF3,1
POU5F1,CCNE1,1
TET1,SEC23A,1
KLF4,EHD1,1
UTF1,CHST15,1
POU5F1,BCAT1,1
POU5F1,LRP2,1
DPPA4,GSR,1
DPPA2,HELLS,1
CBX7,LY6E,1
TGIF1,ANXA2,1
SUZ12,ACTG1,1
DPPA2,KRT8,1
TRIM28,UTF1,1
UTF1,KLF2,1
SUZ12,PLOD1,1
DPPA2,DAB2,1
ESRRB,RBBP7,1
SOX2,STAG3,1
NANOG,DNMT3L,1
EHMT2,CDH1,1
DDX21,TFEB,1
ESRRB,MYMX,1
TRIM28,BNC2,1
TET1,TRIM2,1
ZFP57,P3H4,1
NR0B1,HMCES,1
GABBR1,TCF7L2,1
ZFP42,CLCN5,1
CBX7,FOXQ1,1
GABBR1,ARF4,1
GATA4,P4HB,1
PHC1,IGF2,1
ZFP57,SLC6A8,1
DDX21,HMGA1B,1
ZFP42,FGF10,1
UTF1,KANK3,1
POU5F1,CALU,1
DPPA2,PMM1,1
DPPA2,HIST1H4N,1
TRIM28,HIST1H2BN,1
DPPA2,ACP6,1
NANOG,TCF7L2,1
TGIF1,CDIPT,1
ZFP57,LEFTY2,1
GABBR1,MFSD1,1
GABBR1,GGTA1,1
KLF4,CFC1,1
ESRRB,AMOTL2,1
SOX2,SEMA4C,1
CBX7,SPOCK1,1
DPPA2,KAT2B,1
NANOG,MDM2,1
NANOG,ECT2,1
DDX21,COL27A1,1
TRIM28,SOCS2,1
KLF4,KAT6B,1
NANOG,ALPL,1
GABBR1,NIPSNAP1,1
NANOG,TXNDC12,1
TRIM28,PODXL,1
GABBR1,HIST1H2AP,1
JARID2,ABHD5,1
ZFP57,ZFYVE21,1
NANOG,GGTA1,1
NANOG,MFSD1,1
DDX21,LIFR,1
CBX7,NR0B1,1
DDX21,TUBB2B,1
DDX21,SSR3,1
DPPA4,CCNE1,1
KLF4,COL4A1,1
TRIM28,NEDD4,1
CBX7,GNAS,1
SOX2,SLC7A3,1
JARID2,HIST1H2AC,1
KLF4,MKRN1,1
DDX21,TPM4,1
UTF1,NUP210,1
DPPA2,RNF157,1
MYCN,NIPSNAP1,1
JARID2,ITGA3,1
UTF1,CREB3L2,1
UTF1,ITM2B,1
ZFP57,ODC1,1
SOX17,BASP1,1
ZFP42,PDIA4,1
KLF4,TIMP3,1
POU5F1,SPRY4,1
POU5F1,TUBB4B,1
TRIM28,SLC25A4,1
NR0B1,EPS8L2,1
ZFP42,KLF4,1
DPPA4,P3H4,1
DPPA2,CDH1,1
GABBR1,WDR45,1
NANOG,RUNX1,1
TET1,CCNG1,1
DDX21,CCNB1,1
ESRRB,TMEM150A,1
DPPA2,TIMP2,1
SOX2,CKAP4,1
UTF1,RBM47,1
DPPA2,IQSEC1,1
SOX2,GSTA4,1
NR0B1,UBE2C,1
DPPA2,PLEKHA7,1
DPPA2,SMAD7,1
DPPA2,HIST1H2AF,1
JARID2,TXNDC5,1
JARID2,LAD1,1
ZFP57,GFPT2,1
DDX21,DPP4,1
ZFP57,TEX264,1
POU5F1,DDX21,1
SOX2,FBLIM1,1
UTF1,CARHSP1,1
DDX21,SURF4,1
UTF1,UBQLN2,1
SOX2,CSRP1,1
GATA4,CALU,1
ESRRB,ZFP710,1
ESRRB,IGFBP2,1
DPPA4,CLCN2,1
EED,HS3ST1,1
SUZ12,ADAM19,1
ZFP57,RLIM,1
DPPA4,CDCA7,1
TGIF1,HDLBP,1
NR0B1,HIST1H2AN,1
JARID2,SRPRB,1
UTF1,CENPV,1
JARID2,MSMO1,1
CBX7,MT1,1
KLF4,CALCOCO2,1
TGIF1,PIPOX,1
ESRRB,CCN2,1
UTF1,PRKAB1,1
KLF4,CYP26A1,1
TET2,SFMBT2,1
GABBR1,HMGA1B,1
TGIF1,CALM1,1
DDX21,ALG13,1
DDX21,PNRC2,1
GATA4,CDCA7,1
JARID2,CDH6,1
DPPA4,ITGA6,1
DPPA4,NRG1,1
TRIM28,HMCES,1
SOX17,HIST1H2AH,1
SUZ12,HIST1H4D,1
KLF4,ARHGAP29,1
TET1,MYCN,1
DDX21,FRRS1,1
CBX7,TRIM2,1
NANOG,HMGA1B,1
DPPA4,GNPTAB,1
DPPA2,LDLRAP1,1
GABBR1,GATA4,1
SUZ12,F3,1
SOX2,LDHB,1
NANOG,AQP3,1
NANOG,IGF2,1
UTF1,ZFP57,1
DDX21,SLC2A1,1
UTF1,ITPK1,1
EED,FGF3,1
DPPA2,BMPER,1
ZFP57,NASP,1
SUZ12,VSIR,1
PHC1,PHLDB2,1
JARID2,ETL4,1
GABBR1,LIFR,1
GABBR1,SSR3,1
CBX7,ID2,1
NANOG,GATA4,1
NANOG,LTBP4,1
GABBR1,TPM4,1
DPPA4,EPS8,1
DPPA4,DDX21,1
TET1,CALR,1
SOX2,SNX1,1
TET1,TXNIP,1
NANOG,TUBB2B,1
POU5F1,ENAH,1
NANOG,2810025M15RIK,1
KLF4,AARS,1
POU5F1,SPOCK1,1
SUZ12,IFI30,1
NANOG,TPM4,1
DDX21,FKBP11,1
JARID2,ABCC5,1
DPPA2,LAMA5,1
ZFP57,COLGALT1,1
GATA4,DDX21,1
TET1,CTSD,1
SOX2,SLC25A36,1
GABBR1,HKDC1,1
ZFP57,FABP3,1
GABBR1,CCNB1,1
POU5F1,NR0B1,1
ZFP57,GSN,1
UTF1,DTX1,1
UTF1,BASP1,1
TET1,SOAT1,1
NANOG,SLC5A11,1
ZFP42,SPSB1,1
JARID2,FGFR3,1
NR0B1,TRH,1
MYCN,CCNB1,1
ZFP42,APAF1,1
TGIF1,HIST2H2BB,1
SUZ12,RPP25,1
SOX2,KRT42,1
TET1,CTNNAL1,1
GABBR1,DPP4,1
ESRRB,MDM2,1
TET1,FNDC3B,1
GABBR1,SURF4,1
SOX2,ZFP532,1
ESRRB,ALPL,1
TGIF1,GLS,1
TRIM28,CALD1,1
ESRRB,ARFGAP1,1
ZFP57,FAM102A,1
GABBR1,FAM234A,1
SOX2,TRIM28,1
SUZ12,P3H4,1
TGIF1,HMMR,1
SUZ12,B2M,1
SUZ12,KDELR3,1
ZFP57,P4HA2,1
TET1,CR1L,1
NANOG,DPP4,1
TET1,KLF6,1
ZFP57,IFITM2,1
NANOG,SURF4,1
CBX7,GATA6,1
UTF1,SLC7A3,1
NANOG,TYRO3,1
SUZ12,HSPH1,1
KLF4,LMF2,1
TET1,FDPS,1
POU5F1,DNMT3B,1
SUZ12,LEFTY2,1
TGIF1,TUBB6,1
TGIF1,BNC2,1
DPPA4,SPOCK1,1
KLF4,EPHA4,1
SOX2,ST5,1
GABBR1,FRRS1,1
ESRRB,RUNX1,1
TET1,NDRG1,1
MYCN,ALG13,1
SUZ12,ZFYVE21,1
TET1,KPNA2,1
MYCN,PNRC2,1
UTF1,GABARAPL2,1
SOX17,SLC20A1,1
SOX2,VKORC1,1
TET1,EPHA2,1
ZFP42,OAT,1
GABBR1,SLC2A1,1
JARID2,CDC20,1
POU5F1,SEC23A,1
GABBR1,AKT1,1
NANOG,KDELR2,1
DPPA4,WDR1,1
JARID2,KRT8,1
NR0B1,DDAH2,1
ZFP57,TPD52,1
SOX2,L1TD1,1
NANOG,TIMP3,1
JARID2,DAB2,1
UTF1,TTC7,1
ZFP57,MORC4,1
SUZ12,HIST1H1B,1
JARID2,TFRC,1
DDX21,NUP210,1
GABBR1,HSP90AA1,1
NANOG,SLC2A1,1
GABBR1,POU5F1,1
DDX21,CREB3L2,1
SOX2,RSRP1,1
KLF4,KIT,1
POU5F1,HSP90B1,1
TET1,FZR1,1
ESRRB,IDI1,1
UTF1,CSRP1,1
DPPA2,EED,1
ESRRB,IFITM1,1
SOX2,SLC25A5,1
KLF4,LEFTY1,1
ZFP42,TMSB4X,1
NANOG,PHLDB2,1
JARID2,PMM1,1
JARID2,HIST1H4N,1
TET1,DCXR,1
SOX2,AMFR,1
JARID2,ACP6,1
UTF1,NUP62CL,1
NANOG,CHCHD10,1
NR0B1,GPA33,1
ZFP57,HIST1H2AI,1
UTF1,PROS1,1
TET1,GFPT1,1
ESRRB,CSRP2,1
ZFP42,ARF4,1
ESRRB,FXYD6,1
ESRRB,GM10039,1
DPPA2,CCN2,1
DDX21,RBM47,1
POU5F1,MGST3,1
NR0B1,FGF4,1
CBX7,TXNIP,1
ZFP42,HIST1H2BL,1
SOX2,RAB11A,1
TET1,F2R,1
SUZ12,TEX264,1
UTF1,RPS27RT,1
TET1,TET2,1
ZFP42,MSH6,1
ESRRB,FBXO5,1
TRIM28,LRPAP1,1
GABBR1,CHST15,1
ZFP42,MFSD1,1
JARID2,SELENOW,1
NANOG,LRRK1,1
SUZ12,HIST1H1D,1
TET1,MYH9,1
JARID2,TUBA4A,1
ZFP42,TGIF1,1
ESRRB,AQP3,1
TGIF1,SORD,1
DDX21,CARHSP1,1
DDX21,UBQLN2,1
JARID2,RNF157,1
UTF1,LDHB,1
TRIM28,ELOVL6,1
TET1,TNK2,1
TGIF1,CD63,1
NR0B1,PCOLCE,1
DPPA4,CARMIL1,1
ZFP42,NIPSNAP1,1
TET1,NID1,1
NR0B1,MOV10,1
DPPA4,SEC23A,1
UTF1,MYO7A,1
NANOG,CHST15,1
KLF4,STMN1,1
UTF1,EMB,1
ESRRB,SNORD35B,1
DPPA2,MYO6,1
NANOG,ARHGAP29,1
UTF1,GNPDA1,1
CBX7,FNDC3B,1
ESRRB,GJA1,1
GATA4,SEC23A,1
DPPA4,MYO5B,1
TET1,LY75,1
GABBR1,KANK3,1
JARID2,IQSEC1,1
SOX2,MCM10,1
DDX21,ANP32A,1
SOX2,BCAT1,1
JARID2,ADAM23,1
TET1,PLSCR1,1
POU5F1,CCNG1,1
TET1,UTF1,1
KLF2,BNIP3,1
TRIM28,PRDX1,1
ESRRB,EHD1,1
ZFP57,RESF1,1
TRIM28,WDFY1,1
SUZ12,ITGAV,1
TRIM28,2410141K09RIK,1
NANOG,PDIA5,1
NANOG,KANK3,1
DDX21,ZFP57,1
POU5F1,NANOG,1
GATA4,HSP90B1,1
POU5F1,GATA6,1
TGIF1,ASAH1,1
ESRRB,SLC5A11,1
UTF1,PIK3R1,1
CBX7,GRB10,1
TET1,HIST1H2BN,1
