TF,Target,Label
KAT2B,HIST1H2AL,1
CCND1,EGR1,1
RBPJ,DTX1,1
MCM6,RRM2,1
SOX2,GATA6,1
ILK,PARVB,1
EHMT2,FZR1,1
POU5F1,ZFP42,1
CCND1,MDM2,1
CCND1,CDH1,1
MCM6,MCM10,1
HIST1H1D,TRP53,1
RLIM,NEDD4,1
NANOG,DPPA2,1
POU5F1,LEFTY1,1
PHC1,CBX7,1
POU5F1,EHMT2,1
DNMT3A,HIST1H2AF,1
POU5F1,DNMT3B,1
HIST1H1B,HIST1H4D,1
ZFPM1,GATA6,1
MYCN,POU5F1,1
CCND1,CCND2,1
RLIM,FZR1,1
TRP53,CCND1,1
TRP53,FZR1,1
NANOG,TFCP2L1,1
SMARCA2,ACTG1,1
XBP1,PDIA4,1
RUNX1,PML,1
MDM2,CDKN1A,1
TRP53,RBM38,1
RBBP7,COMMD3,1
PARP1,ANXA5,1
MYCN,AURKA,1
SOX2,GATA4,1
DNMT3B,HELLS,1
MCM6,BUB1B,1
DNMT3A,CCND1,1
AKT1,GJA1,1
CCND1,CCNE1,1
KLF4,TFCP2L1,1
PHC1,UBE2C,1
EHMT2,POU5F1,1
BMP4,KIT,1
POU5F1,TFCP2L1,1
TRP53,MDM2,1
AKT1,IGF2,1
KLF3,CTBP2,1
CBX7,SUZ12,1
ETS1,TRP53,1
CCND1,MYCN,1
ZFP42,SOX2,1
DNMT3L,DNMT3B,1
RBBP7,HIST1H2BK,1
TRP53,POU5F1,1
CCND1,SOX2,1
CCND1,CDKN1A,1
RLIM,MKRN1,1
UTF1,DPPA2,1
RUNX1,HIST1H2AL,1
POU5F1,TRIM28,1
SUZ12,EED,1
DAB2,LRP2,1
AKT1,HSP90AA1,1
POU5F1,CCND1,1
DNMT3A,TET2,1
HIST1H1B,HIST1H4K,1
HIST1H1B,HIST1H1A,1
NANOG,TDGF1,1
RUNX1,CTBP2,1
TRP53,CCNE1,1
DNMT3B,RBBP7,1
GATA4,SOX17,1
PHC1,RUNX1,1
TRP53,EPHA2,1
RUNX1,PHC1,1
TRP53,SLC2A1,1
RBBP7,DNMT3A,1
TRP53,HMGA1,1
GATA6,NANOG,1
XBP1,DNAJC3,1
SOX7,SOX2,1
AKT1,FN1,1
DNMT3B,HIST1H4K,1
EED,HIST2H2BB,1
KLF4,TRP53,1
AKT1,CCNB1,1
TRP53,MYCN,1
KLF4,AKT1,1
BMP4,CDH1,1
POU5F1,CDH1,1
POU5F1,TDGF1,1
DNMT3A,RBBP7,1
TRP53,HIST1H1A,1
POU5F1,AKT1,1
AKT1,PARP1,1
ESRRB,KLF4,1
CREB3L2,SEC24D,1
TRP53,ANXA2,1
TRP53,TOP2A,1
TRP53,KAT2B,1
DNMT3A,HIST1H4K,1
AKT1,KLF4,1
GATA4,NANOG,1
CCND1,MCM10,1
EED,HIST1H2BK,1
ZFPM1,HIST1H2BK,1
RLIM,CDC20,1
CREB3,CREB3L2,1
ESRRB,POU5F1,1
TRP53,CDC20,1
RBBP7,CBX7,1
ID2,BMP4,1
CBX7,UBE2C,1
NANOG,SOX2,1
UTF1,TDGF1,1
DNMT3A,DNMT3B,1
ZFP42,NANOG,1
KLF2,SOX2,1
CBX7,PHC1,1
MYCN,CCND1,1
MYBL2,CCNB1,1
AKT1,MKRN1,1
RBBP7,HIST1H2AF,1
KLF4,MYCN,1
KAT2B,RBPJ,1
POU5F1,KLF2,1
SOX2,LEFTY1,1
RBBP7,HIST1H2AL,1
TRP53,CITED2,1
EED,DNMT3A,1
POU5F1,MYCN,1
EPAS1,COMMD3,1
RLIM,ARIH2,1
KLF4,CDKN1A,1
TRP53,RRM2,1
BMP4,SOX2,1
POU5F1,SOX2,1
TRP53,PML,1
KPNA2,NUSAP1,1
EGR1,BTG2,1
CCND1,IL6,1
ZFP42,NR0B1,1
NANOG,ALPL,1
KLF2,ESRRB,1
GATA6,SOX2,1
BMP4,P4HB,1
CCND1,TRP53,1
NR0B1,NANOG,1
MDM2,CCNG1,1
JARID2,RBBP7,1
DNMT3L,HIST2H2BB,1
RLIM,SPSB1,1
KLF6,BTG2,1
EHMT2,HIST1H2AL,1
SMARCA2,DNMT3A,1
NANOG,SOX17,1
SOX7,GATA4,1
ESRRB,ZFP42,1
JARID2,EED,1
POU5F1,ESRRB,1
HIST1H1B,TRP53,1
PML,RBBP7,1
MYBL2,PLK1,1
TRP53,NANOG,1
PCBD1,HNF1B,1
EHMT2,TRP53,1
KPNA2,RRM2,1
KLF4,SOX17,1
TRP53,BUB1B,1
EED,CBX7,1
UTF1,SOX2,1
DNMT3B,HIST1H4D,1
KAT2B,HIST1H4D,1
AKT1,IGFBP2,1
POU5F1,TCL1,1
EHMT2,PLOD2,1
TRP53,EGR1,1
DNMT3L,HIST1H2BK,1
KLF4,GATA6,1
CBX7,RBBP7,1
ILK,PARVA,1
HNF1B,PCBD1,1
EED,HIST1H2AF,1
TRP53,IL6,1
SOX2,FN1,1
SOX2,FGF4,1
POU5F1,GATA6,1
KAT2B,RUNX1,1
TRP53,HSPB1,1
SOX2,CCND1,1
SMAD7,BMP4,1
ZFPM1,HIST1H2AL,1
TRP53,AKT1,1
MCM6,CCNB1,1
DNMT3A,HIST1H4D,1
ESRRB,TFCP2L1,1
DNMT3B,TET1,1
KLF2,NANOG,1
AKT1,NRG1,1
MYCN,SOX2,1
ZFPM1,CTBP2,1
DNMT3A,TRP53,1
KAT2B,MSL3,1
TRP53,RFFL,1
DNMT3B,HIST2H2BB,1
KLF4,NANOG,1
EED,PHC1,1
SOX2,KLF4,1
TRIM28,POU5F1,1
BMP4,NANOG,1
POU5F1,NANOG,1
SUZ12,HIST1H2BK,1
BMP4,GATA4,1
RUNX1,CCND1,1
DNMT3A,TET1,1
RBBP7,HIST1H2AK,1
GATA4,GJA1,1
RUNX1,CCND3,1
RBBP7,NASP,1
HIST1H1D,HIST1H4K,1
RBBP7,JARID2,1
CCND1,DNMT3A,1
SOX2,POU5F1,1
TFCP2L1,KLF4,1
MCM6,MSH6,1
TRP53,PRKAB1,1
KAT2B,HIST1H4K,1
BMP4,FN1,1
AKT1,CCND1,1
BMP4,FGF3,1
MCM6,PLK1,1
NANOG,TET1,1
POU5F1,TRP53,1
TRP53,CDKN1A,1
EHMT2,SUZ12,1
CREB3L2,SEC23A,1
HMGA1,TRP53,1
EHMT2,DNMT3A,1
TFCP2L1,POU5F1,1
TRP53,SERPINE2,1
UTF1,NANOG,1
SMAD7,CDH1,1
XBP1,P4HB,1
DNMT3B,SUZ12,1
SUZ12,EHMT2,1
DNMT3A,HIST1H2BK,1
SOX17,BMP4,1
PHC1,EED,1
AKT1,MDM2,1
CCND1,IGF2,1
POU5F1,TET1,1
AKT1,ID2,1
DNMT3L,HIST1H2AF,1
HSPB1,HSPA5,1
BTG2,KLF6,1
MDM2,CCND1,1
TRP53,DNMT3A,1
GATA6,KLF4,1
BMP4,CKAP4,1
HSPB1,TRP53,1
MDM2,MYO6,1
MDM2,SGK1,1
MCM6,NASP,1
HSPB1,AKT1,1
BMP4,MFGE8,1
DNMT3A,SUZ12,1
DAB2,UBQLN2,1
MYBL2,CCND1,1
PML,MDM2,1
SOX2,ZFP42,1
TRP53,SPP1,1
EED,HIST1H4K,1
PML,AKT1,1
DNMT3A,SMARCA2,1
PHC1,SUZ12,1
GATA6,POU5F1,1
EHMT2,PLOD3,1
PML,RUNX1,1
ESRRB,KLF2,1
EHMT2,DNMT3L,1
DAB2,GJA1,1
AKT1,SLC2A1,1
HIST1H1B,HIST1H2AF,1
SUZ12,HIST1H2AF,1
SOX17,GATA4,1
BMP4,VEGFA,1
TRP53,IGF2,1
CCND1,ANXA5,1
CCND1,MYBL2,1
BMP4,DNAJC3,1
CCND1,CCNB1,1
ESRRB,SOX2,1
TCF7L2,SOX17,1
SOX2,UTF1,1
CCND1,CCND3,1
MCM6,UHRF1,1
AKT1,PDK1,1
RUNX1,KAT2B,1
DNMT3B,NANOG,1
TAX1BP3,STXBP2,1
TFCP2L1,ESRRB,1
GATA4,POU5F1,1
RBBP7,HIST1H4D,1
EHMT2,UBE2C,1
SUZ12,PHC1,1
HIST1H1D,HIST1H4D,1
TRP53,HSP90AA1,1
MYCN,NDRG1,1
DAB2,TFRC,1
FOXH1,LEFTY1,1
BMP4,SPP1,1
MYBL2,CCNE1,1
ZFP42,DPPA4,1
CBX7,HMGA1,1
KAT2B,TRP53,1
SOX2,SOX7,1
SOX17,KLF4,1
ZFP42,POU5F1,1
XBP1,HSPA5,1
TRIM28,ZFP57,1
RUNX1,ZFPM1,1
CCND1,POU5F1,1
DNMT3A,HIST1H2AL,1
ESRRB,TCL1,1
TRP53,TPX2,1
ETS1,ID1,1
TRP53,CCNB1,1
CBX7,EED,1
JARID2,SUZ12,1
PHC1,HIST1H2AL,1
TRP53,PARP1,1
AKT1,TCL1,1
NANOG,GATA4,1
DAB2,SRPRB,1
MCM6,PRC1,1
PARP1,TRP53,1
DNMT3L,HIST1H2AK,1
MDM2,FGFR3,1
PARP1,AKT1,1
TRP53,KLF4,1
CCND1,VEGFA,1
XBP1,HSP90B1,1
GATA4,JARID2,1
NR0B1,POU5F1,1
HMGA1,CBX7,1
NANOG,FGF4,1
RBBP7,EED,1
BTG2,GM6158,1
AKT1,FLNA,1
GATA6,ZFPM1,1
KPNA2,UBE2C,1
SOX2,TRP53,1
TRP53,APAF1,1
DNMT3L,EHMT2,1
BTG2,TRP53,1
ETS1,ID2,1
SOX2,AKT1,1
POU5F1,GATA4,1
KPNA2,TPX2,1
HIST1H1B,HIST1H3I,1
RBBP7,HIST1H4K,1
MYBL2,CDC20,1
XBP1,EDEM1,1
HIST1H1D,HIST1H1A,1
EED,HIST1H4D,1
TRP53,CCNG1,1
SUZ12,RBBP7,1
ESRRB,NANOG,1
ETS1,RUNX1,1
KLF4,CCND1,1
KAT2B,HIST1H2BK,1
EHMT2,RBBP7,1
BMP4,FGF4,1
NANOG,KLF4,1
POU5F1,FGF4,1
SOX2,TET1,1
AKT1,HK2,1
ZFPM1,RUNX1,1
BMP4,SRPRB,1
MDM2,PML,1
GATA4,ZFPM1,1
SUZ12,JARID2,1
HSPB1,HSP90AA1,1
ZFP42,ESRRB,1
TRP53,VEGFA,1
JARID2,GATA4,1
ID1,ETS1,1
EGR1,TRP53,1
NANOG,DPPA4,1
AKT1,EGR1,1
ESRRB,NR0B1,1
BMP4,EVA1A,1
EHMT2,JARID2,1
