TF,Target,Label
EGR1,MICAL1,1
MEF2A,HOXA9,1
RBL2,PCNA,1
MCM7,BIRC5,1
ETS1,MYC,1
CENPK,CDCA5,1
MEF2A,FLNA,1
MECOM,PLCB2,1
IRF7,PML,1
MYCN,RAI14,1
MYCN,DENND2D,1
ETS1,EGR1,1
MCM2,EMB,1
MCM2,MCM7,1
ETS1,IGHM,1
MYCN,CTSL,1
MECOM,TRPS1,1
MCM6,CKS2,1
NFKB1,CCL3,1
H1F0,CDK1,1
XPC,RPA2,1
MYCN,TFRC,1
NFKB1,APOE,1
VDR,HNF4A,1
MCM6,CCNB2,1
MAML3,HDAC7,1
HDAC11,H2AFX,1
MYCN,N4BP3,1
GATA2,ETS1,1
EGR1,IL12A,1
ETS1,PDE12,1
ETS1,EBI3,1
PGR,NFKBIA,1
MCM6,AURKB,1
MYC,SLC29A1,1
MCM2,PCNA,1
NFKB1,IL12A,1
JUN,NPR2,1
MYC,ANGPT1,1
HCFC1,CDK1,1
EGR1,MAP3K2,1
EGR1,APLP2,1
MCM6,CDC45,1
MEF2A,HJURP,1
MCM2,CDC7,1
MYCN,NFKBIA,1
HOXA9,SESN1,1
MYC,HEXA,1
IKZF1,MPZL1,1
MYCN,TRMT6,1
MCM7,LIG1,1
ETS1,CSF3R,1
CENPK,SPC24,1
MYCN,PDIA4,1
MYC,BIRC5,1
JUN,HOXA9,1
IRF7,GBP4,1
MYCN,TYMS,1
REL,NFATC1,1
HDAC11,HDAC7,1
CBFB,TIE1,1
MYC,MYCT1,1
MEF2A,LDLR,1
MYCN,SLC12A6,1
ETS1,RRAS,1
MYC,PA2G4,1
MYC,BCL2,1
HLF,ARNTL,1
HNF4A,VDR,1
MYC,POLA2,1
MCM7,CCNB2,1
MCM2,CENPA,1
MCM6,PCNA,1
SMARCA2,CCNA2,1
IRF6,CD44,1
PML,IRF6,1
ESR1,MYC,1
HOXA9,SATB1,1
MCM4,CCNA2,1
JUN,TLR4,1
ETS1,IKZF1,1
MCM7,AURKB,1
