TF,Target,Label
EGR1,MICAL1,1
PGR,MAPK11,1
RBL2,PCNA,1
MCM6,KIF22,1
ETS1,TIE1,1
IRF8,ICAM1,1
IKZF1,MYC,1
CENPK,CDCA5,1
MYC,IL15RA,1
MEF2A,FLNA,1
MECOM,PLCB2,1
IRF7,PML,1
FOXO1,DACH1,1
MYCN,DENND2D,1
MYCN,RAI14,1
MYCN,RDH10,1
ETS1,EGR1,1
ETS1,IGHM,1
MCM2,MCM7,1
MECOM,TRPS1,1
MCM6,CKS2,1
FOXO1,PIK3R1,1
H1F0,CDK1,1
MECOM,RUNX1T1,1
XPC,RPA2,1
MYCN,TFRC,1
JUN,PROCR,1
EPAS1,TEK,1
MCM7,POLA2,1
IRF7,OASL2,1
ID1,RUNX2,1
ARNTL,RORC,1
FOXO1,EFNA1,1
MYC,TRIM16,1
HMGB2,AURKA,1
NFKB1,APOE,1
MECOM,CNP,1
MCM6,CCNB2,1
EPAS1,RUNX2,1
MAML3,HDAC7,1
GATA2,ETS1,1
MEF2A,KLHL4,1
PGR,NFKBIA,1
EGR1,ARPP21,1
MYC,SLC29A1,1
JUN,TLE2,1
JUN,NPR2,1
MYC,ANGPT1,1
JUN,ID1,1
PML,IRF8,1
HCFC1,CDK1,1
FOXO1,CD44,1
EGR1,APLP2,1
MEIS1,PF4,1
MCM4,NCAPG2,1
MEF2A,HJURP,1
MYC,CD63,1
MYCN,NFKBIA,1
EPAS1,SLC2A1,1
ARNTL,RORA,1
HOXA9,SESN1,1
MECOM,ATP2B4,1
HNF4A,RORC,1
MECOM,NDST2,1
MYC,CKS1B,1
MCM7,RRM2,1
IKZF1,MPZL1,1
MYCN,CYP51,1
MYCN,TRMT6,1
MCM7,LIG1,1
RORC,THRB,1
SMARCA2,CD44,1
ETS1,CSF3R,1
MIS18BP1,CENPK,1
MCM6,MCM7,1
MAPK11,IL12A,1
SPI1,TLR4,1
CENPK,SPC24,1
APBB1,APP,1
MYCN,PDIA4,1
MYC,BIRC5,1
EPAS1,EFNA1,1
JUN,HOXA9,1
IRF7,GBP4,1
NFKB1,BTK,1
MYCN,TYMS,1
REL,NFATC1,1
HDAC11,HDAC7,1
CBFB,TIE1,1
MYC,MYCT1,1
JUN,NFKB1,1
MYCN,ELL2,1
JUN,PTGS1,1
FOXO1,H2-DMA,1
NFKB1,PSEN1,1
MYC,BCL2,1
MYC,PA2G4,1
MYC,MAPK12,1
HLF,ARNTL,1
HNF4A,VDR,1
MECOM,PBX3,1
MYC,POLA2,1
MEIS1,SATB1,1
MCM7,CCNB2,1
MCM2,CENPA,1
MCM6,PCNA,1
IRF6,H2-AA,1
EGR1,SESN1,1
ESR1,MYC,1
IRF6,CD44,1
HOXA9,SATB1,1
MCM4,CCNA2,1
HOXA9,PBX1,1
JUN,TLR4,1
XRCC6,MSH6,1
ETS1,IKZF1,1
MCM7,AURKB,1
ETS1,ITGA2B,1
MYC,MIR17HG,1
ETS1,TLR4,1
MCM4,FIGNL1,1
IRF7,IGTP,1
MCM7,POLD1,1
NFAT5,MAPK12,1
NFAT5,BCL2,1
MEIS1,EIF2S1,1
MAML3,MYC,1
MYC,ARRDC4,1
MYC,AMPD2,1
MCM7,CDT1,1
IKZF1,EZR,1
IRF6,ICAM1,1
REL,NFKBIA,1
NUPR1,TCF19,1
MCM2,SLBP,1
MCM6,KIF20B,1
JUN,ICA1,1
JUN,ASAH1,1
ID1,REL,1
CENPK,KIF11,1
IKZF1,ABLIM1,1
MCM4,MCM6,1
MYCN,SLC29A1,1
APBB1,PRNP,1
HIST1H1C,NASP,1
MCM6,NCAPH,1
JUN,NOTCH1,1
IKZF1,NOTCH1,1
REL,BIRC3,1
MYCN,SNHG5,1
REL,H2-DMB2,1
MCM7,CDCA5,1
ESR1,CASP12,1
GATA2,TMEM14C,1
MCM4,ORC6,1
MECOM,KCNK5,1
NFKB1,MYC,1
MCM7,CKAP2,1
MYCN,HEXA,1
EGR1,CDKN1C,1
MYCN,CBX7,1
YBX1,SLC2A3,1
ETS1,EIF3G,1
MCM6,MSH6,1
NFKB1,TBXA2R,1
MEIS1,EXOC6B,1
MYC,H2-DMA,1
MEIS1,IL1R1,1
