TF,Target,Label
SATB1,PRKAR2B,1
GATA2,RELT,1
JUN,IMPACT,1
NOTCH1,TMEM123,1
CBFB,TMOD3,1
CBX7,IL15,1
JUN,CSF2RB,1
SATB1,ANO10,1
JUN,RNF141,1
SATB1,RTP4,1
GATA2,SH2D5,1
SATB1,CISH,1
CBX7,SDC1,1
SATB1,OCRL,1
SATB1,NFAT5,1
SATB1,EPSTI1,1
CBFB,GBP2,1
SATB1,PCMTD1,1
CBFB,PRKAR2B,1
CBFB,VAV3,1
JUN,SNAP47,1
GATA2,MAP4K2,1
JUN,RASAL3,1
NOTCH1,MSMO1,1
CBFB,ANO10,1
NOTCH1,RNF38,1
GATA2,1600014C10RIK,1
CBFB,RTP4,1
JUN,NGLY1,1
GATA2,ITSN1,1
CBFB,OCRL,1
CBFB,CISH,1
SATB1,PIP4K2A,1
CBFB,NFAT5,1
JUN,GSN,1
JUN,CSF3R,1
NOTCH1,TPST2,1
CBFB,EPSTI1,1
JUN,HK3,1
NOTCH1,BTG2,1
JUN,CSGALNACT1,1
CBFB,PCMTD1,1
CBFB,IL17RA,1
JUN,TPM4,1
NOTCH1,ELOVL5,1
NOTCH1,MLLT3,1
GATA2,VEZF1,1
SATB1,PPT1,1
CBX7,ADA,1
CBFB,PIP4K2A,1
NOTCH1,PGLYRP2,1
GATA2,LCP2,1
JUN,DUSP6,1
CBX7,SQOR,1
GATA2,TES,1
GATA2,CYP4V3,1
CBFB,PPT1,1
JUN,TCIRG1,1
SATB1,TBC1D5,1
JUN,PPIC,1
GATA2,ST8SIA4,1
CBFB,TRPV2,1
GATA2,METTL7A1,1
JUN,CCL9,1
JUN,CASP2,1
JUN,UNC93B1,1
JUN,PAFAH1B2,1
JUN,NFATC1,1
CBX7,SDC4,1
CBFB,MAGED2,1
JUN,FUT8,1
CBFB,FLNA,1
JUN,OTULINL,1
GATA2,SNAP23,1
CBFB,TBC1D5,1
NOTCH1,LONP2,1
NOTCH1,BCLAF3,1
CBX7,DUSP2,1
SATB1,SERPINB1A,1
JUN,ZDHHC17,1
JUN,TGM2,1
GATA2,KLF10,1
GATA2,SPNS2,1
SATB1,TIPIN,1
SATB1,CD69,1
GATA2,CDK19,1
GATA2,TMEM206,1
JUN,PEAR1,1
CBX7,ASB13,1
JUN,PACSIN2,1
JUN,OAS2,1
CBFB,TIPIN,1
GATA2,YOD1,1
SATB1,SGPL1,1
SATB1,TOP3B,1
NOTCH1,MSH6,1
GATA2,LYN,1
SATB1,PPCDC,1
NOTCH1,TBXA2R,1
GATA2,WLS,1
SATB1,BIRC3,1
NOTCH1,ARL6IP6,1
SATB1,CDK17,1
JUN,IL4RA,1
NOTCH1,SLA2,1
GATA2,MYO1G,1
CBFB,NAGA,1
JUN,ARHGAP18,1
SATB1,B230219D22RIK,1
JUN,FRRS1,1
CBFB,SGPL1,1
SATB1,MAP2K1,1
NOTCH1,ITSN1,1
CBFB,MCM4,1
CBFB,PPCDC,1
JUN,CTR9,1
CBFB,BIRC3,1
JUN,CBX7,1
CBFB,CDK17,1
JUN,SLC2A1,1
GATA2,SERPINF1,1
CBX7,ANXA5,1
JUN,PYGL,1
GATA2,SNAP47,1
JUN,FES,1
SATB1,1700017B05RIK,1
SATB1,VSIR,1
JUN,GLB1,1
CBX7,XRCC6,1
JUN,MED16,1
JUN,INPP5K,1
CBFB,B230219D22RIK,1
CBFB,MAP2K1,1
SATB1,DCAF4,1
GATA2,GSN,1
NOTCH1,GMFB,1
CBX7,IRAK3,1
CBX7,DHRS3,1
SATB1,DEF8,1
NOTCH1,RCN2,1
JUN,KIF23,1
CBFB,1700017B05RIK,1
JUN,MCM2,1
SATB1,CCNG2,1
GATA2,SYK,1
CBFB,IL27RA,1
CBFB,PLA2G4A,1
CBFB,VSIR,1
SATB1,LRRC8C,1
NOTCH1,CYP4V3,1
SATB1,CEP70,1
GATA2,SLC18A2,1
SATB1,FNDC3A,1
CBFB,DCAF4,1
GATA2,ARNTL,1
GATA2,PRODH,1
SATB1,P2RY14,1
CBFB,DEF8,1
JUN,PRIM1,1
CBFB,CCNG2,1
GATA2,NOTCH1,1
SATB1,GM4951,1
CBFB,PGRMC1,1
GATA2,TCIRG1,1
CBFB,LRRC8C,1
JUN,SMIM15,1
GATA2,POR,1
CBFB,FNDC3A,1
JUN,CD69,1
CBX7,SHISA8,1
CBFB,P2RY14,1
NOTCH1,PLBD2,1
CBFB,MORC3,1
CBFB,RHOF,1
GATA2,DENND2D,1
NOTCH1,KLF10,1
SATB1,WBP1L,1
CBFB,CTLA2B,1
GATA2,FUT8,1
RPA2,CCL3,1
CBFB,ZFP367,1
NOTCH1,CDK19,1
SATB1,H2-OB,1
SATB1,PGLYRP2,1
NOTCH1,TMEM206,1
JUN,ITPR1,1
JUN,RNF13,1
NOTCH1,NFKBIA,1
CBFB,ICAM1,1
CBX7,KRT18,1
NOTCH1,COPB1,1
JUN,ANXA4,1
JUN,MCM4,1
JUN,PPCDC,1
CBFB,MLLT3,1
CBFB,WBP1L,1
JUN,DENND1C,1
CBX7,ZFP467,1
CBX7,POLD1,1
JUN,NUP88,1
CBFB,PLCB2,1
CBFB,PRPS2,1
CBFB,TAF12,1
CBFB,SSH3,1
SATB1,FCHO2,1
SATB1,ATP2B4,1
JUN,B230219D22RIK,1
NOTCH1,PRDM5,1
GATA2,PACSIN2,1
JUN,AP1G2,1
JUN,H1F0,1
JUN,FGGY,1
NOTCH1,RBL2,1
JUN,NAIP5,1
SATB1,SLC35B4,1
SATB1,GPR65,1
CBFB,FCHO2,1
CBFB,ATP2B4,1
SATB1,CD53,1
SATB1,4833439L19RIK,1
CBX7,VAV3,1
SATB1,FECH,1
GATA2,KCNK5,1
GATA2,HSD3B7,1
SATB1,IL15RA,1
GATA2,ARHGAP18,1
CBX7,ANO10,1
JUN,TMEM123,1
CBX7,SSTR2,1
CBX7,RGS2,1
JUN,CDCA4,1
CBFB,SLC35B4,1
GATA2,FRRS1,1
CBFB,GPR65,1
SATB1,NCEH1,1
JUN,ANXA2,1
SATB1,MYO1F,1
GATA2,CTR9,1
GATA2,TFPI,1
JUN,SERPINA3G,1
GATA2,SLC2A1,1
CBFB,4833439L19RIK,1
CBX7,GAA,1
GATA2,OASL2,1
GATA2,PYGL,1
NOTCH1,TESPA1,1
CBFB,FECH,1
CBX7,IL17RA,1
SATB1,RELT,1
JUN,BCL2,1
JUN,MSMO1,1
JUN,RNF38,1
SATB1,SLC44A2,1
GATA2,PTTG1IP,1
NOTCH1,FADS1,1
CBFB,MYO1F,1
JUN,TPST2,1
NOTCH1,STK17B,1
NFAT5,STXBP4,1
CBFB,RELT,1
NOTCH1,FLT3,1
JUN,ELOVL5,1
GATA2,LAX1,1
GATA2,XPC,1
CBFB,SH2D5,1
GATA2,TREML2,1
CBX7,TRIM47,1
SATB1,IDH1,1
JUN,CYBC1,1
JUN,PGLYRP2,1
JUN,SSH3,1
SATB1,ZFP120,1
GATA2,PRIM1,1
CBFB,ART4,1
CBFB,1600014C10RIK,1
CBFB,ARHGAP27,1
CBFB,ITSN1,1
CBX7,TBC1D5,1
JUN,HJURP,1
JUN,ADSSL1,1
JUN,APOE,1
GATA2,PNO1,1
CBFB,IDH1,1
SATB1,LIG1,1
NOTCH1,CTSC,1
CBFB,ZFP120,1
NOTCH1,DPP4,1
JUN,CD300A,1
SATB1,JUN,1
SATB1,TES,1
JUN,APLP2,1
CBX7,NDN,1
CBFB,VEZF1,1
CBFB,INPP1,1
CBX7,FDFT1,1
SATB1,ZFP945,1
SATB1,ST8SIA4,1
JUN,RCSD1,1
JUN,IRGM2,1
CBFB,LIG1,1
NOTCH1,PACSIN2,1
CBFB,JUN,1
JUN,BTK,1
GATA2,PREP,1
CBFB,CPQ,1
CBFB,ZFP945,1
CBFB,METTL7A1,1
SATB1,KLF10,1
GATA2,H1F0,1
GATA2,RASA4,1
GATA2,TIMM50,1
GATA2,EFTUD2,1
GATA2,NAIP5,1
SATB1,CDK19,1
CBFB,PGM1,1
JUN,MSH6,1
SATB1,RASSF2,1
NOTCH1,TFPI,1
GATA2,GPRASP1,1
CBFB,KLF10,1
GATA2,ARHGEF3,1
JUN,SLA2,1
NOTCH1,PYGL,1
CBFB,SPNS2,1
JUN,PROCR,1
CBFB,RFTN1,1
GATA2,FUCA2,1
SATB1,SLC43A2,1
JUN,ITPK1,1
CBFB,CDK19,1
NOTCH1,INPP5K,1
GATA2,ZFP62,1
NOTCH1,PTTG1IP,1
SATB1,RAB37,1
JUN,ITSN1,1
SATB1,CHRNB1,1
SATB1,ZMIZ1,1
NOTCH1,KPNA3,1
SATB1,SC5D,1
GATA2,CASP12,1
JUN,FUT7,1
SATB1,IMPACT,1
GATA2,SLC39A6,1
CBX7,VSIR,1
JUN,VEZF1,1
CBFB,RAB37,1
CBX7,SGMS1,1
CBFB,CHRNB1,1
JUN,CTSH,1
CBFB,LYN,1
CBFB,ZMIZ1,1
GATA2,CNN3,1
GATA2,BTG2,1
JUN,GMFB,1
CBFB,IMPACT,1
JUN,RCN2,1
SATB1,RASAL3,1
NOTCH1,MCM5,1
CBX7,LRRC8C,1
GATA2,ELOVL5,1
CBFB,RNF141,1
JUN,IER2,1
SATB1,NGLY1,1
SATB1,TRIM59,1
SATB1,UMPS,1
GATA2,MGAT1,1
SATB1,GSN,1
NOTCH1,PNO1,1
JUN,ZFP945,1
NOTCH1,ARID5A,1
GATA2,MPRIP,1
CBFB,SNAP47,1
NFAT5,AMPD2,1
SATB1,GYPC,1
GATA2,SAT1,1
SATB1,SYK,1
CBFB,NGLY1,1
CBFB,TRIM59,1
CBFB,GSN,1
CBFB,RNF213,1
CBFB,CSGALNACT1,1
NOTCH1,RNF13,1
JUN,CTSL,1
NOTCH1,USP3,1
CBFB,TPM4,1
GATA2,APLP2,1
CBFB,SYK,1
JUN,KLF10,1
SATB1,TCIRG1,1
GATA2,PSTPIP1,1
JUN,ATP13A2,1
CBFB,DUSP6,1
NOTCH1,GNG11,1
JUN,TMEM206,1
JUN,TYROBP,1
JUN,NFKBIA,1
SATB1,CCL9,1
SATB1,CASP2,1
JUN,COPB1,1
SATB1,UNC93B1,1
SATB1,PAFAH1B2,1
SATB1,NFATC1,1
NOTCH1,SESN1,1
CBFB,NOTCH1,1
NOTCH1,TIMM50,1
SATB1,OTULINL,1
CBFB,PPIC,1
GATA2,IFI27L2A,1
JUN,YOD1,1
SATB1,RASSF5,1
JUN,PRDM5,1
JUN,PAQR7,1
JUN,SC5D,1
JUN,DNAJC9,1
CBFB,UNC93B1,1
CBFB,NFATC1,1
CBX7,DUSP5,1
CBFB,FUT8,1
CBFB,OTULINL,1
JUN,RBL2,1
NOTCH1,CDCA4,1
CBFB,RASSF5,1
NOTCH1,ZFP62,1
CBFB,ZFR,1
CBFB,DPP4,1
GATA2,ARL6IP6,1
GATA2,SLA2,1
CBFB,RNF114,1
JUN,DUSP1,1
JUN,IL18RAP,1
CBX7,NCEH1,1
CBFB,PEAR1,1
GATA2,IER3,1
GATA2,CD274,1
GATA2,ELOVL6,1
JUN,TRIM59,1
GATA2,COQ8A,1
JUN,UMPS,1
GATA2,STXBP4,1
GATA2,ARL8B,1
JUN,ACOX1,1
GATA2,ITGA6,1
SATB1,ARHGAP18,1
GATA2,CALCRL,1
NOTCH1,MAN1A,1
JUN,GYPC,1
CBX7,SH2D5,1
SATB1,FRRS1,1
GATA2,ABCD3,1
GATA2,SQOR,1
CBFB,PDE7A,1
JUN,FADS1,1
GATA2,RMND5B,1
SATB1,CTR9,1
NOTCH1,MGAT1,1
SATB1,SLC2A1,1
SATB1,OASL2,1
GATA2,GMFB,1
GATA2,RNF125,1
SATB1,ITM2A,1
JUN,PRODH,1
GATA2,CERS4,1
JUN,STK17B,1
NOTCH1,MPRIP,1
CBFB,ARHGAP18,1
SATB1,GLB1,1
SATB1,MED16,1
SATB1,INPP5K,1
NOTCH1,ABLIM1,1
NOTCH1,HJURP,1
SATB1,RBM18,1
GATA2,EZR,1
CBFB,CTR9,1
JUN,POR,1
CBFB,PYGL,1
JUN,NUDT19,1
SATB1,GMIP,1
CBFB,GLB1,1
CBFB,MED16,1
NOTCH1,APLP2,1
GATA2,HELLS,1
JUN,DENND2D,1
NOTCH1,TRIM35,1
JUN,SLC28A2,1
SATB1,LAX1,1
SATB1,MAPKAPK3,1
NOTCH1,PSTPIP1,1
SATB1,TREML2,1
CBFB,RBM18,1
JUN,CD74,1
GATA2,CTSL,1
JUN,TSPAN6,1
SATB1,RNASE6,1
SATB1,PRIM1,1
GATA2,PLBD2,1
JUN,CTSC,1
GATA2,RHOH,1
CBFB,GMIP,1
CBX7,TES,1
CBFB,MCM2,1
CBX7,CYP4V3,1
JUN,PQLC1,1
GATA2,ABHD4,1
JUN,OBSL1,1
SATB1,SMIM15,1
JUN,NCF1,1
GATA2,INKA1,1
CBFB,TREML2,1
GATA2,NFAM1,1
SATB1,PNO1,1
GATA2,ATP13A2,1
GATA2,NT5C3,1
GATA2,TYROBP,1
CBX7,PAQR5,1
GATA2,NFKBIA,1
NOTCH1,CYP51,1
NFAT5,TIPIN,1
CBFB,RNASE6,1
CBX7,GATA2,1
GATA2,COPB1,1
SATB1,B4GALT4,1
GATA2,PAFAH2,1
JUN,UAP1L1,1
SATB1,PLEK,1
CBFB,SLCO3A1,1
JUN,SNX30,1
JUN,GIMAP5,1
CBFB,SMIM15,1
SATB1,IIGP1,1
SATB1,SLC6A6,1
SATB1,ITPR1,1
CBFB,EMID1,1
NOTCH1,STARD4,1
CBFB,B4GALT4,1
NOTCH1,HIST1H1C,1
CBX7,RFTN1,1
JUN,NDEL1,1
CBFB,NKG7,1
SATB1,DENND1C,1
CBFB,PLEK,1
JUN,BC035044,1
JUN,SLC37A1,1
JUN,KCNK5,1
GATA2,RBL2,1
CBX7,TSC22D3,1
JUN,ITGB7,1
CBFB,SLC6A6,1
GATA2,PLIN3,1
NOTCH1,COQ8A,1
GATA2,XRCC6,1
CBFB,SMPDL3A,1
SATB1,AP1G2,1
NOTCH1,STXBP4,1
NOTCH1,ARL8B,1
JUN,OASL2,1
CBFB,DENND1C,1
GATA2,DUSP1,1
CBFB,PREP,1
JUN,ITM2A,1
SATB1,NAIP5,1
CBFB,NUP88,1
GATA2,SPNS3,1
CBFB,EIF1AD,1
NOTCH1,CALCRL,1
GATA2,ABCF3,1
GATA2,IRAK3,1
GATA2,DHRS3,1
CBX7,CHRNB1,1
CBX7,ZMIZ1,1
JUN,PTTG1IP,1
GATA2,CD9,1
CBFB,F2RL3,1
JUN,STK10,1
CBFB,AP1G2,1
JUN,KPNA3,1
SATB1,GPRASP1,1
GATA2,ACOX1,1
SATB1,TMEM123,1
GATA2,LCK,1
CBFB,GIMAP8,1
GATA2,FADS1,1
GATA2,QARS,1
NOTCH1,EPB41L4B,1
JUN,XPC,1
GATA2,AMPD2,1
CBFB,GPRASP1,1
CBFB,TFR2,1
GATA2,PPP1R15A,1
CBFB,TMEM123,1
GATA2,CD52,1
CBFB,CDCA4,1
JUN,MCM5,1
GATA2,DOCK10,1
NOTCH1,TNPO1,1
CBX7,IL1R1,1
CBX7,CSGALNACT1,1
JUN,PNO1,1
SATB1,BTG2,1
JUN,ARID5A,1
CBX7,TPM4,1
JUN,CTSS,1
CBFB,BCL2,1
JUN,TSPAN14,1
CBFB,MSMO1,1
GATA2,PECAM1,1
JUN,PLIN2,1
CBX7,ARNTL,1
CBX7,MCTP1,1
GATA2,RAB38,1
NOTCH1,ATP13A2,1
SATB1,CYBC1,1
CBFB,TPST2,1
NOTCH1,NT5C3,1
GATA2,CTSC,1
CBX7,ICA1,1
GATA2,LDHB,1
JUN,USP3,1
GATA2,NEURL3,1
GATA2,PQLC1,1
CBFB,ELOVL5,1
NOTCH1,PAFAH2,1
JUN,WFDC17,1
NOTCH1,MEF2A,1
CBX7,UNC93B1,1
JUN,PARP8,1
GATA2,UAP1L1,1
CBFB,CCL3,1
SATB1,TRIM35,1
JUN,RASA4,1
CBX7,OTULINL,1
JUN,SESN1,1
CBFB,ADSSL1,1
GATA2,ADGRG3,1
JUN,EFTUD2,1
GATA2,PRKAR2B,1
CBFB,APOE,1
CBX7,RASSF5,1
JUN,GIMAP8,1
SATB1,BCLAF3,1
SATB1,LONP2,1
CBX7,DPP4,1
GATA2,RGS2,1
NOTCH1,XRCC6,1
GATA2,ABI1,1
GATA2,NDEL1,1
CBFB,APLP2,1
CBFB,TRIM35,1
GATA2,ITGB7,1
GATA2,GAA,1
NOTCH1,HEXA,1
CBFB,LONP2,1
CBFB,BCLAF3,1
CBFB,RCSD1,1
JUN,ZFP62,1
GATA2,KCTD20,1
SATB1,CD48,1
NOTCH1,LCK,1
JUN,AKNA,1
GATA2,NUBP2,1
SATB1,MSH6,1
CBX7,IL4RA,1
JUN,SLC35D3,1
GATA2,STK10,1
CBFB,PRKCQ,1
GATA2,KPNA3,1
SATB1,RMND5A,1
SATB1,ARL6IP6,1
SATB1,SLA2,1
JUN,SCARF1,1
JUN,CNN3,1
GATA2,MMRN1,1
SATB1,ITPK1,1
NOTCH1,FAM76B,1
CBFB,MSH6,1
CBFB,TBXA2R,1
JUN,MGAT1,1
CBFB,RMND5A,1
CBX7,PYGL,1
GATA2,FLNA,1
CBFB,ARL6IP6,1
SATB1,ARL8B,1
CBFB,SLA2,1
GATA2,TBC1D5,1
JUN,MPRIP,1
CBFB,ITPK1,1
JUN,PLCG2,1
CBFB,ELOVL6,1
NOTCH1,RP2,1
JUN,ABLIM1,1
SATB1,ABCD3,1
SATB1,RMND5B,1
CBFB,COQ8A,1
NOTCH1,RAB38,1
GATA2,ASAH1,1
CBFB,STXBP4,1
GATA2,ARID5A,1
NOTCH1,POLD1,1
CBFB,FUT7,1
GATA2,FDFT1,1
SATB1,RCN2,1
JUN,ZBTB38,1
GATA2,SERPINB1A,1
JUN,SP100,1
GATA2,PLIN2,1
CBFB,ABCD3,1
GATA2,SERPINB9,1
SATB1,PRELID3B,1
RPA2,PIK3CG,1
JUN,PSTPIP1,1
CBFB,RMND5B,1
JUN,ICE1,1
GATA2,FGD2,1
CBFB,GMFB,1
CBFB,RCN2,1
GATA2,CTSF,1
SATB1,HELLS,1
NOTCH1,SNX30,1
NOTCH1,PRKAR2B,1
CBFB,EPB41L4B,1
GATA2,IRF7,1
CBFB,EZR,1
CBFB,PRELID3B,1
GATA2,CAPN5,1
CBX7,B4GALT4,1
JUN,CYP51,1
JUN,IL15,1
NOTCH1,ABI1,1
NOTCH1,NDEL1,1
SATB1,ABHD4,1
GATA2,BIRC3,1
NOTCH1,NFAT5,1
JUN,SDC1,1
JUN,ZFP157,1
NOTCH1,PCMTD1,1
CBX7,SGPL1,1
JUN,SLC12A6,1
SATB1,TMEM206,1
CBX7,SMPDL3A,1
SATB1,COPB1,1
CBFB,RHOH,1
GATA2,MAP2K1,1
JUN,STARD4,1
JUN,RMND5A,1
JUN,HIST1H1C,1
CBFB,ABHD4,1
NOTCH1,PIP4K2A,1
CBX7,B230219D22RIK,1
CBFB,ATP13A2,1
NOTCH1,NUBP2,1
GATA2,PANX1,1
GATA2,IL27RA,1
JUN,IER3,1
JUN,ELOVL6,1
GATA2,PRKCH,1
