TF,Target,Label
ESR1,FCHO2,1
MYC,IL15RA,1
MYC,SLC12A6,1
ETS1,MSH6,1
GATA2,RELT,1
JUN,IMPACT,1
NOTCH1,TMEM123,1
ELF1,MIS18BP1,1
ETS1,EGR1,1
ELF1,PRKCH,1
IKZF1,HACD4,1
ETS1,VAV1,1
SPI1,STK10,1
CBFB,TMOD3,1
SPI1,KPNA3,1
CBX7,IL15,1
ETS1,TBXA2R,1
NOTCH1,CREB5,1
IKZF1,KCTD20,1
JUN,CSF2RB,1
FOXO1,CEP70,1
CBX7,FAAH,1
SATB1,ANO10,1
ETS1,RMND5A,1
IKZF1,LTB,1
MEIS1,NAGA,1
MYC,NDOR1,1
JUN,RNF141,1
MYC,NCEH1,1
IKZF1,PIP4K2A,1
IKZF1,ETS1,1
ETS1,SATB1,1
ETS1,SLA2,1
IRF8,RNASE6,1
MEIS1,IRF7,1
GATA2,SH2D5,1
SPI1,TRIM47,1
CBFB,SUGP2,1
IKZF1,NAP1L3,1
ESR1,DUSP5,1
SATB1,OCRL,1
SATB1,CISH,1
HCFC1,PLEK,1
CBFB,ZDHHC17,1
MYC,ABHD17B,1
ETS1,ITPK1,1
FOXO1,MORC3,1
ESR1,LONP2,1
ESR1,BCLAF3,1
JUN,NUPR1,1
ESR1,RCSD1,1
IKZF1,NUBP2,1
FOXO1,RHOF,1
SATB1,EPSTI1,1
ESR1,IRGM2,1
ETS1,EBI3,1
ETS1,ELOVL6,1
FOXO1,RNF38,1
SATB1,PCMTD1,1
IRF8,SMIM15,1
MEIS1,FOXO1,1
MYC,RELT,1
HCFC1,SLC6A6,1
SPI1,E2F8,1
ELF1,CREB5,1
IKZF1,PPT1,1
HCFC1,ITPR1,1
ELF1,MTMR6,1
FOXO1,KCTD12,1
SPI1,HOXA9,1
NOTCH1,MORC3,1
HCFC1,RNF13,1
SPI1,MAGED2,1
MYC,SELL,1
GATA2,NFIA,1
ETS1,STXBP4,1
NOTCH1,MSMO1,1
HCFC1,ANXA4,1
CBFB,ANO10,1
MYC,SLC44A2,1
NOTCH1,RNF38,1
ESR1,FECH,1
SPI1,TBC1D5,1
HCFC1,PPCDC,1
HCFC1,RBPMS,1
ETS1,ARL8B,1
JUN,NGLY1,1
CBFB,KLF3,1
GATA2,ARHGAP27,1
ETS1,FUT7,1
GATA2,ITSN1,1
GATA2,ID1,1
CBFB,HDAC11,1
HCFC1,MYO5A,1
HCFC1,DENND1C,1
HCFC1,PREP,1
CBFB,NFAT5,1
MYC,KLF6,1
SATB1,ETS1,1
IRF8,PLEK,1
ELF1,RPA2,1
JUN,GSN,1
CBFB,EPSTI1,1
NOTCH1,TPST2,1
JUN,CSF3R,1
MYC,RARB,1
HCFC1,TNFRSF13B,1
HCFC1,NR3C2,1
JUN,RNF213,1
JUN,IL1R1,1
HCFC1,TEX10,1
CBX7,RUNX2,1
NOTCH1,BTG2,1
JUN,HK3,1
ETS1,VEZF1,1
CBFB,PCMTD1,1
CBX7,IER3,1
JUN,CSGALNACT1,1
IKZF1,E2F8,1
IRF8,SLC6A6,1
SPI1,MN1,1
GFI1B,CYP51,1
ETS1,RMND5B,1
CBFB,IL17RA,1
IKZF1,FLNA,1
