TF,Target,Label
JUN,SPI1,1
PA2G4,TEX10,1
MCM6,RPA2,1
CENPK,CKAP5,1
PA2G4,ADA,1
TLR4,MPO,1
MCM6,KIF20B,1
MCM7,DNAJC9,1
MCM6,MSH6,1
RUNX2,VDR,1
MCM2,CDK6,1
MCM4,MCM2,1
SPI1,NFATC1,1
MAML3,MAML2,1
SPI1,LCP2,1
JUN,CDK6,1
MCM7,GMNN,1
MCM7,NASP,1
MCM7,CDK1,1
SPI1,GATA2,1
MCM2,CCNB2,1
RBL2,CCND3,1
RAD51,CDC45,1
MCM5,CDT1,1
MCM5,KIF22,1
H1F0,CDK1,1
EGR1,BTG2,1
MCM2,CDC45,1
RAD51,RRM2,1
MCM2,MCM7,1
MCM2,KIF23,1
CENPK,CDK1,1
TSC22D3,DUSP1,1
NFKBIA,BIRC3,1
MYC,CDK1,1
CBFB,ESR1,1
MCM7,TYMS,1
RAD51,MCM6,1
MCM2,RRM2,1
NFKB1,ICAM1,1
IRF7,SP100,1
EGR1,DUSP1,1
IRF8,IKZF1,1
RAD51,TOP2A,1
SPI1,CD53,1
ESR1,MKI67,1
MCM2,MCM6,1
RAD51,RAD51AP1,1
RAD51,PCNA,1
MCM6,MKI67,1
RAD51,CDK1,1
RAD51,CCNA2,1
MCM5,ORC6,1
TCF19,TOP2A,1
MCM2,NASP,1
MCM2,CDK1,1
MEF2A,MEF2C,1
MCM5,RAD51,1
IRF7,TLR4,1
MCM4,CDC45,1
CBFB,SMARCA2,1
JUN,ETS1,1
MCM4,MCM7,1
TCF19,CDK1,1
TCF19,CCNA2,1
MCM7,MKI67,1
MCM5,CDCA8,1
NFKB1,REL,1
BTG2,JUN,1
TRIB3,ASNS,1
MCM4,RRM2,1
MCM7,POLD1,1
MCM2,TYMS,1
MCM4,MCM6,1
MCM5,UHRF1,1
MCM5,LIG1,1
MCM5,TK1,1
HOXA9,MLLT3,1
MCM6,PRIM1,1
MCM6,CDC45,1
RUNX2,TRPS1,1
MCM5,DTL,1
MYC,ESR1,1
IKZF1,FLT3,1
MCM4,GMNN,1
MCM4,CDK1,1
TLR4,LYN,1
MCM6,BUB1B,1
MCM6,RRM2,1
PGR,PGRMC1,1
RUNX2,CBFB,1
PA2G4,PRKCD,1
CBFB,CRIP1,1
MCM5,CDC6,1
PHC1,CBX7,1
MCM4,KIF20B,1
MAML3,NOTCH1,1
MCM6,TOP2A,1
MCM7,PRIM1,1
RAD51,POLD1,1
SPI1,IKZF1,1
MCM7,UHRF1,1
ARNTL,CLOCK,1
MCM6,PCNA,1
MCM4,TYMS,1
MCM6,NASP,1
MCM6,GMNN,1
MCM6,CDK1,1
MCM6,CCNA2,1
MCM5,CENPA,1
MCM7,BUB1B,1
MCM7,TIPIN,1
CBX7,PHC1,1
IRF7,IGTP,1
SPI1,TLR4,1
PGR,ESR1,1
PML,SPI1,1
MED16,CDK19,1
NOTCH1,APP,1
HDAC11,HDAC7,1
MYC,CD44,1
MCM5,FIGNL1,1
IKZF1,ETS1,1
EYA2,H2AFX,1
MCM6,MCM5,1
MYCN,AURKB,1
TRPS1,RUNX2,1
RAD51,CDCA8,1
MCM7,CDC6,1
XRCC6,RPA2,1
MCM7,PCNA,1
MCM6,TYMS,1
MCM7,CCNA2,1
PBX1,HOXA9,1
ARNTL,DDX4,1
RAD51,UHRF1,1
RAD51,MAD2L1,1
MCM6,PRIM2,1
RAD51,LIG1,1
JUN,BTG2,1
TCF19,CDCA8,1
MCM6,CDT1,1
MCM2,PRIM1,1
MCM7,MCM5,1
RAD51,BUB1B,1
SPI1,ITGAM,1
RAD51,TIPIN,1
CTR9,MLLT3,1
PA2G4,MPO,1
CENPK,CCNA2,1
JUN,MAP2K1,1
TCF19,UHRF1,1
MCM5,DUT,1
MCM2,BUB1B,1
MCM2,TIPIN,1
IKZF1,IRF8,1
IKZF1,PTPRC,1
MCM7,PRIM2,1
MCM5,MCM2,1
MCM2,TOP2A,1
MCM7,CDT1,1
MCM2,CDC6,1
MCM2,PCNA,1
IRF7,IRGM2,1
MEF2C,MEF2A,1
EGR1,JUN,1
MCM4,DHFR,1
MCM5,HELLS,1
IKZF1,SPI1,1
RAD51,H2AFX,1
MCM4,UHRF1,1
ETS1,JUN,1
HOXA9,PBX1,1
EGR1,ICAM1,1
NFKB1,TLR4,1
MCM7,DUT,1
MCM4,LIG1,1
MCM5,CDCA5,1
PA2G4,CTSC,1
RAD51,FIGNL1,1
MCM2,MCM5,1
IRF7,GBP7,1
MCM4,BUB1B,1
H1F0,HIST1H1C,1
MCM4,TIPIN,1
TLR4,IRAK3,1
MCM5,BIRC5,1
VDR,RUNX2,1
IRF7,GBP2,1
CBFB,ELF1,1
MYC,MED16,1
TLR4,CD44,1
MCM6,UHRF1,1
MCM5,CDC7,1
MCM7,HELLS,1
MCM4,CDC6,1
JUN,NFKB1,1
MCM2,PRIM2,1
MCM5,SLBP,1
MCM4,PCNA,1
MCM6,MAD2L1,1
MCM6,LIG1,1
MCM5,CCNB2,1
HDAC7,PML,1
MCM2,KIF22,1
MCM4,CCNA2,1
MCM6,TIPIN,1
MCM7,CDCA5,1
MCM7,CDCA8,1
PA2G4,FUCA2,1
IRF7,GBP4,1
MCM5,MCM7,1
GFI1B,GATA2,1
NFKB1,NFKBIA,1
MCM4,MCM5,1
MCM6,RCC1,1
MCM7,BIRC5,1
MCM2,DUT,1
MCM6,CDC6,1
MCM7,MAD2L1,1
ARNTL,RORA,1
MCM7,LIG1,1
CBFB,H2AFX,1
MCM5,NCAPD2,1
MCM5,MCM6,1
MCM7,CDC7,1
MCM5,DNAJC9,1
RAD51,HELLS,1
MCM4,PRIM2,1
RUNX2,ETS1,1
MCM7,POLA2,1
REL,BIRC3,1
ESR1,H2AFX,1
PA2G4,ANXA2,1
CENPK,MAD2L1,1
MCM5,CDK1,1
KLF6,JUN,1
MCM2,HELLS,1
PA2G4,TUBB4B,1
MCM2,RAD51,1
MCM5,UQCRFS1,1
MCM2,CDCA5,1
CENPK,AURKB,1
IRF7,OASL2,1
MCM5,MSH6,1
MYC,JUN,1
MCM7,NCAPD2,1
TCF19,CDCA5,1
CENPK,ECT2,1
MCM5,TYMS,1
MCM2,BIRC5,1
MCM2,MAD2L1,1
ESR1,MYC,1
TLR4,IRF7,1
JUN,CD44,1
ARNTL,HLF,1
TCF19,BIRC5,1
MCM2,CDC7,1
JUN,DUSP1,1
IRF7,LGALS3BP,1
JUN,KLF6,1
IRF7,RTP4,1
GATA2,GFI1B,1
MCM2,DTL,1
CENPK,CENPA,1
MCM7,RPA2,1
MCM4,HELLS,1
RAD51,MCM7,1
MCM2,AURKB,1
JUN,EGR1,1
MCM6,DUT,1
CENPK,H2AFX,1
GATA2,MYC,1
MCM4,RAD51,1
MCM2,POLA2,1
TCF19,CCNB2,1
TLR4,BIRC3,1
MCM7,MSH6,1
TCF19,AURKB,1
SPI1,IRF8,1
MED16,MYC,1
TLR4,PTPRC,1
MCM4,CDCA8,1
NDN,ATP10A,1
NFKBIA,USP11,1
NFATC1,MEF2C,1
MCM5,MKI67,1
SPI1,PLEK,1
RUNX2,ESR1,1
NFATC1,SPI1,1
XRCC6,POLD1,1
MCM2,NCAPD2,1
MCM4,BIRC5,1
MCM6,HELLS,1
XPC,POLD1,1
MCM4,MAD2L1,1
MCM7,HAT1,1
TLR4,SPI1,1
MCM4,CDC7,1
SPI1,TYROBP,1
DACH1,EYA2,1
MCM5,MCM4,1
MYC,GATA2,1
MCM4,DTL,1
RAD51,RPA2,1
BTG2,DUSP1,1
ESR1,PGR,1
MCM7,MCM2,1
BTG2,KLF6,1
MCM4,AURKB,1
IRF7,UBA7,1
JUN,H2AFX,1
HDAC7,HDAC11,1
GATA2,SPI1,1
MCM4,POLA2,1
SPI1,CSF2RB,1
NOTCH1,PSEN1,1
PML,NUP93,1
PA2G4,NHP2,1
MCM6,BIRC5,1
ETS1,IKZF1,1
TLR4,CCL3,1
NFKB1,LYZ2,1
NFKB1,TIMP2,1
ESR1,RUNX2,1
SPI1,PML,1
MCM6,CDC7,1
CLOCK,DDX4,1
HDAC11,CBX5,1
MCM6,CCNB2,1
MCM5,CDC45,1
MCM6,AURKB,1
ESR1,JUN,1
ELF1,CBFB,1
PHC1,MAPKAPK3,1
MCM7,MCM4,1
MYC,MKI67,1
JUN,MYC,1
CLOCK,ARNTL,1
HCFC1,TEX10,1
MCM5,BUB1B,1
RBL2,CDK6,1
MCM6,MCM7,1
MCM5,RRM2,1
MCM6,KIF23,1
EGR1,IER2,1
CENPK,CDCA5,1
CLOCK,CIPC,1
NFKB1,BIRC3,1
NFKBIA,ICAM1,1
MCM4,RPA2,1
PA2G4,PLAC8,1
MCM7,CCNB2,1
CBFB,CDK1,1
MCM5,TOP2A,1
KLF6,BTG2,1
IRF7,RNF213,1
RPS6KA5,NFKB1,1
MCM5,RAD51AP1,1
MCM5,PCNA,1
CENPK,BIRC5,1
MYC,CDK6,1
MCM4,MSH6,1
TLR4,IL1R1,1
IRF8,SPI1,1
MCM7,CDC45,1
MCM5,NASP,1
MCM5,GMNN,1
XPC,XRCC6,1
NOTCH1,ADAM17,1
PGR,MKI67,1
PHC1,H2AFX,1
NFKB1,CFP,1
MCM7,RRM2,1
MECOM,PHC1,1
SP100,GM5111,0
SP100,TFR2,0
VDR,N4BP3,0
ESR1,PKIB,0
ZFP62,TGTP2,0
MYCN,BACE1,0
KLF3,ELAC1,0
ARNTL,COL4A1,0
NFAT5,ZFP157,0
DACH1,SLFN2,0
AKAP8L,TBC1D10C,0
CENPA,ATAD2,0
GFI1B,PAG1,0
MYCN,IL15,0
ZBTB4,ORC6,0
ARID5A,GM4759,0
NFKB1,PDLIM5,0
TRPS1,AURKB,0
HLF,IGKC,0
IKZF1,KDM7A,0
SPI1,SGCE,0
AKNA,OAT,0
ZBTB38,TXNRD3,0
RUNX2,AI504432,0
ZBTB38,RNF122,0
