TF,Target,Label
HIF3A,EPAS1,1
MAPK12,MEF2A,1
PGR,MAPK11,1
MCM2,PRC1,1
MCM7,BIRC5,1
CD7,CD33,1
CENPK,CDCA5,1
RAD51,RRM2,1
ESR1,CBFB,1
MCM2,MCM7,1
APBB1,H2AFX,1
TLR4,PTPRC,1
RAD51,MCM5,1
CBFB,CCND3,1
NFKB1,CFP,1
RAD51,UHRF1,1
NFKB1,ELANE,1
XPC,RPA2,1
JUN,ETS1,1
RPS6KA5,MAPK11,1
MCM7,POLA2,1
IRF7,OASL2,1
MAPK11,JUN,1
MCM2,GMNN,1
TLR4,LYN,1
H1F0,HMGB2,1
NFKBIA,BIRC3,1
SPI1,CSF3R,1
MCM6,AURKB,1
RAD51,CCNB2,1
ETS1,ID1,1
MCM4,NCAPG2,1
MCM6,CDC45,1
MCM2,CDC7,1
RAD51,AURKB,1
RAD51,POLD1,1
TCF19,CDCA3,1
SPI1,ITGB2,1
MIS18BP1,RRM2,1
HMGB2,CCNA2,1
MCM5,RRM2,1
SPI1,JUN,1
MCM7,MCM5,1
RARB,H2AFX,1
TLR4,CD274,1
MCM6,MCM7,1
SPI1,TLR4,1
RAD51,CDCA5,1
CBX7,UBE2C,1
JUN,NFKB1,1
MCM6,GMNN,1
HLF,ARNTL,1
BTG2,EGR1,1
PML,NUP88,1
MCM7,CCNB2,1
MCM6,PCNA,1
MIS18BP1,HJURP,1
ESR1,MYC,1
MCM5,CCNB2,1
MCM4,CCNA2,1
HOXA9,PBX1,1
JUN,TLR4,1
GATA2,GFI1B,1
CD7,CD34,1
ETS1,IKZF1,1
MCM7,AURKB,1
TLR4,IL1R1,1
CENPK,MIS18BP1,1
MCM6,CDC7,1
MCM5,AURKB,1
MCM5,POLD1,1
MCM7,CDT1,1
MCM4,HELLS,1
REL,NFKBIA,1
MCM2,SLBP,1
MCM6,KIF20B,1
TLR4,ITGAM,1
DEK,H2AFX,1
YBX1,PSEN1,1
TLR4,SYK,1
MCM4,TIPIN,1
TLR4,NFKB1,1
REL,BIRC3,1
ARNTL,DDX4,1
SPI1,NFATC1,1
MCM2,POLA2,1
MCM4,ORC6,1
YBX1,EFTUD2,1
MIS18BP1,CKAP2,1
TCF19,CCNA2,1
MCM5,MCM7,1
MYC,JUN,1
MCM6,MSH6,1
MAPK12,JUN,1
MCM4,DTL,1
CENPK,NCAPG2,1
NFKBIA,NFKB1,1
SOX18,VEGFC,1
JUN,MAPK11,1
RAD51,MSH6,1
MCM4,PRIM2,1
MEF2C,MEF2A,1
MCM2,RRM2,1
PA2G4,MPO,1
MCM5,PCNA,1
MCM2,AURKA,1
GATA2,SPI1,1
MCM2,MCM5,1
IRF7,IRGM2,1
CLOCK,ARNTL,1
MCM2,UHRF1,1
SPI1,PTPRC,1
MCM5,CDC7,1
HOXA9,MEIS1,1
MYC,GATA2,1
PHC1,H2AFX,1
MCM7,KIF20B,1
RPS6KA5,NFKB1,1
NFKBIA,USP11,1
PHC1,MECOM,1
MIS18BP1,KIF20B,1
HMGB2,HIST1H1C,1
MCM5,KIF20B,1
NOTCH1,PSEN1,1
MEIS1,FLT3,1
MCM4,CDCA8,1
MCM7,NCAPH,1
PA2G4,GM2A,1
MCM7,HAT1,1
MCM4,DUT,1
FOXO1,HNF4A,1
MAPK11,ESR1,1
ESR1,JUN,1
MCM7,MKI67,1
RAD51,UBE2C,1
MCM5,HAT1,1
MCM4,TYMS,1
YBX1,SLBP,1
TCF19,CDK1,1
RBL2,CCND3,1
CENPK,CCNA2,1
IKZF1,PTPRC,1
MCM5,MSH6,1
MAPK11,MEF2C,1
RAD51,NCAPG2,1
MCM6,RRM2,1
EPAS1,PSMC4,1
JUN,MAP2K1,1
MCM6,AURKA,1
NFKB1,JUN,1
RAD51,RPA2,1
MCM2,CDCA5,1
NOTCH1,MYC,1
HMGB2,BIRC5,1
MCM6,UHRF1,1
NFKB1,TLR4,1
JUN,CDK6,1
IRF7,OASL1,1
MECOM,PHC1,1
REL,NFKB1,1
MCM4,KIF11,1
MCM7,SLBP,1
RAD51,AURKA,1
HCFC1,HCFC2,1
RUNX2,VDR,1
GATA2,MYC,1
EYA2,DACH1,1
ESR1,MAPK11,1
HDAC7,HDAC11,1
PA2G4,PLAC8,1
JUN,ESR1,1
MYC,ANXA5,1
MEF2C,MAPK12,1
RUNX2,CBFB,1
MCM6,POLD1,1
CENPK,CDK1,1
MLLT3,DEK,1
MIS18BP1,TOP2A,1
MCM4,BIRC5,1
MCM4,TOP2A,1
MCM7,NCAPG2,1
MCM6,CDT1,1
MCM5,RAD51,1
RAD51,CCNA2,1
MCM5,NCAPG2,1
MCM6,TIPIN,1
CBFB,CRIP1,1
PA2G4,TUBB4B,1
MCM7,RPA2,1
SPI1,ITGAM,1
APBB1,APLP2,1
RAD51,HELLS,1
MCM2,NASP,1
E2F8,CCNA2,1
RAD51,MCM6,1
MCM2,NCAPH,1
NFKBIA,PSMC4,1
MCM5,AURKA,1
EPOR,CISH,1
MAPK11,DUSP2,1
MCM4,MCM2,1
MAPK12,ESR1,1
PML,SPI1,1
RUNX2,FOXO1,1
TRPS1,RUNX2,1
SPI1,FLT3,1
PML,HDAC7,1
SPO11,H2AFX,1
TCF19,TOP2A,1
MAML3,MAML2,1
ESR1,MKI67,1
MIS18BP1,KNSTRN,1
MCM2,MSH6,1
TLR4,IRAK3,1
CBFB,CDK6,1
VDR,RUNX2,1
THRB,PIK3R1,1
NFKB1,NFKBIA,1
IRF7,UBA7,1
JUN,CD44,1
MCM7,CCNA2,1
