dataset,CNNC,GNE,GNNLink,GRNFormer,STGRNS,all_methods,scGREAT
combined,,,,,,0.3424250368526551,
mESC_nonspecific_chipseq_1000,,0.0006732151607095,0.0165697230913891,0.0027428030613617,9.654779981105816e-05,0.0165697230913891,0.0001157796736364
mESC_nonspecific_chipseq_500,0.4019391901528477,0.0004417494673877,0.0044236955740055,0.0040251149915129,0.0003793094204643,0.0044236955740055,0.0001230488136081
mESC_nonspecific_chipseq_tf1000,,0.0004036107376583,0.0111942206661961,0.0019485118913345,0.0001288558005495,0.0004036107376583,0.0002655778938115
mESC_nonspecific_chipseq_tf500,,0.0015566596449174,0.0626195879825476,0.0022851257803652,0.0001459231456076,0.0015566596449174,0.0001498052921885
mESC_specific_chipseq_1000,,0.0106692739022278,0.0583326140218024,0.0112226356238103,0.0015292905884454,0.0106692739022278,0.0016007810703589
mESC_specific_chipseq_500,,0.0164504547812482,0.0753244404399049,0.0157037009835027,0.0018706174016668,0.0164504547812482,0.0063683072639741
mESC_specific_chipseq_tf1000,,0.0134316569638795,0.0624142402664159,0.0102920785969305,0.0011783382550515,0.0134316569638795,0.001028326367004
mESC_specific_chipseq_tf500,,0.016734996912046,0.0684619858234367,0.0169217905624602,0.001313986830126,0.016734996912046,0.0009851665722975
mESC_string_500,,0.0010621185262363,0.0290868849744639,0.0025334605936727,0.0001370435202831,0.0010621185262363,0.0001573512390373
mESC_string_tf1000,,0.0007601340679699,0.0104524075158062,0.0017709327017037,8.266464769706443e-05,0.0007601340679699,0.0001096569454474
mESC_string_tf500,,0.0010918420523373,0.0305251889769022,0.0018643067490561,0.0001251761437637,0.0010918420523373,0.000440635273297
mHSC-L_nonspecific_chipseq_1000,,0.0002292706493204,0.0103887148862667,0.0020254745977794,9.187029191495916e-05,0.0002292706493204,9.618975896411649e-05
mHSC-L_nonspecific_chipseq_500,,0.0001429631351064,0.0208210404948059,0.001435808988711,0.0001286625365757,0.0001429631351064,7.876578777778175e-05
mHSC-L_nonspecific_chipseq_tf1000,,0.0011631230385461,0.0092306469492835,0.0021735261002172,0.0001516858564337,0.0011631230385461,0.0002124140208555
mHSC-L_nonspecific_chipseq_tf500,,0.0081295464623246,0.0071173714242436,0.0014619066999297,0.0003775436689885,0.0081295464623246,0.0002760001114569
mHSC-L_specific_chipseq_1000,,0.0108742511224338,,0.0196786927099436,0.0010203949362867,0.0108742511224338,0.0017991635299834
mHSC-L_specific_chipseq_500,,0.005443942935735,0.0876276264226041,0.0150734612493116,0.0008695349819554,0.005443942935735,0.0008439641694224
mHSC-L_specific_chipseq_tf1000,,0.0081230944620167,,0.013241684617515,0.0019927015097724,0.0081230944620167,0.0012754387530148
mHSC-L_specific_chipseq_tf500,,0.0163497578143966,,0.0162523495789151,0.0022158433416493,0.0163497578143966,0.0031322722485157
mHSC-L_string_500,,0.000253017602823,,0.0016418566526584,4.148975720758058e-05,0.000253017602823,4.65203032953364e-05
mHSC-L_string_tf1000,,0.0015079635864695,,0.0041459289524505,0.0001255009350541,0.0015079635864695,0.0001598342065293
mHSC-L_string_tf500,,0.0017298404067304,,0.001675392636956,0.000264254311013,0.0017298404067304,0.0001294969642362
