dataset,CNNC,GNE,GNNLink,GRNFormer,STGRNS,all_methods,scGREAT
combined,,,,,,0.4679487179487179,
mESC_nonspecific_chipseq_1000,,0.7605351988050194,0.940187745413927,0.9655199620245994,0.4001183566860366,0.940187745413927,0.4718825836130544
mESC_nonspecific_chipseq_500,0.5711538461538461,0.7146897539074423,0.9616680621817424,0.967136021557194,0.7213062021107417,0.9616680621817424,0.3942470643985029
mESC_nonspecific_chipseq_tf1000,,0.7077387614645557,0.9333830270687832,0.9640946743517288,0.5263380870885142,0.7077387614645557,0.5468470647015506
mESC_nonspecific_chipseq_tf500,,0.830873963905354,0.917718824795592,0.9606887921064046,0.45317665413715,0.830873963905354,0.4771978358472684
mESC_specific_chipseq_1000,,0.8329247973070177,0.9229288072632612,0.8190868266367617,0.5895581101170244,0.8329247973070177,0.5720791958270548
mESC_specific_chipseq_500,,0.8613819350654204,0.9353316347383186,0.8287011148953435,0.5709685219562582,0.8613819350654204,0.8290660922728037
mESC_specific_chipseq_tf1000,,0.8527127626672881,0.9358542492823728,0.812406061652151,0.5174770299897334,0.8527127626672881,0.4469088842917345
mESC_specific_chipseq_tf500,,0.8148251349078083,0.9343920907690828,0.8396250429980062,0.4518956156880748,0.8148251349078083,0.2693834834523988
mESC_string_500,,0.7834289612548793,0.9433931396880472,0.9587660434035308,0.4222642884680256,0.7834289612548793,0.439957863476459
mESC_string_tf1000,,0.7681900182204859,0.94667402969398,0.9684143216226454,0.4205680421897456,0.7681900182204859,0.5499474983413144
mESC_string_tf500,,0.854949460266975,0.9617471748349476,0.9544129901370216,0.4027927368962138,0.854949460266975,0.5945716471495348
mHSC-L_nonspecific_chipseq_1000,,0.6593693761071839,0.9751885573700478,0.8126495158216397,0.3716486726825957,0.6593693761071839,0.3742936590129158
mHSC-L_nonspecific_chipseq_500,,0.6033163544447848,0.9614629382413448,0.8653547694080915,0.5985774937628573,0.6033163544447848,0.4239036671481303
mHSC-L_nonspecific_chipseq_tf1000,,0.8138278946964408,0.9529958472919302,0.8473738078969997,0.522438381912343,0.8138278946964408,0.6036656306773777
mHSC-L_nonspecific_chipseq_tf500,,0.8044941081479431,0.9408158955958684,0.7996960410789945,0.6026772936412376,0.8044941081479431,0.5431949743575398
mHSC-L_specific_chipseq_1000,,0.8160401879612849,,0.8294227833641328,0.3550148736681136,0.8160401879612849,0.5802231076936469
mHSC-L_specific_chipseq_500,,0.7832416708404191,0.9921548051842785,0.8580750289099892,0.433293979336834,0.7832416708404191,0.3969884943957814
mHSC-L_specific_chipseq_tf1000,,0.7637743292493703,,0.7872204183910023,0.6044388431671841,0.7637743292493703,0.458452019097715
mHSC-L_specific_chipseq_tf500,,0.8008482862466269,,0.842366298582667,0.4487514822529433,0.8008482862466269,0.5672035060220074
mHSC-L_string_500,,0.6485811791692399,,0.981439801038918,0.3825302171140751,0.6485811791692399,0.4740576284010127
mHSC-L_string_tf1000,,0.8335626199551718,,0.8809512071309558,0.6178635231124638,0.8335626199551718,0.6246695571478285
mHSC-L_string_tf500,,0.8557463483191342,,0.8364153462038807,0.554218728836054,0.8557463483191342,0.4412750610056711
