,AUPR,AUPR,AUPR,AUPR,AUPR,AUPR,AUPR,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC
method,CNNC,GNE,GNNLink,GRNFormer,STGRNS,all_methods,scGREAT,CNNC,GNE,GNNLink,GRNFormer,STGRNS,all_methods,scGREAT
dataset,,,,,,,,,,,,,,
combined,,,,,,0.3424250368526551,,,,,,,0.4679487179487179,
mESC_nonspecific_chipseq_1000,,0.0006732151607095,0.0165697230913891,0.0027428030613617,9.654779981105816e-05,0.0165697230913891,0.0001157796736364,,0.7605351988050194,0.940187745413927,0.9655199620245994,0.4001183566860366,0.940187745413927,0.4718825836130544
mESC_nonspecific_chipseq_500,0.4019391901528477,0.0004417494673877,0.0044236955740055,0.0040251149915129,0.0003793094204643,0.0044236955740055,0.0001230488136081,0.5711538461538461,0.7146897539074423,0.9616680621817424,0.967136021557194,0.7213062021107417,0.9616680621817424,0.3942470643985029
mESC_nonspecific_chipseq_tf1000,,0.0004036107376583,0.0111942206661961,0.0019485118913345,0.0001288558005495,0.0004036107376583,0.0002655778938115,,0.7077387614645557,0.9333830270687832,0.9640946743517288,0.5263380870885142,0.7077387614645557,0.5468470647015506
mESC_nonspecific_chipseq_tf500,,0.0015566596449174,0.0626195879825476,0.0022851257803652,0.0001459231456076,0.0015566596449174,0.0001498052921885,,0.830873963905354,0.917718824795592,0.9606887921064046,0.45317665413715,0.830873963905354,0.4771978358472684
mESC_specific_chipseq_1000,,0.0106692739022278,0.0583326140218024,0.0112226356238103,0.0015292905884454,0.0106692739022278,0.0016007810703589,,0.8329247973070177,0.9229288072632612,0.8190868266367617,0.5895581101170244,0.8329247973070177,0.5720791958270548
mESC_specific_chipseq_500,,0.0164504547812482,0.0753244404399049,0.0157037009835027,0.0018706174016668,0.0164504547812482,0.0063683072639741,,0.8613819350654204,0.9353316347383186,0.8287011148953435,0.5709685219562582,0.8613819350654204,0.8290660922728037
mESC_specific_chipseq_tf1000,,0.0134316569638795,0.0624142402664159,0.0102920785969305,0.0011783382550515,0.0134316569638795,0.001028326367004,,0.8527127626672881,0.9358542492823728,0.812406061652151,0.5174770299897334,0.8527127626672881,0.4469088842917345
mESC_specific_chipseq_tf500,,0.016734996912046,0.0684619858234367,0.0169217905624602,0.001313986830126,0.016734996912046,0.0009851665722975,,0.8148251349078083,0.9343920907690828,0.8396250429980062,0.4518956156880748,0.8148251349078083,0.2693834834523988
