TF,Target
PEG3,DPP4
GATA6,ERP29
ESRRB,GM15452
PML,NUP210
KPNA2,GM21962
PHC1,FLRT3
HSPB1,KPNA2
ZFP42,GM10052
HSPB1,GM24761
KLF2,RRM2
ZFP42,DKC1
GATA4,TENM4
FOXQ1,DPPA4
FOXQ1,PHLDB2
EPAS1,CALU
NANOG,PDCD4
TGIF1,PCOLCE
KPNA2,PGAM1-PS2
RBPJ,GM44335
PCBD1,MARC2
HSPB1,RPL22L1
BHLHE40,IFITM1
BHLHE40,BNIP3
HIST1H1D,CAR2
MYBL2,HIST1H3H
CREB3,SNORD32A
NFXL1,SPINK1
DAB2,GM25535
BHLHE40,MT2
SOX17,CEMIP
DNMT3L,BNIP3
TGIF1,ZFPM1
MYBL2,COL27A1
XBP1,SGK1
PEG3,SERPINE2
TAX1BP3,PHC1
RBPJ,ZFAS1
EPAS1,TIMP2
KDM5B,SNORA74A
NR0B1,SRGN
NFXL1,LY6G6E
TAX1BP3,FST
KLF2,GM7329
CREB3,CTSZ
JARID2,GM25673
RBPJ,MIR5117
MYBL2,MOV10
DNMT3B,GM23413
UTF1,GM28030
HMGA1,GM27406
HIST1H1B,HIST1H3I
KPNA2,SNORD49A
HIST1H1B,COTL1
TGIF1,DAB2
HMGA1,GM6136
MYBL2,GM9531
NANOG,GM44335
BHLHE40,GM24289
ZFPM1,APOE
ZFPM1,GM29397
FOXQ1,MIR669A-3
JARID2,SPP1
SOX17,TDH
BHLHE40,AY036118
TFCP2L1,DPPA4
POU5F1,HIST1H2AF
SOX7,IFITM2
DNMT3B,GASK1B
XBP1,GM43521
DNMT3A,NUTF2-PS2
DNMT3L,HKDC1
TRP53,GM23413
RBPJ,ETV5
DNMT3B,TPD52
CREB3,BCL3
ZFP42,GLIPR2
CCND1,LRPAP1
PEG3,CREB3L2
ETV5,RNF157
RBPJ,HSPA5
ZFP42,OPLAH
DNMT3B,MIR466O
HMGA1,NDRG1
NR0B1,MARC2
GATA6,GM28960
KPNA2,HIST1H3I
JARID2,LNCENC1
GATA6,GM14870
TAX1BP3,SNORD70
ZFPM1,ERP29
POU5F1,NSD2
POU5F1,HIST1H2AP
XBP1,GM43107
CREB3,SERPINE2
ELF3,GM26287
POU5F1,MIR669A-3
GATA6,CEMIP
KDM5B,PTH1R
FOXQ1,SURF4
FOXQ1,GM27406
KAT2B,GM25040
PEG3,GM24494
BCL3,BNIP3
DNMT3L,GM27406
XBP1,PEG3
PCBD1,2410141K09RIK
SOX17,RNU73B
KPNA2,FDPS
PHC1,NFXL1
DNMT3B,TAX1BP3
HMGA1,CALU
ZFP42,HIST1H1A
SOX2,TDH
PCBD1,SLC2A1
ESRRB,MIR5121
NFXL1,PHLDB2
SOX2,GM42429
HIST1H1D,GM26491
JARID2,SRGN
JARID2,MT1
HIST1H1B,GM22884
HIST1H1D,AY036118
RBPJ,GM27406
HSPB1,CTSL
GATA6,LRPAP1
UTF1,GM38312
TFCP2L1,ADAM19
SOX17,COL4A2
NANOG,OPLAH
HIST1H1D,RPL15-PS3
CREB3L2,GM13597
EPAS1,RHOX5
KAT2B,TFCP2L1
TAX1BP3,MIR466B-4
CCND1,PSRC1
NANOG,HIST1H4N
CCND1,IFITM3
BCL3,CREB3L2
KDM5B,TPD52
CCND1,DUSP9
NANOG,LAMB1
HIST1H1B,RPL15-PS3
MYBL2,PLOD2
ESRRB,FGFR3
NANOG,JAM2
GATA6,FGF4
JARID2,AU018091
DNMT3B,RAB11A
CREB3,MEG3
SOX17,DNMT3L
HMGA1,GM26156
RBPJ,MEG3
FOXQ1,GM27501
PCBD1,GM44390
PML,PHLDA3
HIST1H1B,TYRO3
DAB2,GM22858
NFXL1,GM24761
SOX7,GM22862
JARID2,GM26073
JARID2,LAMC1
HMGA1,DAB2
SOX17,ZFP42
SOX2,HMGA1B
DNMT3B,APOBEC3
BHLHE40,SLC7A6
CREB3L2,SDC4
HSPB1,ZFP989
CREB3,IFITM2
ESRRB,CTSL
GATA4,CLDN6
HIST1H1D,GM25451
DNMT3L,GM28900
MYBL2,MEG3
SOX17,GM10052
NANOG,GM14870
HIST1H1D,P4HA1
SOX7,DPP4
NFXL1,MIR7005
MYBL2,CD63
FOXQ1,CTSA
HMGA1,SNORA81
EPAS1,MYBL2
CCND1,CALCOCO2
XBP1,GM25451
GATA6,SNORD32A
ETV5,SNORD65
DNMT3L,PLK1
GATA6,FGF10
BHLHE40,MIR7005
KDM5B,FAM234A
NANOG,TRH
CREB3,CDC20
ELF3,NUTF2-PS2
FOXQ1,MIR466B-4
TRP53,TAX1BP3
MYBL2,PRXL2A
ESRRB,HIST1H2BN
TGIF1,MORF4L2
DAB2,CAR2
PHC1,MYBL2
KLF2,GM25943
HMGA1,GM43535
DAB2,GM25835
HSPB1,PDPN
NR0B1,SNORD49A
PML,HIST1H2AP
POU5F1,GM42429
NR0B1,GM27406
BCL3,TXNDC5
GATA6,AU018091
DAB2,SOX2
DNMT3B,HIST1H2AH
PEG3,SLC26A10
HIST1H1B,GM22858
BHLHE40,FDPS
RBPJ,KAT6B
HIST1H1D,SRGN
DNMT3A,TNS4
DNMT3A,RHOX5
KPNA2,MIR466O
POU5F1,MT-TF
PEG3,FGFR3
CREB3,HIST1H3H
