TF,Target
TCEA3,CSTB
ZFPM1,GM24494
PHC1,EDA2R
DAB2,CCND1
TGIF1,MIR669A-3
UTF1,MIR763
TRIM28,TNS4
JARID2,SLCO3A1
KDM5B,AQP3
SOX7,MIR466C-2
DAB2,TSPAN9
ELF3,GM25680
RBPJ,PATJ
ELF3,TSPAN9
ZBTB10,CALR
EHMT2,MIR669D
RBPJ,COBL
UTF1,DNMT3B
KLF2,AQP8
KAT2B,TMEM144
UTF1,SPSB1
TAX1BP3,CFC1
BTG2,GM3851
TFEB,RASGRP2
PARP1,HIST1H3H
EGR1,SNORA73B
SOX17,CTSL
TCEA3,RENBP
UTF1,SNHG3
BHLHE40,CLDN6
TGIF1,LNCENC1
CREB3,SLC7A3
BHLHE40,GM14870
SMAD7,PLOD3
EGR1,GM27773
SUZ12,PGA5
TFEB,SNORA31
CREB3L2,AMOT
BMP4,NANOG
MCM6,GM10717
DNMT3B,APP
HIST1H1D,MIR186
DNMT3A,RNU73B
SMAD7,PLEKHA7
JARID2,TDGF1
MSC,PATJ
KLF6,SNORD32A
MYBL2,HS3ST1
CREB3L2,MIR1949
PCBD1,SNORD11
ID2,GM38009
BCL3,FOLR1
EGR1,MIR669A-1
KPNA2,GM26060
TCEA3,CKB
FOXQ1,GM10182
NANOG,PLATR14
KLF2,CDKN1A
RBBP7,GM5616
JARID2,GM25673
NFXL1,HNF1B
XBP1,CARMIL1
BHLHE40,GLDC
NR0B1,GM23639
ZFPM1,SRM
EGR1,GM27640
MCM6,GM44380
MYBL2,MIR467C
ID1,CDC20
RLIM,GM25263
SOX7,COL4A1
RBPJ,HIST1H2AN
POU5F1,GM24201
PHC1,SETX
SMAD7,SNORA43
MYBL2,MOV10
DNMT3A,GM24455
POU5F1,SNORD72
AKT1,FN1
FOXH1,CRELD2
NR0B1,MYMX
PEG3,WDR1
KDM5B,ZFP989
KLF2,RPL22L1
MSC,HSD17B14
MDM2,TXNDC12
FOXQ1,ZYX
KLF3,MYMX
TFCP2L1,ZFP710
HIST1H1B,NUP62CL
ILK,DPPA2
CBX7,GLS
SMARCA2,UHRF1
RBBP7,CHST15
TRP53,MT-TP
ID1,GM23632
FOXH1,GGTA1
RLIM,SOX2
GATA6,CHCHD10
TCEA3,GM23569
HSPB1,GM25835
EED,MYO5B
PARP1,GM23542
EHMT2,TCN2
SUZ12,SNORA62
RLIM,MDM2
KDM5B,SLC7A3
KLF2,PLATR14
FOXH1,GM7993
HSPB1,ITGA3
RBBP7,BHLHE40
HSPB1,CTSA
SMARCA2,LGALS3
KDM5B,GM10012
SOX7,ITGA3
HIST1H1B,CSTB
GATA6,SNURF
HMGA1,DPPA4
TCF7L2,RLIM
NR0B1,SOCS2
KLF2,HIST1H2AK
MDM2,UNG
PARP1,GM9531
TAX1BP3,MIR3082
RLIM,SERPING1
NFATC2IP,GM10182
KLF6,MSL3
MYCN,GM4202
DNMT3B,CTDSPL
MCM6,GM10337
BMP4,RBMS1
MYCN,NUSAP1
TRP53,LAMB1
DNMT3L,GLMP
TAX1BP3,SERPINH1
GATA6,ZFP989
KAT2B,AGPAT4
CBX7,PLAUR
DAB2,BMPER
RBBP7,KLF6
CCND1,SNORA43
BHLHE40,SMS
ELF3,GM44335
ZBTB10,GM10052
TRP53,GM10337
KPNA2,STARD8
HIST1H1B,RHPN1
KLF2,L1TD1
UTF1,TGM1
SMARCA2,SNORD65
SOX7,NDRG4
ELF3,SETX
TCF7L2,HIST1H4K
DNMT3B,SMARCA2
ELF3,ACTG1
TRP53,ASAH1
PEG3,GM27640
ID2,PDK1
KLF3,P4HA2
NR0B1,ALG13
DTX1,LRPAP1
ILK,SNORA30
ZFP42,GM9531
ID2,MIR669J
ETV5,ZFP57
NR0B1,GM28900
DNMT3B,HIST1H3H
MDM2,LDLRAP1
DAB2,GM23542
MYBL2,MSI2
TFEB,SNHG5
DNMT3B,MIR763
HNF1B,CKAP4
SUZ12,RBMS1
ID1,GM21860
EED,GM12350
RBPJ,ATP13A3
HSPB1,GM37784
MYCN,CDC20
PML,MSMO1
KDM5B,XBP1
TAX1BP3,LOXL2
PHC1,DDX21
ZFP42,PLOD3
KAT2B,WDFY1
KLF4,HK2
ID2,GM12112
ZFP42,RIAN
ID2,MYO1C
NFATC2IP,SNHG5
ID1,RPS27RT
ELF3,LNCENC1
XBP1,GM22051
POU5F1,GM43108
CREB3,HTRA1
BMP4,OPLAH
FOXH1,CCNE1
CITED2,GM3788
RBPJ,HIST1H1A
CCND1,GM24494
KLF2,DUSP9
ILK,GFPT2
SOX2,PSRC1
