TF,Target
CCND1,PSRC1
CREB3,CDC20
BHLHE40,MT2
KLF2,GM25943
TAX1BP3,PHC1
HIST1H1D,RPL15-PS3
PCBD1,2410141K09RIK
DAB2,CAR2
HIST1H1D,GM26491
KLF2,GM7329
DNMT3L,BNIP3
JARID2,AU018091
PEG3,GM24494
DAB2,GM25835
DNMT3L,GM27406
TGIF1,ZFPM1
DNMT3B,GM23413
PML,PHLDA3
CREB3,IFITM2
HMGA1,GM27406
SOX7,DPP4
GATA4,CLDN6
GATA6,CEMIP
PHC1,FLRT3
GATA6,FGF10
DNMT3A,RHOX5
XBP1,SGK1
GATA6,FGF4
BHLHE40,BNIP3
RBPJ,GM44335
PML,NUP210
GATA6,SNORD32A
SOX2,TDH
KAT2B,GM25040
BHLHE40,IFITM1
HSPB1,ZFP989
FOXQ1,SURF4
XBP1,GM43521
JARID2,LAMC1
DNMT3B,MIR466O
JARID2,MT1
BCL3,TXNDC5
HIST1H1D,AY036118
TRP53,GM23413
EPAS1,RHOX5
MYBL2,HIST1H3H
GATA6,ERP29
DNMT3A,TNS4
TGIF1,PCOLCE
KPNA2,HIST1H3I
NFXL1,LY6G6E
NANOG,GM44335
RBPJ,ETV5
HMGA1,CALU
DNMT3B,TAX1BP3
PEG3,FGFR3
FOXQ1,GM27406
HMGA1,SNORA81
CREB3L2,GM13597
KDM5B,PTH1R
ZFP42,HIST1H1A
POU5F1,GM42429
HSPB1,KPNA2
NFXL1,PHLDB2
CREB3,HIST1H3H
PEG3,DPP4
ELF3,NUTF2-PS2
NR0B1,GM27406
ZFP42,OPLAH
XBP1,PEG3
DAB2,SOX2
KPNA2,MIR466O
RBPJ,ZFAS1
ELF3,GM26287
ZFP42,GM10052
DNMT3L,HKDC1
RBPJ,KAT6B
CCND1,DUSP9
HIST1H1B,HIST1H3I
SOX7,IFITM2
HSPB1,RPL22L1
ZFPM1,GM29397
NFXL1,MIR7005
HIST1H1B,COTL1
DNMT3B,TPD52
TRP53,TAX1BP3
HIST1H1B,GM22858
CREB3,CTSZ
DNMT3L,GM28900
SOX2,HMGA1B
MYBL2,MEG3
PCBD1,GM44390
SOX17,TDH
PHC1,MYBL2
RBPJ,MEG3
NANOG,GM14870
KPNA2,PGAM1-PS2
JARID2,GM25673
BHLHE40,MIR7005
TAX1BP3,MIR466B-4
NR0B1,MARC2
UTF1,GM28030
NFXL1,GM24761
CCND1,IFITM3
MYBL2,COL27A1
FOXQ1,PHLDB2
RBPJ,GM27406
FOXQ1,CTSA
CREB3,BCL3
ESRRB,FGFR3
NFXL1,SPINK1
POU5F1,MT-TF
HIST1H1B,GM22884
HMGA1,DAB2
SOX17,COL4A2
CREB3,SERPINE2
CREB3,MEG3
HIST1H1B,RPL15-PS3
TFCP2L1,ADAM19
MYBL2,MOV10
BHLHE40,GM24289
HSPB1,CTSL
ETV5,RNF157
HIST1H1D,P4HA1
XBP1,GM25451
MYBL2,PRXL2A
FOXQ1,MIR466B-4
BHLHE40,FDPS
SOX7,GM22862
DAB2,GM22858
NANOG,JAM2
HMGA1,NDRG1
CCND1,CALCOCO2
JARID2,GM26073
KPNA2,GM21962
TGIF1,DAB2
GATA6,GM28960
DNMT3B,GASK1B
DNMT3B,HIST1H2AH
CREB3L2,SDC4
ESRRB,HIST1H2BN
UTF1,GM38312
FOXQ1,GM27501
EPAS1,CALU
PEG3,SLC26A10
POU5F1,MIR669A-3
HIST1H1D,CAR2
PML,HIST1H2AP
PCBD1,SLC2A1
TGIF1,MORF4L2
GATA4,TENM4
ESRRB,CTSL
ESRRB,MIR5121
TFCP2L1,DPPA4
ZFPM1,ERP29
POU5F1,HIST1H2AP
TAX1BP3,SNORD70
NANOG,LAMB1
ZFP42,GLIPR2
HIST1H1D,SRGN
GATA6,GM14870
HMGA1,GM43535
BCL3,CREB3L2
NANOG,OPLAH
HSPB1,GM24761
HSPB1,PDPN
FOXQ1,DPPA4
DNMT3B,RAB11A
RBPJ,HSPA5
KLF2,RRM2
NR0B1,SNORD49A
PCBD1,MARC2
EPAS1,TIMP2
ETV5,SNORD65
SOX2,GM42429
SOX17,RNU73B
EPAS1,MYBL2
KDM5B,TPD52
BCL3,BNIP3
ZFPM1,APOE
ZFP42,DKC1
GATA6,AU018091
MYBL2,GM9531
NANOG,TRH
POU5F1,NSD2
MYBL2,CD63
MYBL2,PLOD2
SOX17,ZFP42
ESRRB,GM15452
PHC1,NFXL1
KPNA2,FDPS
CREB3,SNORD32A
SOX17,GM10052
TAX1BP3,FST
DNMT3A,NUTF2-PS2
KAT2B,TFCP2L1
NANOG,PDCD4
KDM5B,SNORA74A
BHLHE40,SLC7A6
JARID2,SPP1
KPNA2,SNORD49A
RBPJ,MIR5117
DAB2,GM25535
DNMT3L,PLK1
DNMT3B,APOBEC3
POU5F1,HIST1H2AF
NR0B1,SRGN
CCND1,LRPAP1
JARID2,LNCENC1
PEG3,CREB3L2
XBP1,GM43107
SOX17,CEMIP
KDM5B,FAM234A
HMGA1,GM6136
NANOG,HIST1H4N
GATA6,LRPAP1
HIST1H1D,GM25451
JARID2,SRGN
HMGA1,GM26156
SOX17,DNMT3L
FOXQ1,MIR669A-3
PEG3,SERPINE2
HIST1H1B,TYRO3
BHLHE40,AY036118
