TF,Target
AKT1,GM23136
SMARCA2,CTSL
ID1,GM25472
RLIM,GM23245
EHMT2,GM5616
ILK,RAB11A
KLF6,UPP1
SOX17,P3H4
JARID2,GM7993
TFEB,RUNX1
ETV5,FDPS
HIST1H1D,UNG
KPNA2,DPP4
SMAD7,NUP62CL
MSC,FAT1
BCL3,ETV5
CREB3L2,MIR291B
BHLHE40,JARID2
KLF3,GM43108
ETV5,IFITM2
BMP4,RPL22L1
NFXL1,CHCHD10
FOXQ1,RFFL
KLF6,PDIA6
MDM2,GM24853
SMARCA2,HDLBP
ZBTB10,SPOCK1
MDM2,GM10719
BTG2,GM22468
RLIM,IFI30
MDM2,TUBB2B
GATA4,GM9531
ID2,SNORA17
PEG3,GM25673
EED,GM37404
NFATC2IP,CCND2
KAT2B,CCNE1
ETS1,SNORD43
HSPB1,TIMP3
CREB3,GM14870
RLIM,HYOU1
ID1,MIR1949
SMARCA2,COTL1
RBPJ,IFITM3
RLIM,EMB
RLIM,TNS4
HIST1H1D,SEC23A
BHLHE40,ILK
GATA6,GM22030
DNMT3A,KRT42
GATA4,IL6
SOX7,MRPL23-PS1
HIST1H1D,FBLIM1
PARP1,SNORD83B
PEG3,GM27509
BHLHE40,GM23946
TCF7L2,PLSCR1
DNMT3B,GALK1
CCND1,FXYD3
CBX7,GM15446
PEG3,ESRRB
ZFPM1,TAX1BP3
TFEB,ASS1
TRP53,APOBEC3
CREB3,DNMT3L
PML,LEFTY2
HMGA1,GM24339
DNMT3A,PNP
RLIM,GM27773
PCBD1,FXYD3
SMAD7,FAT1
RUNX1,BEX3
SUZ12,MPP1
BHLHE40,CD81
TRIM28,GM27773
GATA4,SNHG3
MCM6,MIR1905
BTG2,GLDC
FOXQ1,MIR8091
ZFPM1,MIR669A-1
CCND1,GM37784
PARP1,GM43521
DNMT3A,ETS1
DTX1,VILL
CREB3L2,RLIM
ETV5,IFRD1
CBX7,GM25158
BCL3,GLUL
EED,APAF1
SMAD7,SOX17
EGR1,MIR3535
CREB3,RPL22L1
HNF1B,MIR466B-6
HIST1H1D,GM43940
PCBD1,MIR295
NFATC2IP,GM26229
RLIM,LRRC2
MDM2,SRGN
HNF1B,CTNNAL1
EGR1,DNMT3B
CITED2,GM24916
EGR1,ZFP532
SOX7,GM22884
PEG3,NIPSNAP1
HIST1H1D,LAMB2
PARP1,GM28030
CREB3L2,GM44364
TRIM28,PLXNB2
CCND1,DTX1
ETV5,CST3
PML,LTBP4
CREB3L2,MYCN
SMAD7,AARS
TAX1BP3,GM10719
CITED2,CREB3L2
DNMT3A,GM24289
TRIM28,GM21962
TRP53,XBP1
GATA6,MYH9
BTG2,LAMA5
KLF6,LIFR
TRP53,MGST3
HNF1B,NDRG1
CREB3,FOXH1
HSPB1,SLC16A1
ELF3,RPP25
MYBL2,UNG
MYCN,HSP25-PS1
MDM2,SPP1
TGIF1,MIR3091
KPNA2,FRMD4A
BCL3,AQP8
TCF7L2,CCNE1
SOX7,CDC20
BMP4,CCND1
MDM2,PLAT
RBPJ,PRDX1
HIST1H1B,TIMP2
PHC1,WDFY1
GATA6,CR1L
CCND1,PLXNA1
ID2,RENBP
KLF4,GM26083
FOXH1,MIR669H
DAB2,MYBL2
NANOG,SLC9A6
EHMT2,MGST3
ELF3,GM24346
SUZ12,GM10337
DTX1,PLK1
KDM5B,MID1-PS1
KDM5B,FGF4
MDM2,GM27743
TAX1BP3,PRC1
TCF7L2,GM23413
GATA4,GM7329
TAX1BP3,FOLR1
MCM6,UBQLN2
EED,GM25787
BCL3,RPL22L1
BMP4,LRRK1
DTX1,GM10182
MDM2,MORC4
ID2,MFSD1
KLF2,GLIPR2
CREB3L2,LEFTY2
EHMT2,TSPAN9
NFATC2IP,SPNS2
DAB2,PLK2
TFEB,MIR291B
FOXQ1,TDH
AKT1,SLC25A4
KDM5B,GM22677
PML,CRELD2
ETS1,GFPT1
ZFPM1,COMMD3
KLF6,ASAH1
RBBP7,ZFP42
GATA6,BCL3
ID1,TET1
GATA6,SNORA3
PML,PGAM1-PS2
TCEA3,WDR45
CREB3,GM27415
SOX7,GM49347
EED,KAT2B
KDM5B,APOBEC3
KPNA2,DDX21
KLF6,STMN1
FOXQ1,HTRA1
MYCN,GM21962
CREB3L2,AQP3
TAX1BP3,MIR669B
CBX7,RBPMS2
TCF7L2,HIST1H2AK
ID2,PLK1
DAB2,CALD1
GATA4,CBX7
EHMT2,ENAH
CBX7,PARP1
KLF2,FAT1
DTX1,CLIC1
PARP1,HSPG2
DTX1,GM5616
TCEA3,TDGF1-PS1
HMGA1,MIR669F
BCL3,SNX1
CBX7,GM25195
ILK,MIR466L
JARID2,SETX
JARID2,LRRC2
PCBD1,SUZ12
KLF3,FLRT3
ETS1,KDM5B
PML,MDN1
ELF3,CCND2
TGIF1,HIP1
HMGA1,KRT17
JARID2,ZFP57
SOX2,ADAMTS9
DNMT3B,PDK1
TGIF1,HMGA1
AKT1,PRXL2A
TGIF1,GM25673
GATA4,RBM47
ZFPM1,GM9531
RUNX1,PNRC2
TFCP2L1,MIR291B
AKT1,MIR669I
EGR1,WDR45
KLF2,EPS8
MCM6,TCF7L2
PARP1,SEMA4C
ETV5,GM28439
RUNX1,PLXNB2
SMARCA2,MAN1A2
ID1,DTX1
TCF7L2,CERS4
KLF2,DKC1
ELF3,GM15181
DNMT3B,GM10184
EGR1,TIMP2
CITED2,GM23569
CITED2,GM21748
CCND1,TXNDC12
ILK,BAG2
TCF7L2,SNORA26
EED,COMMD3
FOXQ1,PLXNB2
SOX17,IFITM3
SMAD7,TAGLN2
TGIF1,ITGAV
CREB3,LRRK1
CITED2,SERPINH1
TFEB,RLIM
SUZ12,GM21860
TAX1BP3,PLAT
PML,LAMB1
TCEA3,RNU73B
CITED2,SELENOW
NANOG,MIR466O
SMAD7,GM43108
HNF1B,JARID2
TAX1BP3,CERS4
MSC,MIR8091
BMP4,SFI1
NFATC2IP,FGFR4
GATA4,RETREG1
MYBL2,SLC7A3
HIST1H1B,CALR
EED,CTSA
FOXH1,GM44380
EGR1,KDELR2
BCL3,HIST1H4K
EGR1,UCHL1
XBP1,GM26165
EPAS1,TUBA4A
SOX7,EPHA4
FOXH1,ESRRB
MSC,TXNIP
PEG3,NFATC2IP
KDM5B,SAT1
TFCP2L1,SNX1
MDM2,RNPEP
SMAD7,ODC1
RUNX1,GM4202
MCM6,NDRG4
KLF6,UAP1L1
HNF1B,SNORA73A
SMARCA2,GM23245
KLF3,GM22166
TCF7L2,UBE2C
TFCP2L1,TEX264
BMP4,RPL23A-PS3
HNF1B,FZR1
CREB3,GAS6
ZBTB10,GM28010
HNF1B,SPRY2
PEG3,MIR466C-2
EED,GM22862
ETV5,EHMT2
KPNA2,DNAJC3
PML,GM25701
FOXH1,GM47315
NFATC2IP,GM27509
NFXL1,EPAS1
EPAS1,GM26083
EPAS1,CARMIL1
TCEA3,ADAM19
ELF3,GM23497
NFATC2IP,HIST1H2AH
CREB3,AURKA
PHC1,GM26287
FOXH1,CDH6
TAX1BP3,PIPOX
KLF4,IL33
KDM5B,GM25316
ESRRB,PRXL2A
TFCP2L1,B2M
TAX1BP3,CCND2
KDM5B,MIR6357
TAX1BP3,CDC42SE2
NFXL1,CCNE1
SOX7,FXYD3
SMAD7,MIR8091
PARP1,CCND1
KLF2,ADAMTS9
TFCP2L1,GM27415
HIST1H1B,EPAS1
ZFP42,GM10012
RUNX1,ARHGAP29
TFEB,CAR2
SOX2,ATP13A3
RBPJ,STARD10
KLF3,LAMA1
ETV5,PCBD1
NANOG,SNORA62
RBPJ,ATP13A3
MYBL2,GM4322
ELF3,NASP
FOXH1,FABP3
PML,BMP4
SOX17,GM23566
RBBP7,GM27592
SMARCA2,SRM
TCEA3,GM22677
RLIM,GM22468
DNMT3A,KPNA2
BCL3,AMOTL2
CITED2,FAT1
BHLHE40,GM27743
TRP53,ADGRE5
KLF3,UAP1L1
KLF3,TXNDC5
SUZ12,GM24455
BMP4,SLC6A6
SUZ12,ARFGAP1
EPAS1,MRPL23-PS1
JARID2,UTF1
EPAS1,MIR467C
HMGA1,PDCD6IP
ID1,HIST1H4K
GATA6,CCNF
TCF7L2,RNPEP
ZBTB10,ATP6V0A1
TRP53,GM25285
FOXH1,ARIH2
EPAS1,PDK1
BTG2,GPA33
UTF1,ZFAS1
PCBD1,CCNF
PEG3,GM22051
BHLHE40,MT2
ZBTB10,ATP13A3
MYBL2,SPRY4
ETS1,SNORD11
TFEB,GAS6
MYCN,GM22281
BHLHE40,GM23632
KPNA2,GM10052
AKT1,AGPAT4
RLIM,NSD2
PHC1,CREB3L2
PHC1,HIST1H2AP
SOX2,RPL15-PS3
PARP1,SMARCA2
ETS1,GM43535
CREB3L2,RNF157
PHC1,SRI
BCL3,COLGALT1
KLF2,MIR3070B
EHMT2,GM23288
EPAS1,GM4617
JARID2,MIR297A-2
RUNX1,COL27A1
DTX1,APOE
MYCN,MYO18A
RUNX1,FXYD6
SMAD7,MME
PCBD1,AKR1B3
CREB3,CTNNAL1
CREB3,MDN1
PEG3,ASAH1
EGR1,TPD52
NR0B1,MIR3070A
EED,GM24616
CBX7,GM7993
FOXQ1,AMFR
TAX1BP3,GM23497
HSPB1,ADAMTS9
RLIM,KLF4
KDM5B,GM21860
BHLHE40,SNORD58B
ID1,LRRK1
HSPB1,GM24330
AKT1,GABBR1
KDM5B,PSRC1
HMGA1,GM24451
EED,SLC7A3
EHMT2,GM24455
TFEB,TRIM28
FOXH1,GM10259
EHMT2,HSPB1
RLIM,ARHGEF40
EED,CNN2
KPNA2,ERP29
NR0B1,GLDC
PARP1,GM42429
PML,PHLDA3
CREB3L2,GM15899
MCM6,IDI1
DAB2,PARP1
ILK,PDIA6
SOX7,SNORA3
ELF3,HIP1
ID2,TUBA4A
SMARCA2,GM4202
NFATC2IP,GM10259
FOXH1,PDIA6
ELF3,HMGA1
ELF3,SMS-PS
KPNA2,AKR1B3
AKT1,GM8818
MYCN,CTDSPL
PHC1,SNORD49A
ID2,GGTA1
ILK,KAT6B
HNF1B,GM45105
FOXH1,ACTG1
KDM5B,FAM234A
NFATC2IP,GM24339
DTX1,DUSP9
ILK,IMPDH1
MYBL2,GM21748
PHC1,SNORD110
NFATC2IP,TOP2A
SOX7,SUZ12
DTX1,MT-TF
MYBL2,SERPINH1
BCL3,TMSB4X
ELF3,CHST15
BTG2,GM24494
BTG2,HIST1H3I
DNMT3A,SFMBT2
RBPJ,TPM4
RLIM,GM10182
TFCP2L1,TRIM28
TRIM28,WDR1
SUZ12,GM22030
ELF3,GM13502
KLF3,GM2399
HIST1H1B,ITM2B
HSPB1,GM3470
RBBP7,TNK2
SMAD7,ELF3
ZFPM1,EIF4A-PS4
ETS1,SOX17
POU5F1,SNORD93
CITED2,SLC6A8
SMAD7,PNRC2
TAX1BP3,LY75
PCBD1,MIR3535
ESRRB,GM26083
SOX7,EMB
HIST1H1B,PIPOX
BHLHE40,GM23497
MYCN,RENBP
CREB3L2,SNORA73A
DAB2,SLC7A5
GATA6,ZFP532
ELF3,GM23571
EED,FKBP11
NFXL1,GM15181
HSPB1,ITGA6
ZBTB10,HSP25-PS1
MCM6,SNORA31
DNMT3L,LY6G6E
ETV5,AHCY
KAT2B,AQP8
TCEA3,SNORD70
NR0B1,SNORD93
ID1,GATA6
MDM2,GM26448
DNMT3L,MIR669A-1
CBX7,TCN2
CCND1,RANBP17
ZBTB10,FLRT3
TCF7L2,KLF2
TAX1BP3,GM26992
HNF1B,ADAM23
TCF7L2,CDKN1A
MYCN,SNORD43
ESRRB,GM25158
RBPJ,SORD
ID1,TYRO3
MSC,GM24564
ZFPM1,SPOCK1
MCM6,EIF4A-PS4
TFCP2L1,MDN1
HNF1B,SRGN
SOX17,GM10259
AKT1,HIST1H2BF
FOXQ1,NEU1
HSPB1,AU018091
ZFPM1,GM21748
SMARCA2,UTF1
HIST1H1D,ACP6
RBBP7,GDPD5
CCND1,GM22468
ETV5,HIST1H4D
TRP53,GM14870
XBP1,PLK2
GATA4,TDGF1
TAX1BP3,PRDX1
AKT1,RBPMS2
DTX1,GM15452
SOX7,P3H1
KLF2,TNS4
FOXQ1,COMMD3
ID2,GM49369
BCL3,MYO5B
PARP1,RNF157
BTG2,ADGRE5
CCND1,CLCN5
EGR1,SNORD33
AKT1,GM25195
ZBTB10,SORD
CREB3,GM44320
RBPJ,HIST1H2AI
TRIM28,DNAJC10
TRIM28,MIR669I
HSPB1,HIST2H2BB
MYBL2,PARP1
CITED2,ITGA6
AKT1,SOX17
NFATC2IP,EDA2R
HNF1B,SPP1
ETV5,GM25057
CREB3,SNORA73A
KDM5B,TCEA3
EHMT2,MIR295
PEG3,EHMT2
KLF2,SERPING1
RLIM,VEGFA
RBBP7,GM28900
GATA6,BHLHE40
CITED2,ATP6V0A1
MDM2,DPPA4
MYCN,CSTB
CITED2,SLCO3A1
ETV5,LNCENC1
KDM5B,GM17538
XBP1,FKBP11
BTG2,ECT2
MCM6,SFMBT2
EHMT2,CMKLR1
EPAS1,KANK3
ID1,MIR3535
MSC,CRIP2
SOX7,IGF2
HIST1H1B,ALG13
TFEB,GM15899
NFATC2IP,PLAUR
BMP4,MT1
MYBL2,DKC1
CBX7,D230025D16RIK
DNMT3B,GM23245
TAX1BP3,CYP26A1
