TF,Target
TRP53,RNU73B
NFXL1,KRT19
XBP1,PLXNA1
GATA6,MIR466O
NFXL1,UBALD2
BCL3,GM12276
ETV5,ADAM19
ID1,PWWP3B
PARP1,SNORA21
FOXH1,TUBB4B
PEG3,SERPINE2
BCL3,SNX2
EED,SLC7A3
POU5F1,GM28010
SMARCA2,SLC45A4
KAT2B,GJB3
NR0B1,JAM2
ETS1,FNDC3B
MSC,CRYBG2
BCL3,GM26917
KPNA2,GM22571
RBPJ,RHPN1
EGR1,EIF4A-PS4
RBPJ,GM20721
DTX1,GM26229
MYCN,BCAT1
ZBTB10,SNX2
KLF3,GM44390
CCND1,GM22281
CREB3L2,SNORA41
TRIM28,CEMIP
NFXL1,HSPG2
ETV5,GM26229
SOX17,SAT1
BTG2,IFI30
BHLHE40,GFPT1
AKT1,GM22988
EHMT2,TXNIP
ELF3,SNX2
DAB2,PDE4DIP
PHC1,TCEA3
EGR1,COL4A2
BTG2,MSH6
KLF6,SOAT1
NFXL1,MIR669A-1
PML,PLXNB2
XBP1,GM24916
ESRRB,GM13597
FOXQ1,GM49347
ETS1,IDI1
BHLHE40,HIP1
TCF7L2,CEMIP
HNF1B,1810032O08RIK
TAX1BP3,GM15459
DTX1,TUBB6
ELF3,GM24916
JARID2,RNU73B
TRP53,IFRD1
SMAD7,GM5616
SOX17,AURKA
ELF3,UPP1
TFEB,GM3788
NFXL1,GATA6
ID1,GM25960
HIST1H1B,HIP1
KAT2B,GM25680
GATA4,P4HA2
NFXL1,ISYNA1
ETV5,AU018091
KPNA2,GM43521
CREB3L2,KDELR2
BTG2,P4HB
ETS1,GM49347
TFCP2L1,PTPN14
SOX17,ADGRE5
RLIM,MSI2
KPNA2,RNF157
MDM2,RRAS2
DNMT3B,UAP1L1
KLF6,GM29397
PML,GM27798
SMAD7,MIR467C
KAT2B,MYO6
HMGA1,GM43587
HMGA1,GM14303
EPAS1,RLIM
BHLHE40,SNHG5
TRP53,CKB
ETV5,FZR1
DAB2,ITGAV
CCND1,GM38009
DTX1,SLC7A3
ETV5,MARC2
CITED2,MIR669B
KAT2B,LMF2
RUNX1,CFC1
BHLHE40,SNORA65
KLF2,BHLHE40
FOXQ1,P4HB
KAT2B,GM43521
KLF2,VEGFA
CCND1,HS3ST1
NFATC2IP,CLDN6
KLF2,SRPRB
NFXL1,PTH1R
BTG2,GM10039
TRIM28,TCEA3
KPNA2,SNORA43
ILK,SNORA31
RUNX1,GM4735
SOX17,ATP6V0A1
PML,SLC7A6
BCL3,GM22051
HIST1H1D,BNIP3
ELF3,JAM2
BHLHE40,ZFPM1
GATA4,LY75
FOXH1,GM10108
RUNX1,ZFP57
KLF4,GM23130
TGIF1,BNIP3
SOX17,KDM3A
CREB3,AU018091
PML,CSRP1
GATA6,TMSB4X
TCF7L2,SMAD7
TFCP2L1,GGTA1
CCND1,SPSB1
SOX2,GM10012
XBP1,RESF1
HIST1H1B,CTSA
CREB3L2,SNORA26
RLIM,GM25500
POU5F1,MIR669I
KLF3,GM27509
DNMT3L,RAB11A
SMAD7,BNIP3
SOX2,GM15247
HMGA1,GM24339
ILK,APP
AKT1,NEDD4
MCM6,BCAM
CREB3L2,SNURF
KDM5B,TDH
SMARCA2,BEX3
TCEA3,IL6
NANOG,CRYBG2
CBX7,GM15899
TFEB,MIR677
MCM6,HSP90B1
CITED2,GM22200
FOXQ1,RRM2
NFATC2IP,SLC1A3
HNF1B,TTC7
HIST1H1D,GM26447
ZFP42,GASK1B
ID2,MCM6
BTG2,GM27640
KAT2B,SNORA21
DAB2,AURKA
MYBL2,PRKAB1
HIST1H1B,FST
ID1,NRG1
DAB2,MIR669A-3
DTX1,MIR6357
TCEA3,DCXR
SUZ12,GM42429
CCND1,GM22030
SMAD7,SLC25A5
KLF6,GM22914
GATA4,GM25535
NR0B1,GM23268
GATA6,GM23639
TCF7L2,CBX7
ZFP42,MIR3535
SOX17,GM24494
BMP4,SH3PXD2B
TRP53,GM27640
DTX1,PLOD2
SOX7,MORF4L2
ID2,CSTB
TCEA3,MSH6
KLF2,2810025M15RIK
TCEA3,EIF4A2
SOX17,PDCD4
PHC1,2410141K09RIK
CITED2,GM26165
XBP1,SPINK1
KLF2,GM27406
MDM2,ATP6V0B
KAT2B,ATP6V0B
HIST1H1D,LTBP4
KLF6,LRP2
TAX1BP3,GM24616
NR0B1,MIR669J
BTG2,GM15459
NANOG,GM25680
KLF2,GM25263
BCL3,FOXH1
XBP1,GM26431
BTG2,MT1
BHLHE40,GM49347
ELF3,LRP2
MYCN,GM43590
XBP1,HIST1H4N
KDM5B,GM8355
ILK,SNORA73A
SOX7,APOE
GATA6,TSPAN9
TCF7L2,PRPS2
BMP4,LAMC1
BCL3,MFGE8
KPNA2,TMEM150A
MYCN,GM24494
DAB2,GATA4
NFATC2IP,HIST1H1B
PEG3,HK2
RBBP7,GM37917
HIST1H1B,ASNS
CCND1,PLXNB2
PML,ZFP990
NANOG,GM22677
KAT2B,PLAT
JARID2,GM44330
BMP4,SLC6A8
GATA4,IFI30
JARID2,GM27640
MDM2,GM15452
HIST1H1D,P3H2
ETS1,SELENOK
HMGA1,FLNA
HSPB1,PTH1R
EED,PIPOX
DNMT3B,TRH
KAT2B,FGFR3
SOX2,DNAJC10
KLF2,MPP1
ILK,UCHL1
ILK,LAD1
ILK,FGF4
BHLHE40,ATP13A3
ZFPM1,CDC20
NR0B1,GM23245
BHLHE40,AQP3
POU5F1,GM25960
RBBP7,GM24451
BTG2,GM4322
HIST1H1D,GM43110
ETS1,MGST3
CREB3L2,PLK1
BTG2,MCM10
PARP1,TDH
RBBP7,NIPSNAP1
CREB3L2,TRH
ETS1,CCNB1
XBP1,GM23268
FOXQ1,CBX7
EPAS1,MIR669B
HIST1H1D,PRSS35
ZFP42,ANXA2
TFEB,MIR466C-2
CREB3,SMARCA2
SUZ12,GM26387
TAX1BP3,GM10698
SOX2,GM10717
FOXQ1,PNRC2
RLIM,NDRG4
DAB2,GM43590
KLF3,EDEM1
KLF6,CLCN2
TCEA3,HSPH1
JARID2,TMED2
ESRRB,PDE4DIP
BMP4,P3H1
TRIM28,LAPTM5
SOX2,TDGF1-PS1
KLF3,GM4617
SUZ12,GM10698
GATA4,GM44380
SMAD7,LOXL2
EPAS1,PNRC2
ELF3,FAM234A
FOXH1,EDA2R
SMAD7,MSC
FOXQ1,EPS8
TRP53,PRPS2
POU5F1,GM24289
DAB2,PDCD4
NFXL1,MIR6357
FOXQ1,POU5F1
CITED2,MIR297A-2
HNF1B,AHCY
ESRRB,GM24289
KLF6,GM17035
XBP1,GM23497
HNF1B,AQP8
ETV5,FST
ZFPM1,PDGFRA
RBPJ,GM27326
