TF,Target
EGR1,ELF3
RBPJ,PLK2
TFEB,IFITM3
KLF4,TTC7
TFEB,GM7993
KLF6,OPLAH
ESRRB,EPHA4
ZFPM1,TSPAN9
TGIF1,ACTG1
SOX17,GM25943
PLSCR1,PARVB
ZFPM1,TAGLN2
GATA4,PROS1
SOX2,F2R
HNF1B,ABCC5
SOX2,DKK1
ETS1,SNORD110
ETS1,STAG3
BNC2,TUBB6
XBP1,GM20721
EPAS1,GM23497
TFEB,NUTF2-PS2
HMGA1,KAT6B
SOX17,GM23632
KLF4,PDE4DIP
NFXL1,LEFTY1
RUNX1,LRPAP1
XBP1,BHLHE40
TET2,GDPD5
ZFP42,TNK2
XBP1,PLTP
KLF2,GM44380
KLF6,TINAGL1
EPAS1,MYO18A
KLF6,HS3ST1
ESRRB,RRBP1
MSC,SNORD33
ZFP42,DAB2
TCF7L2,SLC1A5
ZFPM1,MID1-PS1
MSC,CRELD2
MYCN,GM24289
ZFP42,CCN2
ELF3,PML
FOXQ1,NEU1
BHLHE40,SLC1A3
KLF6,GM22281
KDM5B,MIR669A-1
SOX7,FGFR3
TET1,RPL17-PS10
HMGA1,DNAJC10
ESRRB,TPD52
MSC,RBPMS2
FOXH1,MIR3082
ZBTB10,GM47315
FOXQ1,CD63
BHLHE40,NRG1
ZFP42,HIST1H4N
PLSCR1,PTH1R
FOXH1,COL4A2
RUNX1,HIST1H1A
FOXQ1,IFRD1
FOXH1,FAT1
PLSCR1,GM38009
TET1,GM10719
KLF2,UCP2
TET2,LRRK1
GATA6,TPM4
ZBTB10,GCLM
RUNX1,CKB
FOXH1,CRELD2
HNF1B,HIST1H2AP
EPAS1,GM22620
SOX2,TPX2
KLF6,IDI1
EGR1,MCM6
MYBL2,IDI1
MYCN,GM23988
POU5F1,P4HA2
TFCP2L1,FN1
KLF3,RBBP7
SOX7,GM21860
ELF3,COMMD3
GLMP,GM25316
ELF3,GM23571
MSC,PRPS2
TET1,SLC38A4
GLMP,SERPINE2
ETS1,DAB2
PEG3,LGALS3
NR0B1,CCND1
HMGA1,MRPL23-PS1
ZFP42,ERP29
KLF3,GM43107
HNF1B,SLC38A4
ZFP57,ME1
KLF3,SLC7A6
TFCP2L1,AF357399
GATA6,MIR6928
GATA6,FGF4
TET2,HYOU1
SOX17,RESF1
NFXL1,POU5F1
BNC2,HIST1H2AL
POU5F1,GAS6
KLF4,CDCA7
FOXH1,GM22988
KLF4,STARD10
PLSCR1,CENPV
ELF3,MIR3535
BHLHE40,PDIA4
CREB3L2,RRM2
RBPJ,ZFAS1
ZFP57,ID1
ZFP57,GM44429
NFXL1,ESRRB
FOXQ1,GM22620
TCF7L2,GM24761
FOXQ1,TFEB
XBP1,MIR5117
ELF3,HSP25-PS1
GATA4,DCXR
EPAS1,TSPAN9
MYCN,PLXNB2
TFCP2L1,COBL
TFCP2L1,ZFP989
RBPJ,IL6
KLF3,GM22468
ZFP42,RPS25-PS1
XBP1,GM26426
TET2,UBE2C
HNF1B,PLK2
ETS1,GM8818
NANOG,GM23639
MYCN,ITGAV
HMGA1,GM26073
MYCN,GM25451
FOXQ1,MYBL2
ZFP42,MIR6357
ZFP42,RIF1
ZFP42,ST5
PLSCR1,ZFYVE21
SOX7,GM44364
GATA6,SFMBT2
KLF6,SELENOK
PLSCR1,TMEM9
BHLHE40,GM15899
PEG3,HIST1H3I
ZFPM1,GM37746
BHLHE40,JAM2
MYBL2,PEG3
KLF6,CAR2
ZBTB10,GM24616
HNF1B,SNX1
MSC,SNORD72
MYCN,EHD1
KLF4,GM22411
TET1,GM2399
KDM5B,SLC6A6
ZFP57,HIST1H4K
PLSCR1,ADGRE5
HMGA1,FOLR1
FOXQ1,TENM4
ELF3,GM23600
MYCN,MCM6
PEG3,RPL23A-PS3
SOX17,TCN2
PLSCR1,GATA4
ZFP57,GM15247
ZFP42,GM27743
HNF1B,GM44206
ETV5,DNMT3L
RBPJ,HIST1H1B
TFCP2L1,SNORA43
SOX2,TNK2
TET2,GM10259
PEG3,MT2
RBPJ,AKR1B3
FOXH1,GM10719
XBP1,TYRO3
KLF6,CEMIP
ZBTB10,SNORA17
BNC2,SNORD72
GATA4,MIR669F
RBPJ,PLSCR1
ESRRB,GM10718
ZFP57,GM22571
CREB3,MIR467C
NR0B1,GM23344
SOX17,FLNA
XBP1,GM2399
TCF7L2,ADAM19
GLMP,EED
CREB3L2,ZFP532
TET1,PDE4DIP
TFCP2L1,GM44380
KLF3,GM27390
ZFP42,SNHG5
RUNX1,ZBTB10
BHLHE40,PHC1
GATA6,LRRK1
TFEB,MIR7003
CREB3,FN1
KLF2,SSR3
SOX2,PARVB
FOXQ1,GM17545
RUNX1,PDCD6IP
HNF1B,TGM1
ZBTB10,GM38312
MYCN,ST5
SOX2,GM22677
TET1,HIST1H2AL
NANOG,ADAMTS9
SOX7,NANOG
TFEB,MSMO1
BHLHE40,ARHGEF40
ESRRB,LAD1
MYBL2,RFFL
MSC,GPA33
KLF2,ECHDC2
ZFPM1,HIST1H2AC
ETS1,MSMO1
TFEB,GM26287
KDM5B,TAX1BP3
KLF6,STAG3
HNF1B,HELLS
CREB3,ENAH
TCF7L2,MIR669E
SOX2,GM47315
EPAS1,ZC3H7A
HMGA1,PRXL2A
MYBL2,RRM2
GATA4,GM26431
TCF7L2,GJB5
TFEB,MIR291B
MYBL2,RPS25-PS1
MYCN,FBXO5
GLMP,LRRC8D
TFEB,CDC42SE2
BHLHE40,LY6G6E
EPAS1,GM10012
GATA6,PDIA4
FOXH1,GRB10
ZBTB10,ANP32A
PLSCR1,HIST1H2AK
MSC,GM17545
ZFP57,HMGA1
TCF7L2,RRBP1
ZFP57,MYO1C
KLF6,LOXL2
FOXQ1,GM43110
TFCP2L1,GM24761
KLF3,MIR3070B
CREB3,KRT17
TGIF1,RHOX5
EPAS1,VSIR
TET2,GM4617
FOXQ1,SDC4
SOX2,GM43108
KDM5B,RIF1
FOXQ1,GM15421
RBPJ,CCND3
TGIF1,MKRN1
BNC2,RNPEP
MYBL2,TOP2A
TET2,MIR466B-6
ETV5,ARF4
FOXQ1,GM24044
ETV5,ESRRB
ZBTB10,SLC20A1
KLF6,SNHG12
BHLHE40,SOX7
TCF7L2,GM33051
RBPJ,GM21860
ZFP57,VKORC1
ESRRB,ABHD5
FOXH1,P4HA2
GATA6,GM42429
FOXH1,SLC20A1
XBP1,GM26229
HNF1B,STARD10
TET2,GASK1B
CREB3,GM8355
MYCN,MIR28B
KDM5B,SPOCK1
ZFPM1,GM22925
KLF3,HIST1H2BL
PLSCR1,CCND2
TFEB,GM24761
KLF2,APAF1
SOX7,MIR763
MYCN,SNORA21
PLSCR1,LRRK1
CREB3L2,P4HA2
EGR1,ZFPM1
CREB3,MIR297A-2
TFEB,TXNDC5
PEG3,SLC25A5
ESRRB,COL4A2
NANOG,SNORA17
HNF1B,GM22051
GATA4,RNU73B
NR0B1,GJB5
GATA6,UBQLN2
GATA6,NDRG1
CREB3,GM22353
SOX17,SPSB1
BHLHE40,GM22030
SOX2,DDAH2
ESRRB,ENAH
PEG3,GM27501
KLF4,ZFP989
ZFPM1,CTDSPL
KLF3,FGF10
TFEB,GJB3
FOXH1,GM25316
ZFPM1,GNPDA1
TCF7L2,GM22030
KLF6,MIR5117
KLF3,TTC7
SOX2,TMEM9
ZFPM1,GM43558
TGIF1,GM49369
CREB3,GM25057
ZBTB10,PLXNA1
GATA4,HIST1H4D
NANOG,GM22571
BHLHE40,ZYX
MSC,GM23566
KLF3,DPP4
CREB3,FRMD4A
EPAS1,MSC
MYCN,SNX1
KLF3,RAB11A
BHLHE40,SMAD7
ZFP57,SOCS2
TET2,GM22677
KLF2,2410141K09RIK
XBP1,SEC23A
GATA4,HIST1H2BG
TET1,HIST1H2AC
BHLHE40,GM24339
GATA6,GM25636
KLF4,TDH
EPAS1,MIR669E
RUNX1,RRM2
TFEB,GM15181
SOX17,1810032O08RIK
SOX2,SLC38A4
RBPJ,GM23566
MYBL2,GM14303
KLF4,SNORD33
KLF6,HIST1H2AH
CREB3,GM10108
ZFP57,MIR7005
TET2,TDH
TCF7L2,LDLRAP1
MYCN,DENND2C
CREB3L2,FOXQ1
CREB3,PEG3
TGIF1,RIAN
RUNX1,KLF6
TET1,EDA2R
KLF3,PNRC2
KLF3,GM42413
PLSCR1,RPL15-PS3
ZFP42,SNHG12
TFCP2L1,TTC7
KLF4,GDPD5
KLF4,MIR8094
ESRRB,GM27326
RBPJ,GM23542
ZFP42,GM25193
ZFP42,CTSD
NFXL1,CCN2
TFEB,MIR6357
ZFPM1,ID2
RBPJ,GM6158
EPAS1,GM23245
KLF2,ZFP42
HMGA1,VSIR
ETS1,KLF6
MYBL2,COTL1
ZBTB10,GM22620
XBP1,MIR3091
CREB3,SURF4
KLF6,GHR
MYBL2,PATJ
KLF3,GM15452
SOX17,PLK1
KLF2,TGIF1
EPAS1,CALR
TFEB,ZFP979
TGIF1,KANK3
ETS1,SERPINE2
MSC,GLIPR2
TGIF1,ZFP987
ETV5,GM4322
BNC2,GM28010
ZFP42,ABHD5
RUNX1,AMPD2
MYCN,GM22748
SOX2,COTL1
PEG3,GM10052
RUNX1,SNORA81
TFCP2L1,MT2
GATA6,PCOLCE
RUNX1,GM23245
TGIF1,VANGL1
SOX2,AGPAT4
KLF6,FRRS1
KLF6,UHRF1
TGIF1,CENPV
ETV5,GFPT2
GATA6,GM25500
GLMP,SNORD93
KDM5B,LRRC8D
ETV5,LDLRAP1
ESRRB,SPSB1
PLSCR1,HIST1H2AC
POU5F1,PTH1R
RBPJ,PMM1
KLF2,CTSD
NFXL1,PML
SOX7,ZFPM1
BHLHE40,FOXQ1
RUNX1,P4HA1
BNC2,SNORD110
BHLHE40,FZR1
NFXL1,VILL
TET1,TMED2
NR0B1,GSR
ETS1,WDR45
GATA6,GLMP
CREB3,LAPTM5
MSC,RRAS2
TFEB,RAB11A
TET1,LGMN
SOX17,SNORD93
TFCP2L1,PIK3R1
RBPJ,LIFR
ETV5,MFSD1
TFEB,MSI2
TCF7L2,SNHG12
NR0B1,GM28010
ZBTB10,NSD2
FOXQ1,MIR466B-6
XBP1,GM26491
GATA4,GM26156
TFEB,ADGRE5
KLF3,GM24339
TCF7L2,GM44429
TGIF1,SEMA4C
NR0B1,LRRC8D
TET2,CYP26A1
FOXQ1,CSRP2
TGIF1,SNHG5
MYBL2,2810025M15RIK
ETV5,PTH1R
TET1,BNIP3
TET2,AKT1
GATA4,CENPV
TET2,RPL17-PS10
NANOG,P4HB
KLF3,SLC6A8
BNC2,SLC25A5
PLSCR1,GM8355
SOX7,HSPH1
CREB3L2,NR0B1
HNF1B,GABARAPL2
BNC2,ARHGEF40
ETS1,MIR5121
ETV5,ACP6
ELF3,GM38009
KDM5B,EPS8
KLF4,MDM2
GLMP,SNHG5
SOX17,TDGF1-PS1
ETV5,GM44346
SOX7,IFITM2
KDM5B,TXNIP
ELF3,VKORC1
KLF2,GM24523
BNC2,GM44429
NANOG,LRRC2
NFXL1,MANF
PLSCR1,GM23245
TFCP2L1,GM22914
KLF6,GM5616
HNF1B,RUNX1
BHLHE40,HSPG2
ETS1,SNORA73B
SOX17,IFITM1
CREB3,ECHDC2
ETS1,GM24616
ZFP42,ASAH1
POU5F1,WDR45
BHLHE40,FLNA
SOX2,MIR669K
NANOG,HIST1H4N
PEG3,ABCC5
MYBL2,GM25117
KLF3,FXYD3
TGIF1,GLIPR1
ZFPM1,HSP90AA1
TFCP2L1,MDN1
EGR1,ZBTB10
EPAS1,FRRS1
KLF2,GM27624
KLF3,ABCC5
POU5F1,EIF4A2
TCF7L2,GM24523
ZBTB10,HIRIP3
SOX2,UBALD2
SOX17,MPP1
EGR1,RCC2
RBPJ,MIR466B-6
ZFPM1,CTNNAL1
PLSCR1,LY6E
PLSCR1,MEG3
EGR1,KRT42
POU5F1,ADGRE5
GATA6,RAB3IL1
KDM5B,GM44170
KLF4,CCNB1
ZBTB10,RNU73B
NANOG,JAM2
GATA4,FLNA
SOX7,SNORA62
KLF4,RPS25-PS1
MYBL2,TPM4
GATA4,SNORA73B
NANOG,DKK1
ETV5,IFITM1
CREB3,SNORA17
XBP1,GM26447
PEG3,CTSD
HNF1B,KDELR2
ZFPM1,MAN1A2
SOX7,MIR28B
TCF7L2,GM10169
GATA6,GM43521
GATA6,TGIF1
TET2,GM26109
ETV5,ADGRE5
ZFP42,SNORD70
ETV5,PNRC2
EPAS1,SERPINE2
HNF1B,STAG3
SOX2,KRT8
ZBTB10,CAR2
ESRRB,GAS6
MYBL2,FOXH1
TGIF1,EIF4A-PS4
POU5F1,GM15452
GATA4,AMFR
TCF7L2,TINAGL1
POU5F1,GM43558
KLF6,SPP1
POU5F1,BCAM
KLF4,HNF1B
