TF,Target
EED,B2M
ID2,RNU73B
FOXH1,LRRK1
CCND1,MRPL23-PS1
CITED2,2200002D01RIK
KLF6,AMOTL2
EED,TUBB6
TAX1BP3,GPX3
MCM6,GM24616
AKT1,GM26287
KDM5B,PARVA
KAT2B,PCOLCE
BHLHE40,LAD1
KDM5B,SNORA73A
ZFP42,SDC4
RLIM,LTBP4
ETS1,RRAS2
KLF3,TINAGL1
BMP4,EIF4A-PS4
RBBP7,MIR6357
ZFP42,DENND2C
NR0B1,GM44450
GATA6,ANXA2
BTG2,GM24488
DNMT3L,MAGED1
RBBP7,CUBN
TFCP2L1,TAGLN2
KLF6,GLS
JARID2,MRPL23-PS1
NFXL1,GM22884
PCBD1,MEG3
SOX2,GM26060
UTF1,SH3PXD2B
BHLHE40,GM26287
KLF6,SNORD72
DNMT3B,PDIA6
CBX7,PLXNB2
CCND1,GM23288
PARP1,NR0B1
SMARCA2,MYLPF
FOXH1,MIR295
HSPB1,GM23632
ZFP42,STMN1
DTX1,GM44206
DNMT3B,ECHDC2
MCM6,ZFP987
GATA4,SNORD87
TFCP2L1,SLC20A1
CREB3,FN1
TRP53,GM22166
CITED2,SNORA68
DNMT3B,AKR1B3
HNF1B,BCAT1
KLF2,LAMA5
NFXL1,TRH
HIST1H1D,PMM1
KLF4,ANXA2
MYCN,GM23158
RLIM,IL6
KDM5B,CCNB1
KLF3,FN1
TGIF1,EPS8
HIST1H1D,FAM129B
ETS1,COL27A1
PARP1,MIR3070A
FOXQ1,AF357399
KPNA2,GM24201
EHMT2,GM25960
BCL3,F2R
TFEB,RHPN1
KDM5B,RPL15-PS3
MYBL2,NASP
HNF1B,SLC25A4
RUNX1,IFRD1
ETS1,BMP4
KLF4,GM28900
PML,GM2399
GATA6,SNORA44
DTX1,MID1-PS1
ETS1,AARS
KAT2B,GM43002
KAT2B,NANOG
PCBD1,GM10925
GATA4,PARVA
RLIM,P4HA2
SUZ12,CALM1
PML,HOOK1
KLF6,RBBP7
TFEB,LY6E
HSPB1,GM28900
HIST1H1D,GJB5
ETV5,CD63
HNF1B,HIST1H2BN
PCBD1,GM25680
NFATC2IP,GM23344
ZBTB10,AKR1B8
TFEB,SFMBT2
SMAD7,GM28010
XBP1,TMEM150A
MDM2,STMN1
ETV5,BAG2
MYBL2,GM22468
ZBTB10,CENPF
EED,MIR7003
HIST1H1D,RPL22L1
PHC1,PHLDA3
TCF7L2,RNPEP
TGIF1,HMMR
SOX7,GM42845
BCL3,GM22988
SMARCA2,FNDC3A
RBBP7,GM25193
NFATC2IP,MIR28B
EPAS1,LAMA1
ILK,ITM2B
CREB3,GM28900
ZFPM1,GM10780
DNMT3L,ULK1
RUNX1,ADAM15
SOX2,ZFPM1
HMGA1,PHLDB2
HIST1H1B,MKRN1
BCL3,NDRG4
PARP1,GM25943
ZFPM1,GM25316
TFEB,SUZ12
ILK,P4HB
ZBTB10,GM26287
RBBP7,NANOG
TFCP2L1,ZFP989
KDM5B,GM26109
RUNX1,RIAN
ESRRB,MSMO1
ID1,NUTF2-PS2
ZFP42,NUP62CL
MSC,P3H1
BCL3,KPNA2
GATA6,FRMD4A
TRP53,GM23632
SMAD7,EHMT2
EHMT2,TINAGL1
TCEA3,AGPAT4
CREB3,L1TD1
FOXQ1,AQP3
KPNA2,GM15421
SOX17,BCL3
HSPB1,GM22281
EGR1,GM27326
MDM2,CTBP2
DTX1,ENAH
TAX1BP3,SETX
RBBP7,SH3PXD2B
SOX17,BEX1
EHMT2,P3H1
BCL3,AGPAT4
DNMT3L,GM24523
KAT2B,BNIP3
MYBL2,FGFR3
ETV5,GM22455
EGR1,COLGALT1
SMARCA2,GM26287
KPNA2,FGF10
KLF3,TFRC
BCL3,GM26109
PHC1,CCND1
SMAD7,GASK1B
KLF4,EED
ETV5,2200002D01RIK
HIST1H1D,MGST3
NFXL1,MT2
PCBD1,GM25960
TRIM28,LRRC8D
ESRRB,GM14870
ZFP42,SNORA68
EHMT2,BASP1
TFEB,MOV10
ELF3,CLDN6
NFXL1,MIR7005
ELF3,LAMA5
DAB2,PNP
SMARCA2,MIR7003
ELF3,LGMN
KLF6,MRPL23-PS1
HIST1H1D,UBQLN2
PCBD1,GLIPR1
RBBP7,PDCD4
RBPJ,HIST1H2AN
SOX17,COTL1
NFATC2IP,SHROOM3
FOXQ1,RBBP7
ETV5,RLIM
PHC1,ELF3
KDM5B,GLIPR2
PHC1,TET1
NANOG,TUBB2B
BCL3,CCN2
UTF1,PRDX4
ETS1,KRT17
HIST1H1B,SEMA4C
FOXH1,GM37784
NFATC2IP,GM8355
SOX2,GM24564
HIST1H1B,ODC1
RBBP7,HMGA1
SMARCA2,STXBP2
XBP1,GM24346
PCBD1,PDIA5
PCBD1,GM10039
RUNX1,ATP6V0B
FOXQ1,GM6136
ETV5,COL27A1
ELF3,GM4202
SMAD7,ZFP42
ESRRB,AKR1B8
ETS1,LAMB1
CCND1,MIR1957A
EPAS1,SLC5A11
FOXH1,BNIP3
TGIF1,TCEAL9
EPAS1,TCN2
KLF6,GM23571
PEG3,SPP1
SMARCA2,PLXNA1
TRIM28,RBPMS2
ELF3,FXYD3
TRP53,GM25263
CITED2,GM43002
BHLHE40,UNG
CREB3,HNF1B
PCBD1,ZFP989
ZFP42,TMED2
CREB3L2,HIST1H2BN
TFCP2L1,IL33
DNMT3A,TXNDC5
ETS1,GM27326
DNMT3A,PLXNB2
MYCN,TCEA3
TFEB,CCNE1
XBP1,TET1
EPAS1,GM22411
MYBL2,GM43535
ETS1,RPL15-PS3
RLIM,SPARC
NFATC2IP,HYOU1
KLF2,SNORA74A
MCM6,MDM2
DNMT3B,SOAT1
MDM2,PLXNA1
HIST1H1D,BHLHE40
FOXQ1,SNORA17
TRP53,BCAT1
POU5F1,P3H2
TFCP2L1,RCN3
PML,SNORD33
CBX7,MIR466B-6
MYCN,GNG10
RBPJ,P3H4
PEG3,TET1
ZFP42,MYO7A
SMARCA2,MIR467C
CBX7,DAB2
DTX1,2410141K09RIK
KLF6,GM10052
TFCP2L1,L1TD1
EHMT2,ZFAS1
MYBL2,TUBB2B
POU5F1,KDM5B
AKT1,RESF1
ZBTB10,SNORD87
MCM6,OBSL1
KLF4,FAM25C
DNMT3A,MDM2
SOX2,SELENOW
JARID2,DPPA4
KAT2B,ODC1
JARID2,GM22030
NANOG,SNORA31
HSPB1,D230025D16RIK
PML,GJA1
EHMT2,FST
