TF,Target
SATB1,KCTD20
XRCC6,CPQ
MEF2A,ZBTB38
CTR9,DUSP5
NFATC1,PAQR5
CTR9,RHOF
NFATC1,PECAM1
MYCN,LYN
NFAT5,MAGED1
JUN,SLC7A4
RBL2,PRELID3B
MLLT3,ZFR
CTR9,IFI27L2A
NFAT5,ABHD4
NFAT5,NOTCH1
KLF10,TRPC6
HIST1H1C,EMID1
ZFP467,PLIN2
H1F0,CHRNB1
MED16,S100A6
VEZF1,TCIRG1
H1F0,PIK3CG
MLLT3,VAV3
TSC22D3,TBXA2R
TSC22D3,BTG2
GATA2,IL12A
GATA2,NAPRT
JUN,RMND5B
SLA2,MCTP1
ZBTB38,ABHD17B
NFATC1,EIF1AD
MCM4,MCTP1
EYA2,NGLY1
NFKBIA,DPP4
GATA2,PYGL
KLF10,ADA
ZFP467,PNO1
TAF12,CTR9
MED16,ICAM1
TAF12,HELLS
GATA2,RASSF2
MED16,ADGRG3
CBFB,OCRL
EYA2,CD52
NDN,PSTPIP1
NFAT5,GM20559
MLLT3,GRINA
H1F0,CYP2J6
SLA2,WLS
PML,LCK
SATB1,MTMR6
CTR9,BC035044
IRF7,BCLAF3
PRDM5,MN1
XPC,SH2D5
MEF2A,RASSF2
BTG2,RCSD1
NOTCH1,F2RL3
MEF2A,RNF125
H1F0,PANX1
VEZF1,SLC2A3
NFAT5,KIF23
NFATC1,IER3
CTR9,IL15RA
CTR9,SH2D3C
GATA2,GMFB
NDN,ARHGEF18
CBX7,CAPN5
CBX7,RNF13
KLF10,CD53
ZFP467,ELOVL5
JUN,RHOH
SLA2,CTSF
MCM2,PARP8
MLLT3,FES
NFAT5,MAP2K1
SLA2,CBX7
ZFP467,ABI1
GATA2,SLC2A1
MCM4,MAGED2
MCM4,TBC1D5
MED16,FDFT1
TAF12,QARS
NOTCH1,GBP2
ZBTB38,TAPT1
MLLT3,NFATC1
H1F0,CERS4
NOTCH1,SH2D3C
PML,SLC44A2
CBX7,CD74
PML,PRPS2
NFKBIA,NCEH1
CTR9,DPP4
PRDM5,EPSTI1
SLA2,SESN1
NFATC1,MAN2A2
PML,UBL4A
ZBTB38,CTSF
PRDM5,HEXA
H1F0,IL12A
PRDM5,ZFR
TAF12,WFDC17
MED16,EPB41L4B
MCM4,DUSP6
MEF2A,4930555A03RIK
RBL2,ATP2B4
ARNTL,ARID5A
JUN,TCIRG1
ARNTL,ZFP945
SLA2,SLC2A3
TAF12,RFTN1
MCM5,OTULINL
CTR9,GAA
MCM4,CD274
CBX7,JUN
MCM4,UMPS
MED16,CTLA2B
NFATC1,GMFB
NDN,FLT3
