TF,Target
TLR4,CCL3
HNRNPAB,INSIG1
CLOCK,PARVG
GFI1B,PLIN2
ESR1,DEK
NOTCH1,MAPKAPK3
BTG2,EEPD1
HCFC1,PRC1
TRPS1,TSPAN14
NOTCH1,TMEM106A
IRF8,PLSCR4
LDB2,TRMT6
TSC22D3,MN1
MAPK12,COL4A1
RUNX1T1,UQCRFS1
EYA2,EIF1AD
ELF1,WFDC18
IRF8,UAP1L1
CD7,ARNTL
KLF3,ANXA4
CLOCK,MGST2
DEK,ALDOC
ARNTL,RGL1
RAI14,ATP13A2
KLF3,ITM2A
ESR1,WFDC18
MYC,SLC25A37
ARNTL,ARFGEF2
RUNX2,NUP93
ID1,CCDC112
ARID3B,TXNL1
MYCN,CREG1
RARB,SLC44A2
MAPK12,SARAF
KLF8,UBE2L6
VDR,ATAD2
CTR9,SPNS3
PGR,S100A6
CD7,1600014C10RIK
MECOM,RRAS
EGR1,RMND5B
CLOCK,TMEM173
MEIS1,ATP10A
GFI1B,CASP12
FOXO1,THEMIS2
HNF4A,ZFP248
FOXO1,RPGRIP1
EYA2,TACC3
EPAS1,CDC45
ANKRD6,PPM1G
HLF,GM8113
RAI14,RPGRIP1
TSC22D3,DEK
CD7,ZNRF2
KLF8,CAD
LDB2,KIF21B
MCM2,TSPAN14
MCM6,BDH2
NAP1L3,PLXNA4OS1
LZTS1,SLC2A1
MAPK12,1600014C10RIK
TLE2,PLAC8
E2F8,TGM2
RBL2,MYC
EPAS1,HIST1H1C
NFIA,IL27RA
NAP1L3,ZFP120
HLF,ELANE
MCM4,BACE1
HDAC7,TK1
LZTS1,TOP2A
E2F8,FNDC3A
TRIB3,PRKCQ
APBB1,IGHV11-2
PBX3,BTG2
HNF4A,DNTT
RARB,XPC
TRIB3,CYP4V3
TSC22D3,AURKB
YBX1,1600014C10RIK
EGR1,SLC35B4
NFAT5,TRAF1
KLF8,CTPS
SLA2,TMEM176A
MCM2,FECH
MCM7,UAP1L1
CENPK,HSPA1A
KLF10,DUSP2
ANKRD6,SLC35B4
NFATC1,ZC2HC1A
TEAD2,THBS1
MEIS1,BLVRB
TCF19,SRGAP3
PGR,KIF23
PBX1,NSMF
ZFP111,TOM1L1
TLR4,OCRL
SOX6,1600014C10RIK
ESR1,LRP12
H1F0,ANXA2
MCM2,APOE
MCM4,FILIP1L
MLLT3,IGHV1-77
THRB,BACE1
ZBTB20,CHRNB1
HDAC7,ROBO4
HOXA9,MSMO1
THRB,CD48
RUNX1T1,CORO7
HMGB2,FAM111A
PRDM5,HSPA1A
H1F0,SLC35A5
ZBTB20,SERPINB9
THRB,SAT1
MED16,HIF3A
EPAS1,CD300A
TRIB3,RRAS
ZFP111,YOD1
HNF4A,IGHV1-82
ZFP467,NAGA
TTF2,CTNNAL1
E2F8,CTTN
NR3C2,CCNG2
SATB1,PBX3
XPC,DENND1C
MYC,TMEM268
TTF2,NHP2
BATF2,ESAM
HIST1H1C,CTSC
PHC1,BIRC3
THRB,LACTB
ZBTB38,TMEM14C
GATA2,9030619P08RIK
VEZF1,MAN1A
MCM7,ALDH1A1
PGR,PRKCD
NFE2,GM8113
NFKB1,RASSF2
TLR4,TIPIN
MLLT3,NEAT1
ELL2,ID1
NFKB1,ULK1
EYA2,VEGFC
RAI14,ITGB7
VDR,ITGA5
ZBTB38,GBP8
CLOCK,GM8995
MIS18BP1,CHRNB1
HIST1H1C,GM20342
IRF8,MSH6
XPC,PEAR1
IRF8,IGHV11-2
MECOM,KLF8
HNF4A,PDE4B
RUNX2,SEC14L1
CLOCK,HDAC11
GFI1B,BPIFC
TRIB3,9030619P08RIK
MCM2,ART4
NFKBIA,CD52
MEIS1,IFI27L2A
EYA2,CTSC
PGR,PCNA
IRF6,BIRC3
ELF1,TBC1D5
GATA2,ITPR1
MCM7,UBE2L6
TRIB3,ZFP53
ZKSCAN4,GM1966
ZBTB38,VIPR2
KLF10,NHP2
RUNX1T1,EMCN
HNF4A,NPC1
HDAC11,FDFT1
RARB,IL15RA
KLF6,ATP13A2
PHC1,RASSF5
PBX3,DTL
MYC,GGT5
THRB,TRIM35
LDB2,RGS2
VDR,GIMAP8
CENPK,EIF2S1
NR3C2,TSPAN2
THRB,MPO
PRDM16,EIF2S1
RORC,FRRS1
RPS6KA5,FLT3
HIST1H1C,POLA2
NUPR1,AEBP1
MCM7,NAPSA
HMGB2,CD200R1
MAPK12,FDFT1
MED16,IER2
JUN,ENG
NFATC1,USP42
YBX1,WBP1L
RORC,PDK3
SATB1,GMIP
KLF3,TIMM50
HNRNPAB,ARL11
CBX7,RDH10
SOX18,HSPH1
TRPS1,LAX1
MAPK12,NCF1
XRCC6,ITGAM
MYCN,PRPS2
PBX3,BCLAF3
SOX6,RNF114
NFE2,SLA2
ARNTL,CALHM2
CD7,FAM171A1
LZTS1,HEXA
TCF19,UAP1L1
NFATC1,POLA2
MIS18BP1,RAI14
EYA2,PGRMC1
XPC,ANXA5
FOXO1,BLVRB
XPC,TSPAN2
ELF1,GYPC
TLE2,STRAP
TLR4,NPR2
RORC,MYLK
APBB1,EIF1AD
BTG2,EBI3
RUNX2,CCND3
CBFB,MAPK11
MCM4,ARID3B
ARNTL,ANKRD44
HIF3A,ATP13A2
IKZF1,ZBTB4
SPI1,SYK
MEF2C,ATAD2
EGR1,KCNK5
JUN,GBP8
HNF4A,NFE2
ZFP111,PML
ELF1,SC5D
SLA2,PANX1
EYA2,MAP3K2
SOX18,TRIQK
RAD51,KCTD20
MYC,KCTD12
PRDM16,NUP88
LDB2,AI504432
HCFC1,CCNB2
ZFP111,CREB5
SATB1,FAM169B
HNF4A,ST8SIA4
SLA2,HLF
SPI1,LYN
SPI1,WBP1L
ETS1,PLBD2
TLR4,MEIS1
CTR9,HIF3A
CBFB,ANKRD33B
CBFB,SLC6A6
PA2G4,P2RX1
TEAD2,JAK1
HIF3A,RPGRIP1
HDAC11,CD48
HDAC11,SULT1A1
ZFP467,DEF8
TEAD2,LACTB
MIS18BP1,PTGS1
ELL2,ARL11
LZTS1,CCNG2
HOXA9,QARS
SPI1,CCNG2
KLF8,SPNS3
MCM5,SERPINB6A
TAF12,VEZF1
RARB,SLC12A6
XPC,USP3
ARID3B,TK1
LDB2,IGKC
GATA2,MEIS1
EPAS1,AKNA
CTR9,LYN
MYC,ANXA5
ETS1,MAPKAPK3
MCM6,ITGA6
NFIA,TMEM33
HNF4A,PDZK1IP1
RAI14,C030034L19RIK
MAPK11,AFF3
HNF4A,VEGFC
MCM6,CHRNB1
HIST1H1C,SLFN10-PS
HNF4A,ID1
SATB1,EMCN
MYCN,CLIP3
NFATC1,ENPP5
NDN,C1QBP
EPOR,PAQR5
HIST1H1C,ORC6
NFAT5,LGALS3BP
LDB2,GRAMD1A
HMGB2,TMEM65
VEZF1,RARB
PRDM5,KAZALD1
PRDM5,IL1R1
SPI1,CDK6
XPC,OAT
RPS6KA5,FCHO2
CENPK,SDF2L1
THRB,PWWP3A
HMGB2,SGMS1
PRDM16,GM1966
MIS18BP1,EPSTI1
HOXA9,PRSS57
FOXO1,PA2G4
CD7,THRB
HNF4A,CLOCK
KLF10,AP1S2
MAML3,HAAO
HMGB2,RNF213
RUNX2,LACTB
NDN,PKIB
SPI1,RRAS
RUNX1T1,CDCA3
HIF3A,CD52
SPO11,TES
NAP1L3,SLC29A1
KLF8,ST8SIA4
REL,EPOR
MCM4,EXOC3L
RARB,UPP1
LDB2,PLXNA4OS1
MLLT3,SERPINB1A
HNF4A,RNF38
PHC1,HSPH1
JUN,CCDC112
RORA,ESAM
NFKB1,RAB37
MIS18BP1,OAT
ELL2,FCGRT
IRF7,ZFP120
NR3C2,BC005561
DEK,ICE1
LDB2,SLC43A3
PBX3,CD44
MEF2A,IGKC
SOX6,SEMA3D
XPC,PSEN1
IRF8,CRIP1
GFI1B,PRSS57
TRIB3,PTTG1IP
MIS18BP1,ARHGEF18
PGR,EXOC6B
NFATC1,FRRS1
ID1,RGS2
VEZF1,SLC18A1
GATA2,MILR1
E2F8,MAN1A
CLOCK,RRAS
NFKB1,NKG7
TLR4,TBXAS1
PRDM5,USP3
DACH1,PCMTD1
KLF3,CALCRL
RAD51,CTSG
ELL2,ITSN1
MYC,CTSC
NAP1L3,NUPR1
XPC,YOD1
RPS6KA5,TNPO1
TLE2,PPM1G
MCM6,NLRC3
IKZF1,GCLM
MAML3,DPY19L3
TEAD2,PRKCD
MAPK12,ITGB7
RUNX1T1,CDC45
VDR,IDH1
RUNX2,CST7
MED16,XPC
NUPR1,KIF17
NFE2,GPR160
HOXA9,H2-Q6
MLLT3,EXOC3L
CREB5,TMEM184C
MIS18BP1,PGRMC1
MCM4,PRKAR2B
IRF7,HSD3B7
EGR1,PGRMC1
REL,HACD4
MYCN,UMPS
PHC1,ABLIM1
RUNX1T1,GBP9
KLF6,ZBTB38
CBX7,TRIB3
PHC1,NUPR1
NAP1L3,EBI3
EPAS1,HSPA1A
ARNTL,BACE1
APBB1,UPP1
MCM7,TSPAN2
HDAC11,TTC39B
KLF8,TOM1L1
MCM2,FAM76B
HNF4A,IL7R
EPOR,TTF2
ZBTB38,KLF6
ZBTB20,CCL3
TLR4,SLC7A4
NR3C2,PHKB
IRF7,PRIM2
SPI1,PDE12
HLF,TPM4
GATA2,MYO5C
LZTS1,TEAD2
HNRNPAB,PARD3B
ETS1,GCLM
NFATC1,MYCN
RUNX1T1,RSL1
PRDM5,1700017B05RIK
ZKSCAN4,GPR171
KLF3,CSF2RB
RUNX2,GRAMD1A
MYCN,GIMAP5
PML,ERP29
E2F8,FILIP1L
MYCN,PRIM2
CENPK,NKG7
PBX1,PAFAH1B2
TEAD2,DENND1C
ZBTB20,ENPP5
NR3C2,CSAD
DEK,SYTL4
NFAT5,CLIP3
HCFC1,CD7
RUNX1T1,GM19590
EYA2,WFDC18
HIST1H1C,PDIA4
VEZF1,OASL1
ANKRD6,CPNE8
IRF6,ETS1
NFATC1,DPP4
ESR1,IDH1
MYCN,RCSD1
IKZF1,LGALS9
CTR9,MCM2
PRDM5,CALHM2
ARNTL,THRB
SLA2,ALDH1A1
MLLT3,TMEM33
NFAT5,PHC1
TRPS1,CERS5
EYA2,B4GALT6
RBL2,ABCG2
MCM2,EIF3A
MCM6,EPSTI1
IRF6,PEAR1
MCM7,USP3
MYCN,OBSCN
NR3C2,NAIP5
IRF8,ABCG3
EGR1,AKAP8L
XRCC6,TRMT6
EYA2,GM37124
PA2G4,WDSUB1
EYA2,IFI27
GATA2,PIK3CG
TSC22D3,MYO5A
ESR1,SEPT6
XRCC6,FAAH
RARB,MGST2
ELF1,RFTN1
BATF2,RMND5A
YBX1,GM28875
NFKB1,IER3
RUNX2,TBC1D5
ELF1,ZFR
TRPS1,RAG2
RAD51,MKI67
NAP1L3,SDF2L1
MAML3,PA2G4
EGR1,CDCA5
MYC,IL7R
MYC,DOCK11
MED16,TGM2
MCM4,SELENOP
CENPK,MYO5A
RAD51,LPCAT2
SLA2,DUT
GATA2,PAG1
ARID3B,SERPINB9
ELF1,MBNL3
CREB5,CYP51
MEF2A,PRIM2
APBB1,SLC28A2
HDAC7,KLF10
TTF2,ATP8B4
PA2G4,KIF20B
TAF12,GM8995
CREB5,DENND2D
PRDM5,CKAP2L
NAP1L3,SQOR
