TF,Target
VEZF1,RGS2
ZFP467,SAT1
ZBTB38,GMFB
PRDM5,VAV3
HIST1H1C,ABCG2
NDN,GYPC
HIST1H1C,HSD3B7
CTR9,DENND2D
MCM5,KCTD12
H1F0,RP2
MLLT3,SQLE
RBL2,H2-AA
NDN,PNO1
NFATC1,NDEL1
MYCN,TIMM50
MED16,HACD4
PML,INPP1
MCM2,SERPINA3G
TSC22D3,MAN2A2
IRF7,9530082P21RIK
PML,PRKAR2B
HIST1H1C,PYGL
MCM5,ICE1
SATB1,NAPRT
NDN,BTK
NDN,FLNA
JUN,MAGED1
SLA2,HSD3B7
CTR9,ELOVL5
ZFP467,NT5C3
MEF2A,H1F0
MYCN,BC005561
MYCN,ITSN1
ZFP467,AP1G2
MED16,TSPAN14
MYCN,PECAM1
MCM2,LRRC8C
NDN,ABLIM1
PML,NFKBIA
MLLT3,MAN2A2
EYA2,GIMAP5
BTG2,KCTD20
KLF10,MED16
ARNTL,IRGM2
VEZF1,MINDY1
NFATC1,STXBP4
VEZF1,EPB41L4B
RBL2,ZBTB38
MCM5,GRINA
HIST1H1C,SESN1
EYA2,NUP88
CTR9,ZFP945
ARNTL,DUSP6
RBL2,RNASE6
SLA2,PAQR5
IRF7,BIRC3
CTR9,DUSP2
SLA2,FUT8
MCM4,SLC7A4
MCM2,FES
ZBTB38,NFAT5
TSC22D3,SLFN8
ZFP467,RNF125
ZBTB38,FRRS1
NOTCH1,PYGM
TSC22D3,USP11
PML,SLC44A2
H1F0,SNAP23
MEF2A,9530082P21RIK
MCM2,IGTP
ARNTL,CCNG2
XPC,XRCC6
RBL2,ALDOC
NFATC1,STARD4
NDN,2610307P16RIK
PRDM5,ARNTL
ZBTB38,PLIN3
NFAT5,CTSF
NDN,RHOF
MED16,CBX7
NDN,ITPK1
SATB1,SMPDL3A
ZFP467,ATP13A2
PML,DEF8
MCM5,EMID1
XPC,CD69
NFAT5,TRIM59
RBL2,RMND5B
MCM4,HEATR5A
IRF7,RHOH
MED16,KCNK5
MCM5,GM4951
TAF12,ITGA6
MCM5,MAP2K1
RBL2,PSEN1
MLLT3,TRIM35
ZBTB38,CEP70
XRCC6,2610307P16RIK
MLLT3,ABCD3
PML,AC174780.1
CTR9,CHRNB1
MLLT3,SELL
XRCC6,ITPK1
MEF2A,TESPA1
PML,SSH3
CTR9,BC035044
RBL2,ARHGEF3
RBL2,TSC22D3
SLA2,ZBTB38
HIST1H1C,USP3
IRF7,PWWP3A
MED16,TRPC6
XPC,RELT
ZFP467,FADS1
EYA2,ATP13A2
MYCN,MAP4K2
