TF,Target
HDAC11,ARHGAP18
CTR9,HOXA9
TEAD2,PLA2G4A
NFAT5,CD274
HDAC7,FGD2
CLOCK,MYC
CBX7,GPRASP1
EPAS1,BCL2
TTF2,MYCN
TAF12,AFF3
CREB5,GBP2
HMGB2,PROCR
HDAC7,UBE2L6
RUNX2,IL15
KLF3,MGAT1
IRF7,CASP12
LDB2,PPIC
PBX3,ANXA2
HMGB2,IL15RA
ARID3B,CTSF
IRF8,PYGL
AEBP1,PA2G4
FOXO1,IL15
MEF2C,TBC1D5
EPAS1,IL15
PML,ZFP945
EGR1,TNFRSF13B
PA2G4,MEF2A
HMGB2,SLC35B4
DACH1,ID1
MEF2A,PRKAR2B
REL,ALDOC
ZKSCAN4,LONP2
H1F0,ARHGAP27
MCM5,REL
EYA2,HEATR5A
HOXA9,TBXAS1
MCM6,MEIS1
MECOM,MCM4
LZTS1,TLE2
KLF6,1700017B05RIK
PBX3,RFTN1
CTR9,DOK2
MLLT3,DUSP1
HOXA9,SLC6A6
CREB5,BC035044
MAPK12,ANKRD6
NFKBIA,MAP4K2
SOX6,FUT8
RORC,CNP
SOX18,TPM4
ID1,TFEC
AEBP1,MYO5A
APBB1,PLPPR3
NFIA,TEAD2
NUPR1,FUT7
KLF6,DUSP1
DACH1,CHRNB1
MAPK12,GEM
NFIA,NKG7
ANKRD6,MCM2
ZKSCAN4,THRB
MEF2C,NAP1L3
IRF8,INPP1
VDR,CCL3
ELF1,NAP1L3
CD7,MCM4
CD7,ARID3B
NFAT5,CD52
RUNX2,DEF8
MCM7,IIGP1
SMARCA2,TRPS1
CENPK,CREB5
XRCC6,B4GALT4
HIST1H1C,SELENBP1
RPS6KA5,TIE1
MCM6,SH2D5
XPC,PRODH
MEIS1,RPA2
MEF2A,EMCN
KLF10,RELT
PBX3,CEP70
RAI14,ELOVL5
AEBP1,PDK3
DEK,DEF8
MAPK12,RAB37
HIST1H1C,APOE
ARID3B,RAD51
ARNTL,NAPRT
CD7,PSEN1
RBL2,MSMO1
TRIB3,CASP12
XRCC6,EZR
TLR4,ARHGEF18
NUPR1,COPB1
MEF2C,RORA
HMGB2,VAV1
TAF12,RBL2
SOX18,TINAGL1
FOXO1,CPQ
TLR4,SSH3
RPS6KA5,NGLY1
NFKBIA,HK3
NFKBIA,ITGB7
RAD51,F11R
RAD51,MEF2C
PHC1,MCM4
MCM7,RCN2
DACH1,FCHO2
MCM6,TESPA1
MLLT3,IRGM2
MECOM,TFEC
VEZF1,SERPINA3G
SLA2,RARB
XRCC6,KRT18
PML,FGFR1OP
HDAC11,DOCK10
REL,LCP2
THRB,LDHB
MCM4,IGHM
PHC1,SHISA8
NDN,ARHGAP15
E2F8,MORC3
CBFB,NAIP5
VEZF1,DCAF4
NOTCH1,NFAM1
MAPK11,GRINA
FOXO1,GPRASP1
MYCN,DUSP2
CENPK,PRKCQ
SLA2,EPOR
MAPK11,TOP3B
PA2G4,FUT7
ZFP467,LCK
MCM7,IGTP
HMGB2,PRDM5
SMARCA2,KRT18
MCM7,RNF141
RORC,TSC22D3
NAP1L3,ADA
ELL2,MYO1F
HNRNPAB,NDEL1
MYCN,ULK1
NOTCH1,FES
KLF6,NR3C2
HIST1H1C,TRPS1
MAPK12,IKZF1
PBX1,PARP8
HMGB2,MPRIP
NAP1L3,1700017B05RIK
PGR,GEM
HIF3A,DEK
H1F0,NUP88
KLF3,C030034L19RIK
ARNTL,KLF6
PHC1,VMAC
EPOR,ZMIZ1
SOX18,TRPV2
RBL2,RELT
PGR,PGRMC1
NUPR1,ARHGAP27
HDAC11,AKNA
SLA2,SMPDL3A
EGR1,MED16
RAI14,BACE1
PRDM5,ART4
MCM6,EMCN
PRDM16,ZFP157
PML,UMPS
TCF19,TRIM35
EPOR,ACOX1
LZTS1,B4GALT4
RARB,SC5D
TLR4,SNAP47
FOXO1,EPSTI1
RAD51,ARL8B
HOXA9,CCNG2
H1F0,HIF3A
KLF6,F11R
NOTCH1,MYCN
ELL2,LIG1
RUNX2,TNPO1
ZBTB38,SUGP2
HNF4A,AKAP8L
PRDM16,PLIN2
MCM4,FNDC3A
H1F0,HMGB2
MIS18BP1,ABI1
ETS1,FES
EPOR,SLFN8
PBX1,PRDM5
RUNX1T1,SMPDL3A
ZBTB20,ELOVL6
KLF3,WLS
MCM2,IL27RA
PHC1,TGM2
NR3C2,MAML3
ARNTL,PA2G4
TEAD2,MYO5A
SPO11,MUC13
RBL2,BTG2
IRF7,PGLYRP2
MEF2C,INKA1
RARB,SMIM15
TTF2,ZFP367
KLF10,ATP13A2
YBX1,AEBP1
MCM6,EYA2
MAPK11,IGHM
MCM5,PLA2G4A
YBX1,NUPR1
AEBP1,KRT18
EPAS1,ANKRD6
TRPS1,VLDLR
IRF8,PAFAH2
KLF8,SSH3
RARB,TYROBP
RBL2,PPT1
MCM2,QARS
RPS6KA5,POR
NFKB1,SPI1
MAPK11,CCNG2
FOXO1,DACH1
HNRNPAB,ALDOC
ELL2,CDK19
IRF7,SLC12A6
NR3C2,MUC13
IRF6,CDT1
DEK,RP2
HNF4A,CBFB
HDAC7,4833439L19RIK
MCM2,CD52
NDN,MAN2A2
BATF2,KLF3
EPAS1,CBX7
AEBP1,CD93
NUPR1,SPNS3
NDN,FUCA2
PHC1,HJURP
MLLT3,STK10
