TF,Target
NFATC1,MC5R
HNF4A,CD53
ZBTB4,SYK
HOXA9,APLP2
IRF6,BDH2
TRPS1,SNAP23
MYC,PRNP
NFATC1,LAG3
VDR,RAD51
MEF2C,THBS1
KLF6,ZFP157
SP100,IRF7
MECOM,CDKN1C
GFI1B,NFKB1
ZBTB4,CKAP5
MYC,FCHO2
TFEC,CYP2J6
NFAT5,H1F0
MYC,RAI14
SATB1,PARP8
PRDM16,ASNS
HLF,SLC37A1
PRDM16,GM4759
MYC,CD300A
MEF2A,ANXA5
DACH1,KLF6
SATB1,H2AFX
KLF3,NSMF
RUNX2,ARHGEF3
YBX3,IL15RA
CLOCK,FHL1
MYC,TOP2A
MYC,EFTUD2
BAZ2B,TMEM173
BAZ2B,TOP2A
BAZ2B,RTP4
IRF8,TK1
MECOM,CSAD
AKNA,ZC2HC1A
SATB1,LY9
HNF4A,TPM4
PGR,SARAF
AKAP8L,MYO1F
HOXA9,PCLAF
JUN,GALM
ESR1,WDSUB1
KLF10,FLT3
DACH1,IL17RA
NFAT5,EPSTI1
ZBTB38,NCEH1
VDR,GNG11
NFATC1,ZBTB4
SATB1,SLC35D3
MYCN,DPP4
SP100,MPO
ZBTB4,H2-AA
HLF,DENND1C
IRF6,AMPD2
SPI1,PHF5A
HNF4A,FCGRT
IKZF1,CENPA
PGR,NT5C3
AKAP8L,IGHV1-81
CENPA,RTP4
SP100,UBASH3A
VDR,BIRC3
CLOCK,RMND5B
MEF2C,PITPNC1
ZFP62,GM8995
CLOCK,GIMAP1OS
ZBTB4,TOP3B
MEF2C,MCM7
NFKB1,LGALS3BP
EGR1,CSF3R
IRF8,HNRNPLL
ZBTB38,ENPP4
PGR,ICAM1
PRDM16,VAV3
CLOCK,MYOF
ELF1,CDK18
VDR,PGM2L1
ZBTB4,ALS2CL
HNF4A,CDC45
AKAP8L,ZC2HC1A
MYCN,CDCA3
IRF7,GM1966
ETS1,EPB41L3
HLF,IKZF1
REL,ARL6IP6
IRF8,PLA2G4A
KLF10,ARHGEF3
AKAP8L,SDC1
ZFP62,SGCE
ZBTB4,SAT1
GFI1B,GP9
AKNA,CD69
RORA,KCNK5
KLF6,GM4759
VEZF1,CDK6
IKZF1,NFKB1
ZBTB4,PDE12
KLF3,MGST2
JUN,FAM169B
TFEC,ITPK1
PBX1,GBP4
SPI1,ZFP53
MEF2C,SHISA8
BAZ2B,ADSSL1
MYCN,SEPT6
NFATC1,GBP7
GFI1B,B230219D22RIK
HNF4A,PTTG1IP
PBX1,CSF3R
ZBTB4,PBX1
ARNTL,AI504432
ARNTL,TBXAS1
CLOCK,PDGFRB
EGR1,TMEM246
GFI1B,INSL6
NFAT5,CTSL
DACH1,GATA2
IRF7,N4BP3
AKNA,UBASH3A
ZFP62,PHC1
JUN,GBP9
TFEC,CCNA2
MEF2C,DENND1C
PA2G4,PLD4
NFAT5,THTPA
IRF6,STAM2
EGR1,MGAT1
CENPA,FAM76B
YBX3,VEZF1
PA2G4,MSMO1
ETS1,SEPT6
JUN,PRKCH
TRPS1,RNF141
ELF1,RPTOR
REL,SLC12A2
ZFP62,RASA4
DACH1,HNMT
TFEC,MGAT1
DACH1,C1QTNF12
KLF10,MMRN1
HOXA9,FRRS1
ETS1,VDR
PGR,PHF5A
MYC,ZDHHC17
SPI1,MPL
NFKB1,BTG2
GATA2,IL18BP
KLF3,SELENBP1
HOXA9,ZFP62
SP100,AP1S2
HOXA9,TEX10
CENPA,HELLS
HLF,CDCA8
NFKB1,ZFP53
MEF2A,PLEK
PRDM5,HID1
PBX1,PLBD2
DACH1,PNO1
GATA2,4833439L19RIK
CENPA,DPP4
AKNA,UBA7
ETS1,NFKBIA
SPI1,HAAO
RORA,CCL3
NFATC1,GRINA
JUN,GM7694
VDR,MAPKAPK3
SP100,SCARF1
ZFP62,PDIA4
GATA2,GPR65
MEF2A,FCGRT
VDR,DENND2D
HLF,SLC7A4
HNF4A,IL27RA
IRF8,MAN2A2
VEZF1,MAPKAPK3
ESR1,MGAT1
IRF8,TRPV2
RUNX2,CDCA4
ETS1,N4BP3
VEZF1,TMEM184C
CENPA,TOP3B
CLOCK,DOK2
VEZF1,ZFR
RUNX2,SSTR2
REL,ARL11
PGR,CD300A
NFATC1,ACOX1
NFAT5,PLD4
SP100,IGHV1-77
ELF1,PPP1R15A
SP100,ARHGAP15
NFKB1,VLDLR
CLOCK,4833439L19RIK
MYC,SEPT8
MECOM,TXNRD3
PBX1,COL4A1
MYCN,RGL1
CENPA,BTG2
CLOCK,LDLR
SATB1,TIPIN
DACH1,CLOCK
ARID5A,CNN3
ARNTL,MCM7
MECOM,GM7694
MYCN,SSH2
ZFP62,MYO1F
CENPA,OASL2
RUNX2,CAPN5
KLF3,VDR
AKNA,TGFBR1
ARNTL,TIMM50
IRF8,BC035044
SATB1,KLF6
GFI1B,IL4RA
VDR,H2AFX
CENPA,RORA
ARID5A,GPSM1
TRPS1,CAD
PRDM5,MCM6
JUN,PRMT2
EGR1,ART4
ELF1,HAT1
GFI1B,KCNK5
TFEC,CYC1
REL,EMID1
CLOCK,TGTP1
ETS1,CTSB
REL,RAD51
MYCN,RBBP9
ZBTB4,IDH1
VDR,DNTT
TRPS1,UBASH3A
IRF8,DUT
PRDM16,F2R
GATA2,SMPDL3A
ZFP62,CD33
DACH1,ESAM
PBX1,NCKAP1L
JUN,TRPS1
PRDM5,HSPA1A
CENPA,GYPC
ELF1,INSL6
SATB1,DCAF4
IKZF1,RPS6KA5
ZBTB20,TOP3B
KLF3,GRINA
IKZF1,SNX30
GATA2,NUP88
EGR1,SYTL4
RUNX2,NT5C3
GATA2,OASL1
SATB1,WDSUB1
TFEC,NSMF
ARID5A,PLPPR3
ZBTB4,GPRASP2
VDR,SPTBN1
NFKB1,SYNRG
IRF6,GIMAP5
IRF8,PGM1
IRF8,S100A6
KLF10,CD34
EGR1,XRCC6
HNF4A,CCL4
NFKB1,FDFT1
AKAP8L,FAM76B
IRF6,ME2
BAZ2B,MYO1G
MYCN,D930016D06RIK
VDR,TSPAN3
GATA2,ASB13
GFI1B,HEATR5A
MEF2C,SNX30
SP100,ECT2
MEF2C,CD63-PS
IRF8,CCND3
NFKB1,FADS1
YBX3,SEMA3D
PBX1,2810468N07RIK
KLF3,ST8SIA4
YBX3,CTNNAL1
MEF2C,RBPMS
VEZF1,CD69
EGR1,RASA4
IRF8,GIMAP8
ELF1,UBASH3A
KLF3,ELF1
IKZF1,KCNK5
RORA,TOMM22
VDR,RAB38
NFAT5,CDKN1C
MECOM,IL27RA
ZBTB38,BTG2
ZBTB20,IL17RE
NFATC1,TK1
NFAT5,SLC2A1
NFKB1,DUSP1
AKAP8L,YBX3
MEF2A,EIF3A
IKZF1,SLA2
KLF6,VAV1
RUNX2,ARL8B
KLF10,SZT2
GATA2,TYROBP
IKZF1,GBP7
SPI1,DNAJC9
TRPS1,ZNRF2
MECOM,HDAC7
MEF2A,CYP4V3
NFATC1,ARRDC4
VDR,NEAT1
HOXA9,TCF19
NFATC1,FAM169B
NFKB1,VDR
MECOM,EIF2S1
AKAP8L,VAV3
CLOCK,GORASP1
RORA,ZFP945
PBX1,SNN
EGR1,F2RL3
ZBTB38,PDE7A
SPI1,UNC119B
IRF8,TCF19
IKZF1,GALM
PRDM16,CD74
KLF3,ZFP157
IRF8,SEC14L1
NFAT5,DUSP2
IRF8,PAFAH2
CLOCK,TMEM65
HLF,MAML2
GATA2,DEF8
HNF4A,TMEM147
RORA,ANXA2
ESR1,ANXA4
NFKB1,ARL11
MYCN,ABHD4
CENPA,SERPINF1
PBX1,KLF10
MYCN,GGT5
ELF1,MCM4
AKAP8L,GORASP1
EGR1,TMEM184C
KLF6,APLP2
PRDM16,CENPK
PA2G4,SLC35A5
KLF6,SLC9A9
PGR,PLPP2
ELF1,CTSS
PA2G4,ITPR1
PRDM5,NPR2
PBX1,POLD1
AKNA,SELPLG
IRF6,TNFRSF13B
VEZF1,TIMM50
IKZF1,TMEM206
GFI1B,ZFP367
MEF2C,ITGAL
MEF2A,IRF8
AKNA,XRCC6
CENPA,ARHGAP27
DACH1,TMEM173
MYCN,PLCG2
TRPS1,AMPD2
HOXA9,4930555A03RIK
AKAP8L,ECT2
IRF7,LRRC8C
VEZF1,RAB27B
SATB1,IGFBP4
PBX1,CTPS
VDR,ABCG3
IRF8,AFF3
