TF,Target
KLF8,TBC1D5
TAF12,UPP1
DEK,SLC2A1
ZBTB20,CBX7
XPC,PLPP2
RAD51,TFPI
ARID3B,PA2G4
BTG2,MEF2A
HDAC7,STK10
IRF6,LHCGR
MYC,ITGB2
MLLT3,FAM111A
ANKRD6,S100A6
PRDM5,GBP2
THRB,SERPINB6A
MCM5,FAM110C
SPO11,ERP29
MECOM,OAT
CBX7,OTULINL
MAPK11,ASNS
KLF6,PLCG2
RAI14,SLC6A6
EPOR,PEA15A
JUN,PIK3IP1
KLF3,GGT5
TCF19,PKIB
RBL2,KRT18
EPAS1,IFI213
TRPS1,RGS2
HMGB2,FAM169B
MIS18BP1,MCM7
GATA2,GBP5
SLA2,2810468N07RIK
EPOR,GSTT1
NFAT5,UNC119B
ELF1,SLC18A1
PBX1,SPO11
HIF3A,EGR1
NDN,EPOR
NFKB1,ABHD4
RAD51,PROCR
TCF19,BCL2
LZTS1,ARPP21
HNF4A,CIPC
LZTS1,YOD1
TSC22D3,RAD51
CBX7,GIMAP5
TLR4,MAMDC2
ANKRD6,F2RL3
SPO11,TOM1L1
MYC,MAST3
ZFP467,GCNT1
CBFB,PDGFRB
RUNX2,PRKCH
HDAC7,PTP4A3
MCM6,PLBD2
HIST1H1C,SLCO3A1
RUNX1T1,PRDM16
EGR1,PTTG1IP
BATF2,FAM111A
RORA,APP
MAPK11,C1RL
TTF2,YOD1
TRPS1,BPIFC
GATA2,ELOVL5
SATB1,GMFB
MECOM,MYO1F
ZBTB38,TAPT1
YBX1,RCC1
KLF6,SERPINA3F
PRDM16,ARFGEF2
HNRNPAB,FNDC3A
PHC1,BTG2
TSC22D3,SFXN1
MYC,FILIP1L
ID1,MYO5C
MYC,PRDM5
RORA,PHKB
CTR9,POMGNT2
CENPK,MSH6
HNF4A,ARHGAP18
HCFC1,TTF2
NFIA,CORO2B
KLF3,DIP2B
ESR1,RASAL3
NR3C2,SPI1
EPAS1,KLHL4
MCM6,CTPS
HMGB2,TGTP2
HLF,ID1
RBL2,AKAP8L
MCM2,MCTP1
MEF2C,RPS6KA5
ZBTB20,ASAH1
ETS1,CSAD
TSC22D3,CORO2B
XRCC6,GNG11
PRDM16,ANO10
MEF2C,CDT1
SPI1,MAML3
HMGB2,PAG1
NOTCH1,ABHD4
RUNX1T1,SLC26A11
NDN,SEPT6
PRDM16,RIPOR2
RUNX2,GM10384
NFKBIA,HJURP
SATB1,VLDLR
MEF2C,FGGY
MEF2A,ZFP467
NFE2,ALDH1A1
CENPK,KCTD12
PGR,ALS2CL
ZBTB20,SELL
KLF3,LACTB
MYC,MCM7
REL,SSH2
KLF10,MAMDC2
YBX1,STARD4
REL,DHFR
ELF1,PRKCD
THRB,FCHO2
CBX7,QARS
E2F8,TPM4
E2F8,NAV1
ARNTL,ENPP4
XPC,CDC7
MEF2C,SLC31A2
CD7,INPP5K
ID1,TXNRD3
HIF3A,NASP
TAF12,CYP2J6
SPO11,TCF19
NOTCH1,GM1966
ARNTL,GIMAP1
MCM4,AZIN1
TCF19,CAD
ARID3B,DUSP6
NAP1L3,MYLK
PBX1,PLD4
HMGB2,ARID3B
NFE2,FLT3
ZBTB20,NUPR1
NFATC1,SYTL4
NFATC1,SLC43A3
TSC22D3,VEZF1
DACH1,TXNRD3
PBX3,FSTL1
TLE2,TMEM33
BTG2,LY9
CD7,PPP1R9A
PRDM5,CCDC112
MED16,UBE2L6
REL,RPTOR
TTF2,NDN
ANKRD6,CSF3R
CD7,INSIG1
DEK,LHCGR
SOX6,SEMA3D
ZFP111,TXN2
NAP1L3,HSD3B7
ELF1,NCAPH
RAD51,MINDY1
NUPR1,HASPIN
NFKB1,DOK2
PBX1,HDGFL3
CBFB,STRAP
PBX3,KLF10
HCFC1,PAFAH2
ZBTB20,SLA
MAML3,ECE1
MCM5,PPIC
HLF,TMEM106A
MIS18BP1,STRAP
CTR9,ADGRL4
MYC,EIF2S1
HNRNPAB,SMIM15
XPC,TEC
TEAD2,PGM1
VDR,WFDC18
RORA,CD63-PS
CLOCK,GPRASP2
TTF2,SLCO3A1
TLE2,PCLAF
RORA,PDE4B
NUPR1,ZFP248
MCM4,GP9
HOXA9,RASSF2
IRF8,UBL4A
CENPK,OCRL
ESR1,ZKSCAN4
RBL2,RIPOR2
ZFP111,MINDY1
FOXO1,PAG1
SLA2,UBA7
ID1,HDAC7
MYCN,PRMT2
HDAC11,MGAT1
HDAC7,TSC22D3
SPI1,IIGP1
JUN,F2R
IRF8,TSPAN14
VEZF1,ZBTB20
ETS1,MAML2
TAF12,IGHV1-81
ID1,RUNX1T1
NR3C2,DCAF4
NFATC1,ARHGEF39
ID1,TOM1L1
TEAD2,RNF38
ID1,MED16
MCM2,LAX1
PML,ENG
NR3C2,ARL8B
IRF7,HEATR5A
LDB2,FNDC3A
HIF3A,AZIN1
EYA2,STRAP
MIS18BP1,TNFAIP2
ARID3B,NUBP2
TTF2,MAN1A
PGR,SQLE
NR3C2,ZMIZ1
EYA2,OSGIN1
CLOCK,MAP4K2
IRF6,RASAL3
NFE2,KDM7A
E2F8,ARID5A
XRCC6,MTMR6
NDN,TOMM70A
ARID3B,IER2
NFIA,MYO5A
ELL2,ST8SIA4
HLF,HNMT
NAP1L3,NUBP2
ARNTL,PBX1
HIST1H1C,LY9
RARB,SLC22A3
KLF8,JPT1
LZTS1,E430014B02RIK
SOX18,PTGS1
TAF12,SERPINF1
MIS18BP1,SOCS2
SMARCA2,GCLM
CENPK,RNF114
NDN,CTSB
LDB2,IMPACT
TTF2,MIS18BP1
TLE2,CDC45
MYCN,GMIP
RAI14,GP9
TEAD2,ELOVL6
PRDM5,MICAL1
ETS1,TIMM50
ZFP111,LYZ2
HIF3A,IRGM2
MEF2C,DEK
MECOM,CCND3
PBX3,SERPINB6A
SOX6,POLA2
NFKB1,ACSS1
HIST1H1C,RHOF
MAPK12,PRKCD
PRDM16,NFAM1
IRF7,ATAD2
SMARCA2,ZKSCAN4
AEBP1,NEAT1
EYA2,RUNX2
FOXO1,DUSP2
RORA,DEK
HDAC7,TM6SF1
EGR1,FLT3
TCF19,PSEN1
TCF19,ELMO3
TLR4,PRDM16
HIST1H1C,CDCA5
ELF1,TIPIN
FOXO1,SUGP2
ZKSCAN4,CD9
APBB1,HSD3B7
HIST1H1C,MAN1A
HIST1H1C,OCRL
AEBP1,PTP4A3
PBX3,GPR171
MAPK11,FUT8
CTR9,TLR7
HCFC1,TMEM206
SPI1,FGFR1OP
NFIA,ENG
KLF8,TEX10
LZTS1,RAMP1
LDB2,GBP9
CLOCK,SYDE1
REL,EEPD1
GFI1B,B4GALT4
TRPS1,SLC2A1
RARB,SLC28A2
RORA,HDAC7
CD7,PLXNA4OS1
ZKSCAN4,FDFT1
MYC,RPTOR
KLF8,SSH2
E2F8,ARHGEF39
VDR,FKBP9
CREB5,GATA2
MIS18BP1,IRAK3
TCF19,GATA2
ARID3B,GUCY1A1
RAD51,CD7
LDB2,GIMAP1
EPOR,PGRMC1
CTR9,PDGFRB
TLE2,HDAC7
TEAD2,GYPC
NUPR1,LRRC8C
TTF2,RAMP1
SATB1,MAGED2
PRDM5,TNS2
SLA2,SLC25A53
PHC1,CCDC112
PBX3,STAM2
HIST1H1C,BCLAF3
PML,BLNK
IRF6,MAP4K2
LZTS1,P2RX1
MCM2,CD93
CBFB,PYGM
E2F8,PITPNC1
HLF,CHST11
EPAS1,SELENBP1
MIS18BP1,OAT
MEIS1,STAM2
TRIB3,CSGALNACT1
TTF2,CASTOR1
E2F8,SMPDL3A
MCM6,ARHGEF3
HNRNPAB,RORA
LDB2,NFKBIA
GATA2,CD200R1
CTR9,TFEC
E2F8,MAML2
AEBP1,NCF1
TAF12,RAG2
CD7,AFF3
MAPK12,MAP3K2
PA2G4,KLF6
THRB,ADORA2A
KLF6,2810468N07RIK
IRF8,TOMM22
KLF8,ARHGAP18
TLR4,E2F8
RAD51,AC174780.1
MCM6,VEGFC
ANKRD6,GM4951
ARID3B,CCNA2
LZTS1,PA2G4
ZKSCAN4,B230219D22RIK
NAP1L3,EPB41L4B
ARID3B,PLXNC1
CREB5,TMEM176A
GFI1B,BATF2
MAPK11,PHF8
SPO11,DUSP5
MCM4,LYN
ZFP111,SLC37A1
VDR,PREP
ZBTB38,KPNA3
MCM6,MYO5C
SOX6,LONP2
NFKBIA,CCRL2
HCFC1,RUBCNL
NAP1L3,SLC37A1
RARB,EIF3G
ANKRD6,KIF23
VEZF1,NAGA
MCM5,RPTOR
NFAT5,HLF
NFKB1,AP1G2
EPOR,ABCD3
RPS6KA5,TFR2
BATF2,MYCN
JUN,ADORA2A
IRF8,FKBP9
TRIB3,GSAP
MEF2C,TTC39B
XPC,NHP2
CENPK,CLIP3
HMGB2,TSPAN6
HNRNPAB,IL1R1
RAD51,IFT88
KLF3,VEGFC
MCM6,PLSCR4
MED16,TXNL1
NFATC1,FGFR1OP
GFI1B,ARHGEF18
HLF,AC174780.1
SATB1,SORL1
APBB1,CBX7
PGR,NDRG3
RUNX2,INSL6
DACH1,RGS3
ID1,PRODH
JUN,ATP8B4
TTF2,MYC
MCM7,MYC
HDAC11,SNN
RORA,GIMAP8
MEF2C,SELENBP1
ANKRD6,HMGB2
KLF8,H2-DMB2
NFE2,TCIRG1
NOTCH1,FLNA
TTF2,RHOF
SOX18,RASAL3
ELF1,RAB27B
NFATC1,TOM1L1
HNRNPAB,DDX39
PHC1,CLIP3
RBL2,ELANE
ID1,PIRB
RAD51,NUP88
TLE2,EMB
THRB,HEXA
MEIS1,KIF23
PHC1,ARL8B
KLF8,BTK
MCM7,PGM1
MLLT3,PGM2L1
MECOM,LYN
HOXA9,SNAP47
TLR4,H2-DMA
YBX1,RGL1
MAPK12,OAT
GFI1B,AFDN
CTR9,MYCT1
MEF2C,ASB13
HIST1H1C,NFKBIA
SATB1,HGFAC
PRDM16,ENDOD1
HIST1H1C,PGLYRP2
RBL2,JCHAIN
ZFP111,ANXA4
YBX1,PLEKHA1
NOTCH1,SNX10
IKZF1,ADSSL1
HLF,PLBD2
XPC,MMRN1
HIF3A,TMEM147
RORC,DTL
KLF3,F2RL3
TCF19,MYC
SPO11,CCNG2
NR3C2,MAPK11
PA2G4,SEPT8
ZBTB20,IGHV1-81
SATB1,P2RY14
NFKBIA,SHISA8
MED16,HSPA1A
THRB,IRF6
